title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Walk in the Woods,America,Here & Now,0.905071079731,0.0949289128184,0.0309156533331,0.025777263566900000,0.0393680110574,0.0659009963274,0.40396630764,0.24727781117,0.172613427043,0.0141805233434,0.28086945414500000,0.383126705885,0.170410990715,0.125366613269,0.0402262471616,0.6847788095470000,0.315221220255,0.0402403585613,0.959759652615,0.918095886707,71.7353057861,spotify:track:7EzIe8Vs9Ri3SwofoJzMTf,6,11,15,18,20,0
Young Lovers in Town,The Bottle Rockets,The Brooklyn Side,0.921594023705,0.0784059762955,0.0364661850035,0.014893573708800000,0.0218265689909,0.0689376816154,0.4166804850100000,0.0922647714615,0.34168103337300000,0.007249686867000000,0.179199203849,0.43381023407,0.205035790801,0.15539444983,0.026560317724900000,0.995292246342,0.004707748070360000,0.0905615016818,0.909438490868,0.9193546772,74.6618499756,spotify:track:2VYH4tS74zy2pqlreT41t9,6,11,15,18,20,0
Be Brave,Modest Mouse,Strangers To Ourselves,0.926755487919,0.07324449718000000,0.00602749176323,0.08347417414190000,0.08403699100020000,0.0169558767229,0.42723929882,0.218696862459,0.158502086997,0.00506719620898,0.232937097549,0.34063002467200000,0.191596791148,0.103324584663,0.131511509418,0.512405395508,0.487594604492,0.0204500909895,0.979549884796,0.923296272755,75.195602417,spotify:track:5CJ7vwKp7SZW9VGYM13nSb,6,11,15,18,20,0
Im the Face,The High Numbers,Live 1964 bonus,0.740018248558,0.25998175144200000,0.00983190722764,0.0262747965753,0.0389728099108,0.0352631397545,0.585847854614,0.253281086683,0.0455690398812,0.00495936814696,0.168128401041,0.373442649841,0.14915013313300000,0.15622907877,0.153049737215,0.949606001377,0.0503940097988,0.006350396666680000,0.993649601936,0.953875005245,79.2356872559,spotify:track:3Mcxl6esKlZTPTF4XAyBy0,6,11,15,18,20,0
I Believe in You,Don Felder,Road to Forever (Deluxe Edition),0.949269533157,0.050730455666800000,0.0014193588867800000,0.00995270721614,0.037367798388,0.0104827322066,0.655926346779,0.274025529623,0.00690795946866,0.00391757441685,0.173675194383,0.427728444338,0.146420791745,0.188380271196,0.0637952834368,0.970510005951,0.029489992186400000,0.163980677724,0.836019337177,0.8371966481210000,79.9602890015,spotify:track:2Pd7PGI8n9pakOSSOLNNMN,6,11,15,18,20,0
Altogether Alone,Be The Voice,Drawing,0.708514094353,0.291485905647,0.00126332114451,0.0272464882582,0.0147801479325,0.012537564151000000,0.574663043022,0.354886621237,0.0124674448743,0.00215540826321,0.160088077188,0.301161080599,0.166080266237,0.0904181674123,0.282252401114,0.663961172104,0.336038798094,0.0169509518892,0.983049035072,0.903773486614,80.0098495483,spotify:track:2VWpTgqWyX5urUz8KaGz9X,6,11,15,18,20,0
Red Silk Stockings and Green Perfume,Nelson Riddle,The Joy Of Living / Love Is A Game Of Poker,0.7191237211230000,0.280876249075,0.07974059134720000,0.0130645697936,0.117299497128,0.104381494224,0.398153483868,0.236432224512,0.0408316813409,0.0100964745507,0.10037496686,0.460863500834,0.21026429534,0.18459235131700000,0.04390487447380000,0.927237451077,0.0727625340223,0.360816150904,0.6391838192940000,0.8084085583690000,80.6573410034,spotify:track:0Q9TOQ3VxF8u8HFcXhsGkA,6,11,15,18,20,0
Gaudium et felicitas,Krypteria,Liberatio,0.531926214695,0.4680737853050000,0.00693129515275,0.115896895528,0.00656958390027,0.0249958988279,0.686708331108,0.091633155942,0.0629639178514,0.00430089375004,0.21076965332000000,0.452499032021,0.0812163949013,0.162859946489,0.0926549583673,0.658803284168,0.341196715832,0.0548299998045,0.945169985294,0.899980485439,81.9729309082,Not Found,6,11,15,18,20,0
You Only Live Twice (live from Norway),Coldplay,The Singles 1999-2006,0.812743127346,0.187256872654,0.0268817991018,0.0365507677197,0.148921906948,0.0204598456621,0.404309630394,0.196438550949,0.15935450792300000,0.0070829885080500000,0.16296748817,0.312632739544,0.248084276915,0.115906476974,0.160409003496,0.640907466412,0.35909253358800000,0.0171279385686,0.982872068882,0.705166995525,82.0207824707,spotify:track:3YdUe6oSvMydx3ph6ZPbPY,6,11,15,18,20,0
Take A Bow,Rihanna,R&B Collection,0.997345864773,0.00265415548347,3.46035594703E-05,0.000849341682624,0.0004643411957660000,0.000118650423246,0.7095289230350000,0.28839084506,0.00053085887339,8.24631933938E-05,0.06133586168290000,0.436156749725,0.0865552201867,0.338539868593,0.0774122923613,0.840587258339,0.159412756562,0.111554779112,0.8884451985360000,0.919690608978,82.0967254639,spotify:track:3goSVuTt3fDYDP6kRnFwuL,6,11,15,18,20,0
