title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Enjoy the ride,Marlango,Marlango,0.0767083093524,0.923291683197,0.0225187335163,0.005197601858530000,0.00775572098792,0.316696196795,0.473587840796,0.150284484029,0.0180732049048,0.005886233411730000,0.230822563171,0.435106247663,0.08143274486060000,0.17882578074900000,0.07381265610460000,0.155551582575,0.844448387623,0.179955229163,0.820044755936,0.7423645854,67.4209365845,spotify:track:45qSNoBAI6fPzSNX3WwbtN,6,11,16,18,20,1
Rhythm of Life,Status Quo,Heavy Traffic,0.193155735731,0.8068442940710000,0.103183731437,0.0341313555837,0.0210054386407,0.07215574383740000,0.397656440735,0.107694603503,0.242893114686,0.0212795734406,0.138853892684,0.292758673429,0.255735427141,0.241779923439,0.0708720833063,0.354658484459,0.6453415155410000,0.0479512661695,0.952048718929,0.872567176819,69.5527877808,spotify:track:30ydFjZTYNoxi6296p7VWK,6,11,16,18,20,1
Since I dont have you,Guns N Roses,Greatest Hits,0.884074926376,0.115925066173,0.00863115210086,0.0214376039803,0.0158568955958,0.010829539969600000,0.475130498409,0.22129687666900000,0.235633283854,0.0111841661856,0.16829274594800000,0.388887256384,0.179372161627,0.167995646596,0.0954521745443,0.0678249001503,0.93217509985,0.0042302827350800000,0.995769739151,0.834707081318,70.7177505493,spotify:track:5sVf9kN90ScddiT3SdT9Qh,6,11,16,18,20,0
Hey Now Princess (demo version),Cream,Those Were the Days,0.088669359684,0.911330640316,0.004095368552950000,0.0211853943765,0.0227506197989,0.0126312999055,0.47583976388,0.159510210156,0.297110229731,0.00687712058425,0.260642379522,0.286461561918,0.085528947413,0.0925134569407,0.274853646755,0.0261837020516,0.973816275597,0.0349138341844,0.96508616209,0.955128371716,72.5299453735,spotify:track:61sepu8bH9sx3sAnf8aP75,6,11,16,18,20,1
"Murda Is Tha Time, Pt. 2",Grave Plott,The Plott Thickens,0.949852287769,0.0501477010548,0.0041903485544,0.0131243458018,0.28831461072,0.00680498825386,0.517510592937,0.158718973398,0.0075544440187500000,0.00378166255541,0.136613816023,0.309887856245,0.165978133678,0.224228456616,0.163291722536,0.376742362976,0.6232576370240000,0.0301374141127,0.969862580299,0.680032670498,76.9404220581,Not Found,6,11,16,18,20,0
Oblivion,Grimes,Visions ❬black vinyl❭,0.999785006046,0.000214974716073,0.00312996190041,0.0962613597512,0.0140886660665,0.00484123034403,0.7643822431560000,0.08066685497760000,0.033489510417,0.00314017175697,0.16109757125400000,0.269472569227,0.240274354815,0.254093497992,0.07506199926140000,0.127961814404,0.872038185596,0.172579690814,0.827420294285,0.942122817039,78.4166107178,spotify:track:4P6n0udLAnmCNXVcobYbsK,6,11,16,18,20,0
Give Me Good Sensi,Zion Train,Dub Revolutionaries: Very Best of Zion Train,0.983224987984,0.0167750045657,0.00939609482884,0.0123704308644,0.0290837064385,0.0231248345226,0.803459405899,0.057949654758,0.06032430380580000,0.00429155118763,0.230270817876,0.268171817064,0.0947760045528,0.264011532068,0.14276984334,0.460231244564,0.539768755436,0.17562475800500000,0.824375271797,0.956054389477,79.9037857056,spotify:track:2JFuh94pxj9txAkw7VoBfu,6,11,16,18,20,0
White,Borknagar,For the Elements 1996-2006,0.7197519540790000,0.280248075724,0.015739081427500000,0.0168462209404,0.0204569585621,0.118023350835,0.642320275307,0.139436379075,0.0419897288084,0.005187994334850000,0.15221811831000000,0.32379278540600000,0.267473131418,0.147321149707,0.109194800258,0.45623716712,0.5437628030780000,0.455398112535,0.544601857662,0.6132450699810000,80.0154724121,spotify:track:5lPZxn7B3pEQvs9snG6Kmo,6,11,16,18,20,0
Track 14,artist,album,0.429914236069,0.570085763931,0.0134357884526,0.030112195760000000,0.0215204209089,0.0136128924787,0.643387138844,0.22832939028700000,0.0474021844566,0.0022000127937600000,0.0724047347903,0.461749792099,0.165363967419,0.264604389668,0.035877097398,0.360402882099,0.639597117901,0.0379053391516,0.962094664574,0.843877315521,80.2854309082,spotify:track:0oXTJmbpbB9b4HnTokaPrM,6,11,16,18,20,1
Jour de doute,Grand Corps Malade,3ème Temps,0.347169697285,0.652830302715,0.023199684917900000,0.0274913497269,0.0453909337521,0.235161304474,0.370694935322,0.23633761704,0.0463718101382,0.0153523702174,0.183579951525,0.392009168863,0.130508095026,0.156836003065,0.137066781521,0.011626124382,0.988373875618,0.5724503397940000,0.427549660206,0.7501379251480000,80.9359283447,spotify:track:0bL2wdtpI9TuicmQTXoPhq,6,11,16,17,20,1
