title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
IT HURTS,Wet Wet Wet,10,0.888580203056,0.111419811845,0.0360003933311,0.0190815515816,0.0347525626421,0.0652554854751,0.456484466791,0.220221549273,0.158351972699,0.00985201448202,0.11966855824,0.24216003716,0.249439686537,0.278309166431,0.110422551632,0.911872625351,0.088127374649,9.14966440178E-05,0.99990850687,0.84557133913,79.98165893550000,spotify:track:17TK9AhnzZgwCeSD3vTnXb,6,13,15,18,20,0
Come Fly With Me,Cherry Poppin’ Daddies,Please Return the Evening,0.971156835556,0.028843164444,0.006764239165930000,0.0179630387574,0.0347605831921,0.0535557344556,0.706206440926,0.0771150141954,0.100235335529,0.0033996074926100000,0.08612889051440000,0.283416897058,0.227262273431,0.327090978622,0.0761009529233,0.935193240643,0.0648067295551,0.00539752468467,0.994602501392,0.952383756638,80.07260894780000,spotify:track:38U0BQ2UJz33fRkdxM0rjZ,6,13,15,18,20,0
Are You Ready,Bob Dylan,Saved,0.288386851549,0.711613178253,0.0380725339055,0.0102926017717,0.0526551790535,0.0613441132009,0.50271832943,0.274564772844,0.0574173144996,0.00293517881073,0.148695155978,0.194892004132,0.155045166612,0.314936339855,0.186431348324,0.544464588165,0.455535411835,0.0464119017124,0.95358812809,0.660741627216,80.7622909546,spotify:track:1HCTnmG6T5txZHYZglA2P9,6,13,15,18,20,1
Hot Pastrami,The Ventures,Lets Go!,0.163691043854,0.836308956146,0.010477758944,0.00323658250272,0.00208702706732,0.0319682136178,0.697944283485,0.112291932106,0.140786364675,0.0012078550644200000,0.226420849562,0.285759776831,0.0985959395766,0.321752071381,0.067471370101,0.992779791355,0.00722020678222,0.034571722149800000,0.965428292751,0.933014035225,81.10665893550000,spotify:track:1QxbAklsSedJSjCArY0KHM,6,13,15,18,20,1
Stronger Than Before,Chaka Khan,I Feel for You,0.333583235741,0.666416764259,0.0344581119716,0.0524391233921,0.0400878228247,0.06634419411420000,0.433373004198,0.323139131069,0.0417327061296,0.008425923064350000,0.093798160553,0.24340865016,0.10022354126,0.373020261526,0.189549401402,0.821649253368,0.17835073173000000,0.0493100620806,0.950689911842,0.590230584145,81.2749557495,spotify:track:4Xt62tjE20m3ATFv9zXrgi,6,13,15,18,20,1
Good Thing,Fine Young Cannibals,The Raw &amp; the Cooked,0.950047314167,0.049952685833,0.006377451587470000,0.0315174683928,0.136112943292,0.014274233020800000,0.684039115906,0.0980154722929,0.0275353882462,0.00212794891559,0.209791570902,0.275776058435,0.038585983216800000,0.291086256504,0.184760123491,0.999983608723,1.63912845892E-05,0.221042215824,0.778957784176,0.911929368973,82.2793502808,spotify:track:6lRkdG1HurVS72F9GoBeWJ,6,13,15,18,20,0
Slave,Lucky Dube,Retrospective,0.803157925606,0.196842044592,0.0175859052688,0.00912625249475,0.100024744868,0.0263277497143,0.428539037704,0.398005574942,0.0137831298634,0.00660760514438,0.0351255461574,0.297366797924,0.245413869619,0.313075482845,0.109018288553,0.999999940395,7.76156312554E-08,0.0346578061581,0.96534216404,0.820447742939,82.4399185181,spotify:track:63ltCIDI4rpnoLqPdZQyxv,6,13,15,18,20,0
Double Soul,Seeed feat. Tanya Stephens,Music Monks,0.999979734421,2.02542196348E-05,0.00230376585387,0.133788585663,0.227229550481,0.00302202696912,0.463420778513,0.15689958632,0.0110937124118,0.00224197655916,0.07200845330950000,0.305649757385,0.251500755548,0.324838578701,0.0460024625063,0.647821366787,0.352178633213,0.006441013887520000,0.993559002876,0.953243434429,82.9675445557,spotify:track:0YRF4p6HOCfFiQ3CQCUbrg,6,13,15,18,20,0
Eventually,The Naked Brothers Band,Naked Brothers Band,0.7977967858310000,0.202203199267,0.00848611909896,0.029522318393,0.0456828139722,0.109834633768,0.5794212818150000,0.202386319637,0.0221656728536,0.00250084581785,0.127865985036,0.307556331158,0.118460416794,0.371362924576,0.0747543424368,0.869121432304,0.130878582597,0.0009777611121540000,0.999022245407,0.76247137785,84.0053939819,spotify:track:21OUSNAeP9fAaETDcGk4Zz,6,13,15,18,20,0
Paid the Price,Moon Martin,The Very Best Of,0.245706096292,0.7542939186100000,0.0403021834791,0.0386594384909,0.00878299586475,0.282430946827,0.358865171671,0.186048641801,0.0779487118125,0.0069618918933,0.122854702175,0.261587530375,0.230215281248,0.346752971411,0.038589514792,0.992066383362,0.0079336296767,0.0998248755932,0.900175094604,0.771305561066,84.03549957280000,spotify:track:3lUuDwj5dKbIMvyuMXJMpV,6,13,15,18,20,1
Gold Fever,little hurricane,Gold Fever,0.8578802943230000,0.142119690776,0.0248674545437,0.22758024931,0.16142231226,0.048407495021800000,0.274062871933,0.189134374261,0.0608066394925,0.013718620874,0.182495892048,0.20429067313700000,0.156674191356,0.260517328978,0.196021929383,0.825300991535,0.174698993564,0.0642907693982,0.935709238052,0.8679561018940000,84.1808547974,spotify:track:6pXT1A2kImCsuYevVEc0fP,6,13,15,18,20,0
destined for…,T.M.Revolution,SEVENTH HEAVEN,0.982154488564,0.0178455077112,0.00389420473948,0.07817260921000000,0.056815460324300000,0.047517128288700000,0.659859359264,0.102610915899,0.04671433568,0.004415964242070000,0.138430178165,0.222251728177,0.22030878067,0.263418763876,0.155590519309,0.923465073109,0.07653491199020000,0.728615343571,0.271384686232,0.903981208801,84.94956207280000,Not Found,6,13,15,17,20,0
Up We Go,Lights,Little Machines,0.999347805977,0.0006521930918100000,0.000231083002291,0.203020334244,0.0107881594449,0.000247118878178,0.756485819817,0.016871355474,0.0122329611331,0.00012314453488200000,0.19209446013,0.218163445592,0.20194222033,0.280430555344,0.107369333506,0.6514711976050000,0.348528802395,0.003995944280180000,0.99600404501,0.946072220802,84.9844665527,spotify:track:4MODTnPdps3hsz2sS7UAqC,6,13,15,18,20,0
Kisha,Lil Wayne,Tha Block Is Hot,0.990132331848,0.00986764673144,0.0320100076497,0.0647409409285,0.0955656170845,0.0623102225363,0.52783614397,0.12309281528,0.0732652172446,0.0211790073663,0.0979535356164,0.253261864185,0.157131567597,0.352581769228,0.139071241021,0.856729388237,0.14327061176300000,0.158765852451,0.8412341475490000,0.960348248482,85.1261672974,spotify:track:24SxcZVgyzTkpJuV9m9gEr,6,13,15,18,20,0
Something to Believe In,Parachute,The Way It Was,0.993960797787,0.006039185915140000,0.00426592584699,0.114577673376,0.067783407867,0.0140936151147,0.5616646409030000,0.08951758593320000,0.143375247717,0.00472188973799,0.134390503168,0.239273622632,0.0958579704165,0.295849084854,0.234628841281,0.950772881508,0.0492270924151,0.0562420263886,0.94375795126,0.885089933872,85.8789978027,spotify:track:2G0nQvuwLLw5rm87IARhon,6,13,15,18,20,0
77,The Big Pink,Future This ❬pink vinyl❭,0.920518636703,0.0794813781977,0.0418650396168,0.08745155483480000,0.0497173182666,0.0334837660193,0.404152899981,0.187571212649,0.172254741192,0.0235034786165,0.135641083121,0.27555713057500000,0.181366741657,0.29718005657200000,0.110254980624,0.522134304047,0.477865666151,0.0821113958955,0.917888581753,0.923524558544,86.5541534424,spotify:track:4rrElq1JSEuajl1zFAwbjk,6,13,15,18,20,0
Little bitty pretty one,Billy Gilman,One Voice,0.777976095676,0.222023919225,0.006007758900520000,0.0107023222372,0.00987825542688,0.012112185359,0.747735798359,0.104584798217,0.108466044068,0.0005128209013490000,0.08999597281220000,0.358745902777,0.13285176456000000,0.394808202982,0.0235981494188,0.999999761581,2.58496072547E-07,0.161105006933,0.8388949632640000,0.907923221588,86.88849639890000,spotify:track:5V9ezTbv9LhSpgDcGph2n3,6,13,15,18,20,0
Ìì¹ú¤Î¤«¤±¤é,SMAP,£Ó£Í£Á£Ð£¯£Ó£Í£Á£Ð£°£°£±,0.857365489006,0.142634496093,0.00603625131771,0.0071222060360000000,0.0369429737329,0.0155187034979,0.6138648390770000,0.288291186094,0.0295442417264,0.00267961272039,0.08919681608680000,0.24065391719300000,0.258838802576,0.270326912403,0.140983551741,0.536464035511,0.463535934687,0.049062538892,0.950937449932,0.8438305258750000,86.9889526367,spotify:track:02hxqiyAsJR9gGxV7facNs,6,13,15,18,20,0
Michael,Prefab Sprout,Jordan: The Comeback,0.299928486347,0.700071513653,0.231765553355,0.010865659453,0.015973540023,0.14121325314000000,0.279083222151,0.177222013474,0.13404622674,0.00983052141964,0.0966717600822,0.125861987472,0.34943535924,0.373972058296,0.0540588572621,0.992201209068,0.00779881700873,0.00468243239447,0.995317578316,0.83598035574,87.118927002,spotify:track:2aK3LGhE5bEodXBp3qSyEf,6,13,15,18,20,1
Hurricane,Charles Bradley feat. Menahan Street Band,Victim Of Love,0.84978055954,0.150219410658,0.026034934446200000,0.0165944769979,0.152988150716,0.145056888461,0.31613522768,0.279324948788,0.0577287226915,0.006136651150880000,0.075126901269,0.16714677214600000,0.119968801737,0.349099338055,0.288658171892,0.901621699333,0.0983782857656,0.590414881706,0.409585118294,0.854320704937,87.2583084106,spotify:track:6mWOAh7fKnQ1YE9BzPOw9V,6,13,15,17,20,0
Bacchus (lat.),Corvus Corax,Viator,0.961606681347,0.0383933112025,0.00592367071658,0.264390051365,0.032249547541100000,0.00892276875675,0.324705302715,0.0381190218031,0.320597708225,0.00509192794561,0.16295465827,0.274327546358,0.074900560081,0.3815715610980000,0.106245666742,0.53108638525,0.468913584948,0.053548455238300000,0.946451544762,0.865651130676,87.3379821777,spotify:track:6zCzh6XShhEtqRiKU0ZDi3,6,13,15,18,20,0
Addosso Al Gatto,Edoardo Bennato,La Fantastica Storia Del Pifferaio Magico,0.7307915687560000,0.269208461046,0.0028481669724,0.00980398338288,0.021182030439400000,0.108520202339,0.55742430687,0.258607298136,0.0385180898011,0.0030959250871100000,0.154369369149,0.18855778873,0.224150180817,0.245712757111,0.187209904194,0.868073940277,0.13192604482200000,0.51343536377,0.486564666033,0.81224656105,87.50470733640000,Not Found,6,13,15,17,20,0
Love Is Here,Sophie Ellis-Bextor,Trip the Light Fantastic,0.953050911427,0.0469490848482,0.00263272668235,0.0660930648446,0.0339705720544,0.00839351862669,0.6890101432800000,0.0835657939315,0.114538326859,0.00179587479215,0.129729360342,0.274377793074,0.15917648375,0.313850313425,0.12286606431,0.958616018295,0.0413839705288,0.71315318346,0.28684681654,0.943808794022,87.77236175540000,spotify:track:2QnWVAHfZt3escUFsjx1Wj,6,13,15,17,20,0
Strange,Wet Wet Wet,10,0.586809754372,0.413190245628,0.0426464676857,0.015244755893900000,0.0169494114816,0.15483494103,0.478597611189,0.0982062518597,0.187473282218,0.006047266069800000,0.134934589267,0.272930860519,0.17452137172200000,0.328474164009,0.0891390144825,0.9371945858,0.0628054216504,0.00195862632245,0.998041391373,0.8890565037730000,87.8591842651,spotify:track:5otJH2n6wdBPzG1b6UGHiK,6,13,15,18,20,0
Drink,Ormonde,Machine,0.79982984066,0.200170129538,0.0194253791124,0.005186418071390000,0.00370975444093,0.0360906496644,0.548349797726,0.0665942505002,0.316991657019,0.0036520883441,0.116439066827,0.215603068471,0.289752662182,0.336171090603,0.042034100741100000,0.969602525234,0.030397498980200000,0.985594153404,0.014405834488600000,0.926473855972,87.9802474976,spotify:track:3qUM6jrTlNHIvBFY3GRXmJ,6,13,15,17,20,0
Home,Todrick Hall,Straight Outta Oz,0.960592806339,0.0394071750343,0.00197736662813,0.00289775291458,0.0154582001269,0.0114559456706,0.666479229927,0.262636244297,0.0381576046348,0.000937651260756,0.07722055166960000,0.279327690601,0.283882111311,0.285013973713,0.0745556801558,0.8987861275670000,0.101213879883,0.004231962841,0.995768010616,0.836814761162,88.001739502,spotify:track:1F5m0omiTYMzgsAVSFHNYO,6,13,15,18,20,0
The Twist,Johnny Preston,Feel So Fine: The Mercury Recordings 1959-1962 (Disc 2),0.0943626686931,0.905637323856,0.0428758487105,0.00844002701342,0.0057353093288800000,0.0254808664322,0.379335433245,0.240413233638,0.294057428837,0.00366183533333,0.0846865549684,0.249728783965,0.28149408102000000,0.339900016785,0.044190555810900000,0.999999582767,4.00558491265E-07,0.06917467713360000,0.930825293064,0.955075919628,88.4149856567,spotify:track:663zRwwGqet98Fu4he3VZ6,6,13,15,18,20,1
No Words,The Script,#3,0.7761990427970000,0.223800957203,0.00423621106893,0.0242210645229,0.0110401064157,0.00339044979773,0.691514730453,0.220352768898,0.0428864173591,0.00235826405697,0.110159806907,0.26272469759,0.26075232029,0.30806714296300000,0.0582960285246,0.737874031067,0.262125939131,0.008357856422660000,0.9916421175,0.793949484825,88.8954772949,spotify:track:7wsHwb4T9M2HQviCnLdwMs,6,13,15,18,20,0
Cyaan Cool,Khago,Stop the Bloodshed,0.943787038326,0.0562129616737,0.00148963346146,0.000495997839607,0.006070772185920000,0.00214923033491,0.498055279255,0.479368150234,0.0120398253202,0.0003311233012940000,0.0331818349659,0.371080726385,0.134035736322,0.425602704287,0.0360989831388,0.999985218048,1.47951031977E-05,0.0653495416045,0.934650480747,0.963030517101,88.9088516235,Not Found,6,13,15,18,20,0
Karappo,Tujiko Noriko,Hard Ni Sasete,0.350221097469,0.649778902531,0.0291484631598,0.00384407769889,0.0049494933337,0.015149993822000000,0.7428656220440000,0.0888600200415,0.109645560384,0.005536757409570000,0.05883894115690000,0.206474348903,0.287719875574,0.314439743757,0.13252709806,0.8810388445850000,0.118961147964,0.545090913773,0.454909086227,0.929011821747,88.98056793210000,Not Found,6,13,15,17,20,1
02.rush hour,JUJU,Wonderful Life,0.969936311245,0.0300636775792,0.000975028087851,0.0570537000895,0.042339704930800000,0.0031691393815,0.654277145863,0.230739161372,0.010486150160400000,0.000959963072091,0.104080937803,0.26199400425,0.191408962011,0.293096184731,0.149419903755,0.8503155708310000,0.149684414268,0.215206354856,0.7847936749460000,0.969038486481,88.98419189450000,Not Found,6,13,15,18,20,0
