title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Please Listen to Me,Smiley Lewis,New Orleans Bounce 30 of His Best,0.474721550941,0.525278449059,0.0408136807382,0.00556185515597,0.00394024048001,0.10861389339000000,0.516743302345,0.193199038506,0.124853380024,0.00627459865063,0.11134852469,0.231709107757,0.297762811184,0.329765588045,0.0294139627367,0.999994695187,5.32487001692E-06,0.252924084663,0.747075915337,0.893745183945,109.85793304400000,spotify:track:63vkuzKsHKGa21ZpHhE5sV,6,13,15,18,19,1
True Affection,Father John Misty,"I Love You, Honeybear",0.412415653467,0.58758431673,0.0460328944027,0.0153102036566,0.0126926293597,0.029970172792700000,0.570943057537,0.127018347383,0.191264495254,0.00676821917295,0.05921170488,0.163468718529,0.24850022792800000,0.387238264084,0.141581088305,0.970458686352,0.0295413378626,0.0406635627151,0.959336459637,0.8307043313980000,110.974479675,spotify:track:5Yr5SFdhZlv7JqYcfNbjvR,6,13,15,18,19,1
Girls...,Marshall Crenshaw,Marshall Crenshaw,0.070573464036,0.929426550865,0.0454718247056,0.0255969390273,0.0146767795086,0.032332893461000000,0.353442490101,0.243993505836,0.281879514456,0.00260603567585,0.168730005622,0.218737110496,0.205999583006,0.280320703983,0.126212611794,0.915982186794,0.08401782810690000,0.053917106241,0.946082890034,0.791831791401,111.291435242,spotify:track:6LvOZpTAoNTWTV0xkD3Lzy,6,13,15,18,19,1
Bessa,Tilly and the Wall,Wild Like Children,0.256139785051,0.7438601851460000,0.0464748106897,0.0061046588234600000,0.0042941947467600000,0.0841169431806,0.526590764523,0.06808191537860000,0.260076671839,0.00426001567394,0.121186934412,0.181298568845,0.291302263737,0.37219581008,0.034016400575600000,1.0,1.62488760225E-08,0.027727913111400000,0.972272098064,0.901598572731,111.316703796,spotify:track:3Q4uCDOcSh2Qv1Z1asJx9e,6,13,15,18,19,1
Message Machine,Little Mike & The Tornadoes,Payday,0.372363328934,0.627636671066,0.0226563364267,0.00463094748557,0.0236849207431,0.0348162613809,0.604660928249,0.255818367004,0.049553796649,0.00417844112962,0.12145960331000000,0.221356213093,0.155732899904,0.365403681993,0.1360476017,0.960362255573,0.0396377667785,0.238685280085,0.761314749718,0.875892400742,111.33921814,spotify:track:7kZLxpQGbPRBLYjVnaRWzZ,6,13,15,18,19,1
Summer in the City,The Lovin Spoonful,Summer In The City,0.165431946516,0.8345680832860000,0.011997460387600000,0.0123798195273,0.0322121307254,0.0530656315386,0.616424441338,0.102684661746,0.168307334185,0.0029285256750900000,0.15380603075,0.17516949772800000,0.254565149546,0.294894695282,0.121564626694,0.853045046329,0.146954938769,0.00284174294211,0.997158229351,0.7975389361380000,111.82487487800000,spotify:track:7AzFID6u1b3zIWbd9pb8Dk,6,13,15,18,19,1
Wait,Shocking Blue,Inkpot & Attila,0.19801902771,0.80198097229,0.0196970403194,0.00423948187381,0.00182251469232,0.08723475784060000,0.571288824081,0.105909444392,0.208296686411,0.00151127891149,0.120272092521,0.211560338736,0.131338983774,0.505476891994,0.0313516929746,0.997155666351,0.00284436228685,0.109438672662,0.8905613422390000,0.918047606945,111.99758911100000,spotify:track:2sWj9oQNvqv8abqqQn02RF,6,13,15,18,19,1
Nothin to Do but Today,Stephen Stills,Stephen Stills 2,0.08173120021820000,0.918268799782,0.039775557816,0.00327191478573,0.006224065553400000,0.0579518899322,0.479244530201,0.329230666161,0.07447361946110000,0.00982774700969,0.115470580757,0.264316111803,0.149125739932,0.389050722122,0.0820368379354,0.992096960545,0.00790304411203,0.0644746497273,0.935525357723,0.6737885475160000,112.090072632,spotify:track:64rJx6rGpqGAwF4jHuKQKa,6,13,15,18,19,1
Lie With Me,Lady Antebellum,747,0.374398827553,0.625601172447,0.0138042122126,0.0718098133802,0.0119485408068,0.0792556405067,0.543278098106,0.197504073381,0.0739560350776,0.00844357721508,0.117065228522,0.233885064721,0.297010242939,0.30619058013,0.0458489060402,0.9060385227200000,0.0939614623785,0.251448154449,0.748551845551,0.818356692791,112.44353485100000,spotify:track:6ipiRzTQszraswbO9E4RM3,6,13,15,18,19,1
Love Is Here And Now Youre Gone,The Supremes,Forever Diana: Musical Memoirs (compilation),0.227365553379,0.772634446621,0.0596262179315,0.0271711777896,0.0380618460476,0.0708255320787,0.541409432888,0.14697234332600000,0.10929723829000000,0.0066361958161,0.135640919209,0.296220421791,0.123757123947,0.300493836403,0.143887713552,0.999987602234,1.23731151689E-05,0.005563145969060000,0.994436860085,0.898295998573,114.548706055,spotify:track:4KUGhh0lsJ8GxQJ1Um8UrB,6,13,15,18,19,1
