title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Save the Overtime (For Me),Gladys Knight & The Pips,Gold,0.520899772644,0.479100227356,0.199648365378,0.0322309583426,0.171680867672,0.0902741923928,0.133606880903,0.300839602947,0.0562620013952,0.0154571160674,0.116627678275,0.246634915471,0.135081082582,0.118963740766,0.382692575455,0.990298986435,0.00970103219151,0.549431860447,0.450568109751,0.6812607645990000,109.153419495,spotify:track:54n6KHxMIwDqP3jjSVVNYV,7,14,15,17,19,0
Weep in the Sunshine,Joy Electric,The Art and Craft of Popular Music,0.6004116535190000,0.3995883464810000,0.0455001592636,0.0303150992841,0.141134157777,0.0532484203577,0.12595927715300000,0.443018823862,0.154301583767,0.006522479932760000,0.192040234804,0.184236928821,0.213197499514,0.124496586621,0.28602874279,0.860057234764,0.139942750335,0.586035788059,0.413964182138,0.931227326393,109.893486023,spotify:track:4jprF9ezm3yqgvDRJQO77N,7,14,15,17,19,0
David (The Rice Twins Remix),The Radio Dept.,David,0.712615251541,0.287384778261,0.0125848595053,0.20141877234,0.025158829987,0.0136762736365,0.0247738808393,0.6976352334020000,0.0180577374995,0.006694438401610000,0.117347449064,0.27869117260000000,0.099493406713,0.189741358161,0.314726620913,0.8162873387340000,0.183712646365,0.941406011581,0.058593980968,0.905877709389,109.98490142800000,spotify:track:37zIEi2VhjvWV1qNBGHXfu,7,14,15,17,19,0
Whatcha Need,Boyz II Men,Full Circle,0.997993528843,0.00200645602308,0.00167005625553,0.00764020346105,0.197392448783,0.040343798697,0.0825853794813,0.665314793587,0.0036392128095,0.0014140985440500000,0.116296999156,0.188530489802,0.143601238728,0.149467155337,0.402104109526,0.816234230995,0.183765754104,0.603310704231,0.396689325571,0.71101295948,109.99594116200000,spotify:track:00Rj8gpylFlYIomv8eiTJP,7,14,15,17,19,0
Esa-Tsuibun,Ryota OPP,Pale Lux,0.986223042011,0.0137769747525,0.124413177371,0.014746690169,0.0974332913756,0.244002059102,0.09594952315090000,0.380850940943,0.017813436687,0.0247908700258,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.945918142796,0.0540818534791,1.0,7.97500909755E-09,0.851902008057,110.412864685,spotify:track:1ftqWTddLTm4kaSlyD9XlH,7,14,15,17,19,0
Munkaroo,Alice Russell,My Favourite Letters,0.991906225681,0.00809378735721,0.00199849694036,0.0612665750086,0.100372761488,0.0294713135809,0.0145822064951,0.783322393894,0.00277876597829,0.00620750430971,0.109610043466,0.182671502233,0.292879253626,0.0948057994246,0.320033401251,0.8222086429600000,0.177791327238,0.782424449921,0.217575535178,0.826113522053,111.023200989,spotify:track:3NUHD6us6FRKYUxEZgSyMu,7,14,15,17,19,0
Jaga ist zu Hause,Jaga Jazzist,Magazine,0.922738492489,0.07726150006060000,0.0024752181489,0.017968984320800000,0.023131173104,0.11293207109000000,0.14949272573,0.599782466888,0.0903962552547,0.00382110895589,0.0852895826101,0.123387217522,0.250343054533,0.05719853937630000,0.483781576157,0.97726303339,0.0227369535714,0.995622873306,0.00437710853294,0.7265247702600000,111.392250061,spotify:track:1AA0mj6SzaSLra1Tw8wpHO,7,14,15,17,19,0
"Some Cow Fonque (More Tea, Vicar?)",Buckshot LeFonque,Men in Black: The Album,0.605040669441,0.394959330559,0.0276184380054,0.0307136438787,0.19415730238,0.047337770462,0.146499425173,0.362267464399,0.184044778347,0.00736118713394,0.131665736437,0.198374211788,0.183827325702,0.14090628922,0.345226436853,0.963021576405,0.036978416144800000,0.96730953455,0.0326904654503,0.907917022705,111.92888641400000,spotify:track:1nV8WvAUU3IxUITQdyKo6F,7,14,15,17,19,0
Romeos (Rewarped mix),Alphaville,Forever Pop,0.944528758526,0.0554712712765,0.00370291504078,0.170248821378,0.180871933699,0.0589033253491,0.245320171118,0.274797350168,0.0632218271494,0.0029336595907800000,0.132105275989,0.16255053877800000,0.124637827277,0.184110432863,0.396595925093,0.7084414958950000,0.291558504105,0.7839617133140000,0.216038256884,0.876312732697,111.999633789,Not Found,7,14,15,17,19,0
On Your Way Down,Little Feat,Waiting for Columbus,0.623765826225,0.376234203577,0.047852098941800000,0.0488249287009,0.13269692659400000,0.181434094906,0.246507763863,0.27345570921900000,0.0512746237218,0.0179538466036,0.07964645326140000,0.070330709219,0.354419767857,0.124534793198,0.371068269014,0.858246564865,0.141753435135,0.667977571487,0.332022428513,0.7722771763800000,112.22250366200000,spotify:track:7ucjEBSxx5sI46redS5a6v,7,14,15,17,19,0
The Ghetto,Jestofunk,Love in a Black Dimension,0.8244708180430000,0.175529196858,0.00366055895574,0.052223909646300000,0.08111212402580000,0.138854384422,0.0809254720807,0.60347622633,0.0308395624161,0.00890775583684,0.083318926394,0.0635884329677,0.371335953474,0.0850229263306,0.396733760834,0.8825230002400000,0.11747700721000000,0.959094762802,0.0409052595496,0.934933483601,113.046646118,spotify:track:4ulMqOuI6um9mZJptXLJtT,7,14,15,17,19,0
And the Beat Goes On,The Whispers,The Whispers,0.964020609856,0.0359793677926,0.00379632133991,0.0665825530887,0.27579832077,0.0165185108781,0.0531317107379,0.5746585130690000,0.0061892666854,0.00332481460646,0.132363885641,0.267916738987,0.0886473655701,0.198104813695,0.312967211008,0.999996006489,4.00146882384E-06,0.5535402894020000,0.4464597404,0.942656874657,113.161758423,spotify:track:7oQ1wkBmYSBEC2x7U08dvn,7,14,15,17,19,0
ワイ ワイ！！ (Why? Why?),Bogdan Raczynski,Samurai Math Beats,0.999999880791,1.00000008274E-07,0.0170064941049,0.188702076674,0.110362745821,0.0483612753451,0.196513071656,0.218084350228,0.202761113644,0.018208861351,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.988163769245,0.0118362568319,0.962573349476,0.037426639348300000,0.823107421398,113.24925994900000,Not Found,7,14,15,17,19,0
Essence,Purl,Nick Warren Presents: The Soundgarden,0.985172450542,0.0148275429383,0.0329040288925,0.123001106083,0.0919565632939,0.0393406040967,0.0768289789557,0.593711674213,0.0163163542747,0.025940667837900000,0.07306801527740000,0.0535122081637,0.28125137090700000,0.0499952584505,0.542173147202,0.5261735320090000,0.473826467991,0.950984954834,0.0490150563419,0.850030601025,113.837905884,spotify:track:4t0lIA2cTmrrDtaECC7oHy,7,14,15,17,19,0
150e jour,Marc Leclair,Musique pour 3 femmes enceintes,0.6017659902570000,0.398234009743,0.0532124638557,0.174271762371,0.07441371679310000,0.0417487360537,0.213587746024,0.238497018814,0.176602214575,0.027666341513400000,0.0741558894515,0.0581485778093,0.221695736051,0.0357562489808,0.6102435588840000,0.914290785789,0.0857092365623,1.0,3.94116553629E-12,0.60866433382,113.93602752700000,Not Found,7,14,15,17,19,0
