title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Revolutions,Vijay Iyer,Reimagining,0.9195728302,0.0804271697998,0.00605801772326,0.158038526773,0.0548506565392,0.0318801179528,0.280287325382,0.288018524647,0.175593391061,0.005273455288260000,0.182686626911,0.19960039854000000,0.224372014403,0.131822809577,0.261518150568,0.7014463543890000,0.298553645611,0.991867721081,0.00813227612525,0.915267169476,72.9181594849,spotify:track:32DQ3V62WNV8w5epxHeMGI,7,14,15,17,20,0
Loving Every Moment,Najee,Just An llusion,0.0141010172665,0.985898971558,0.00802576635033,0.0184559058398,0.016066994518000000,0.041853483766300000,0.400897175074,0.465338438749,0.041988350451,0.0073738829232800000,0.139186188579,0.115349918604,0.13066311180600000,0.09115923196080000,0.523641526699,0.590914428234,0.409085601568,0.8706487417220000,0.12935128808000000,0.829677283764,74.2551879883,spotify:track:2rGiE8Lh2c6dNoJnJrS85S,7,14,15,17,20,1
Intro to Africa,Kenny Garrett,Sketches Of MD : Live At The Iridium Featuring Pharoah Sanders,0.32934486866,0.67065513134,0.016309795901200000,0.00755458138883,0.127528220415,0.210562258959,0.0290387123823,0.5935562253,0.008623432368040000,0.00682677840814,0.0898095071316,0.101716935635,0.332574248314,0.136113286018,0.33978602290200000,0.926113963127,0.0738860219717,0.930733680725,0.0692662969232,0.65492016077,74.51709747310000,spotify:track:6B1jhwhDE1n4pQNUyHdRnb,7,14,15,17,20,1
Never Trust a Woman,Grateful Dead,Nightfall of Diamonds (Disc 1),0.740467429161,0.259532570839,0.00706658791751,0.00203080661595,0.0219008531421,0.0225617382675,0.358530014753,0.566842854023,0.0196773465723,0.00138983491343,0.0919311568141,0.171653881669,0.179198741913,0.177807301283,0.379408925772,0.982638478279,0.017361516133,0.8845430612560000,0.115456916392,0.653729975224,75.6396331787,spotify:track:4oDMie6uCi4KNwWDyISbWm,7,14,15,17,20,0
Rubina,Joe Satriani,The Electric Joe SatrianiAn Anthology,0.790286421776,0.209713563323,0.009785823524,0.00794649682939,0.0583785325289,0.11842366308,0.07324399799110000,0.708020925522,0.0215718001127,0.00262878881767,0.14888997376,0.130767092109,0.190563812852,0.0789092257619,0.450869888067,0.993995606899,0.00600438006222,0.995635926723,0.00436409609392,0.557705938816,80.2055892944,spotify:track:5otj25gLtQmvHlCTz5UAnY,7,14,15,17,20,0
Pathway to Waterrock,Wayne Gratz,Blue Ridge,0.999999880791,1.00000008274E-07,0.028935931623,0.0210317391902,0.00981062650681,0.292279720306,0.153588607907,0.377859503031,0.107575267553,0.008918620646,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.845234036446,0.154765963554,0.7427190542220000,0.257280945778,0.8362336158750000,82.4901046753,spotify:track:7xf8udLk0ulgi3i3aIBjl2,7,14,15,17,20,0
Between the Sheets,The Isley Brothers,Greatest Hits,0.759421527386,0.240578472614,0.00371547997929,0.0449043959379,0.0453793928027,0.06444009393450000,0.139922991395,0.673210442066,0.0145803103223,0.013846866786500000,0.194599866867,0.230332389474,0.19826066494000000,0.0942713916302,0.28253570199,0.8510847091670000,0.148915290833,0.914555609226,0.08544439077380000,0.8402246236800000,83.9723205566,spotify:track:3ApIYu95WxjzpQCnsLBbrv,7,14,15,17,20,0
A Thing For Jug,Jimmy McGriff,At The Apollo,0.189062893391,0.810937106609,0.0775317400694,0.0429727099836,0.048570856452,0.227439627051,0.125679731369,0.269310057163,0.181158334017,0.0273369289935,0.111451514065,0.12206392735200000,0.161407977343,0.12982198596,0.47525459528,0.819556057453,0.180443942547,0.871579527855,0.128420487046,0.7900475263600000,84.5191497803,spotify:track:4QP72apByMQywdU9S3ogdP,7,14,15,17,20,1
Brown Paper Bag (Nobukazu Takemura remix),Roni Size & Reprazent,Replica: The Remix Album,0.629016399384,0.370983600616,0.0758079513907,0.0413894951344,0.0936064347625,0.29326325655,0.102957881987,0.319572389126,0.0370773039758,0.0363252982497,0.0783280283213,0.0863830149174,0.247157171369,0.0850917845964,0.5030400156970000,0.970107495785,0.0298924762756,0.993137896061,0.00686207832769,0.6584413647650000,85.0223693848,Not Found,7,14,15,17,20,0
28. lokakuuta,Pyhimys,"Ai, tähän väliin?",0.99738407135,0.00261593749747,0.00846370961517,0.17817774415000000,0.161662116647,0.0233793165535,0.270570039749,0.306178420782,0.041832126677,0.00973653700203,0.230254739523,0.239184841514,0.13932928443,0.126893877983,0.264337271452,0.801324009895,0.198675960302,0.909220993519,0.0907789990306,0.968551397324,86.0082321167,Not Found,7,14,15,17,20,0
The Hell With Texas,Hans Zimmer,Thelma & Louise,0.27744525671,0.7225547432900000,0.0248253010213,0.0588449463248,0.056100435555,0.0926182791591,0.145270198584,0.592640280724,0.0128620062023,0.016838559880900000,0.160099044442,0.23096947372,0.0815189480782,0.0983106791973,0.429101854563,0.919408261776,0.08059174567460000,0.960280835629,0.0397191531956,0.6990171670910000,86.6515045166,Not Found,7,14,15,17,20,1
Bags Groove,The Modern Jazz Quartet,The Complete Last Concert,0.526819765568,0.47318020463,0.00234013609588,0.00215807976201,0.043907660991000000,0.311721175909,0.0107028940693,0.616834461689,0.00951723381877,0.00281836907379,0.098679035902,0.146352082491,0.23552171886,0.083359375596,0.436087787151,0.900583744049,0.09941627085210000,0.967392504215,0.0326075069606,0.330714315176,86.7366943359,spotify:track:48FNzGRwOf0v6ghobkVCU2,7,14,15,17,20,0
Lies (feat. John Mayer),Eric Clapton,Eric Clapton & Friends: The Breeze - An Appreciation Of JJ Cale,3.00000096379E-14,1.0,0.00192974915262,0.05622607097030000,0.0372355878353,0.0827415585518,0.146065250039,0.649497330189,0.023732651025100000,0.00257178302854,0.07886087894440000,0.0458470657468,0.230384558439,0.0312312021852,0.613676309586,0.6721936464310000,0.327806383371,0.985740959644,0.0142590329051,0.937725067139,86.81977081300000,spotify:track:6tVLHD70BlnaP260M4LSA9,7,14,15,17,20,1
Lies,Eric Clapton feat. John Mayer,The Breeze: An Appreciation of JJ Cale,3.00000096379E-14,1.0,0.006106929387900000,0.103412844241,0.114857800305,0.102212384343,0.224895268679,0.411584287882,0.0293712858111,0.00755919096991,0.0772226527333,0.0444035753608,0.227747887373,0.0306320860982,0.619993805885,0.777426064014,0.222573935986,0.980061233044,0.0199387650937,0.946657657623,86.91114807130000,spotify:track:6tVLHD70BlnaP260M4LSA9,7,14,15,17,20,1
Fly Like An Eagle,Adam Nitti,Balance,0.535062968731,0.464937061071,0.0159016363323,0.021508444100600000,0.119882725179,0.116064250469,0.18098179996,0.51410138607,0.0173506680876,0.014209119603,0.0918128937483,0.152509406209,0.141899704933,0.144011974335,0.469766020775,0.983596801758,0.0164031684399,0.562124848366,0.4378751814370000,0.7198392748830000,86.9997787476,Not Found,7,14,15,17,20,0
Lazerfaces Warning,El‐P,Fandam Plus,0.21854878962,0.781451225281,0.174142569304,0.0261524803936,0.209407791495,0.165581941605,0.108738154173,0.256771981716,0.042840920388700000,0.016364144161300000,0.0818170383573,0.141605257988,0.274752914906,0.21330177784,0.28852301836,0.812470376492,0.187529623508,0.774246275425,0.225753739476,0.663107216358,87.958732605,spotify:track:2883f22pRkAwhJboX3KMuQ,7,14,15,17,20,1
