title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Tu Recuerdo y Yo,Lila Downs,La cantina: Entre copa y copa...,0.8407348394390000,0.159265130758,0.00129007163923,0.0150158265606,0.08180013298990000,0.0222606230527,0.127303674817,0.743808805943,0.0027831606566900000,0.00573773542419,0.08359910547730000,0.100228071213,0.24733056128000000,0.0603241547942,0.5085180997850000,0.697132408619,0.302867561579,0.0183476544917,0.981652319431,0.742994785309,109.606956482,spotify:track:5dVzO0Sfq40G3laZEqmKXo,7,14,15,18,19,0
Feel Like a Stranger,Grateful Dead,Nightfall of Diamonds (Disc 1),0.8414926528930000,0.158507317305,0.0150227006525,0.0214589256793,0.0542315542698,0.0733174160123,0.211773321033,0.550062179565,0.0561872720718,0.017946625128400000,0.0738750323653,0.0681665912271,0.289204269648,0.103872694075,0.464881420135,0.588527143002,0.411472827196,0.445701688528,0.55429828167,0.8537117242810000,109.714195251,spotify:track:1lgSkHQQh7ykAua1PNipIE,7,14,15,18,19,0
Idgaf,Jacquees,19,0.659939646721,0.340060353279,0.00352968485095,0.0239423289895,0.0561883151531,0.0177011340857,0.0609001964331,0.829168319702,0.00241481908597,0.006155214272440000,0.0730412602425,0.08741280436520000,0.185493648052,0.06717314571140000,0.586879134178,0.953025579453,0.046974424272800000,0.055630274117,0.944369733334,0.872857987881,109.787612915,spotify:track:4EzjcaPFn5Wqhi9agq13r7,7,14,15,18,19,0
Higher Ground,Missy Elliott,Miss E ...So Addictive,0.8630952239040000,0.136904761195,0.0010472033172800000,0.00245995284058,0.0844121798873,0.06832120567560000,0.0261033214629,0.8149513602260000,0.0003742813714780000,0.0023305111099,0.08353112638000000,0.133692935109,0.155857130885,0.0922861993313,0.534632623196,0.812012374401,0.1879876405,0.0242515765131,0.975748419762,0.7082186937330000,109.898826599,spotify:track:4BnRwxg1jGaYIyORKZztBu,7,14,15,18,19,0
Put A Lyric In It,Joey Negro And The Sunburst Band,Moving With The Shakers,0.984329462051,0.0156705342233,0.00439139362425,0.045055765658600000,0.107961423695,0.0664442926645,0.175642639399,0.571776151657,0.0238753184676,0.00485302461311,0.095352306962,0.126003935933,0.31431043148000000,0.144142657518,0.320190668106,0.988317906857,0.0116820922121,0.22513282299000000,0.7748671770100000,0.8907008171080000,110.00450134300000,spotify:track:1FpLoF5C7su5JdCJSMqIdm,7,14,15,18,19,0
Josephine (French edit),Chris Rea,The Journey 1978 - 2009 (Disc 1),0.816346228123,0.183653786778,0.008137981407340000,0.101408794522,0.117350161076,0.0211938731372,0.208492353559,0.505045294762,0.0324210301042,0.00595054449514,0.183275967836,0.104919269681,0.160921484232,0.161114856601,0.38976842165,0.843538939953,0.15646104514600000,0.0933624580503,0.9066375494,0.84326928854,110.037460327,spotify:track:34SVJolkVb1gdfv4wNdrGh,7,14,15,18,19,0
Urban Tribal,Thomas Dolby,The Golden Age of Wireless,0.999999880791,1.00000008274E-07,0.0147964181378,0.00886585377157,0.0257415045053,0.31733086705200000,0.035515807569,0.5913352966310000,0.00259194127284,0.00382228777744,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.95001411438,0.0499858595431,2.45719256782E-05,0.999975442886,0.372711271048,110.631500244,spotify:track:5FipDChCYgQpxxSHiaKVJR,7,14,15,18,19,0
Try Jah Love,Third World,Youve Got the Power,0.843418776989,0.15658123791200000,0.0130564766005,0.0688309594989,0.213969126344,0.0521969050169,0.21254162490400000,0.332134753466,0.0781805887818,0.0290895663202,0.150327906013,0.13652959466000000,0.22897683084000000,0.199825778604,0.284339904785,0.963284015656,0.0367159694433,0.0226657036692,0.977334320545,0.931241750717,111.18292999300000,spotify:track:3tiHZqBb3M6P1G1QREASeQ,7,14,15,18,19,0
Love to Be Loved,Peter Gabriel,Us,0.6872541308400000,0.31274586916,0.00193863606546,0.00243431632407,0.0202881712466,0.00981620606035,0.0636663064361,0.8948077559470000,0.0038224265445,0.00322618661448,0.0922349095345,0.2078050524,0.245868429542,0.108939558268,0.345152050257,0.957198619843,0.0428013764322,0.0319605953991,0.968039393425,0.6140056252480000,112.673446655,spotify:track:51ZGKgEfd2TlCZyThJp66s,7,14,15,18,19,0
Forever,Bran Van 3000,Rosé,0.995066225529,0.004933751653880000,0.0030166315846100000,0.0410922057927,0.413240730762,0.007678518071770000,0.0994973629713,0.419435679913,0.011837833561,0.004201039206240000,0.11988285929000000,0.152755901217,0.145187199116,0.130315899849,0.4518581330780000,0.886002838612,0.113997139037,0.209837660193,0.790162324905,0.953509151936,112.860015869,spotify:track:4NQ6kRmPSF19xNtYwTWagF,7,14,15,18,19,0
Turn Around,Jonny Lang,Turn Around,0.919945955276,0.0800540298223,0.00749930739403,0.08201032131910000,0.100922621787,0.0203843228519,0.265230029821,0.29451802372900000,0.22185203433000000,0.00758333178237,0.103070013225,0.136550679803,0.08080285787580000,0.130993723869,0.548582732677,0.615150153637,0.384849846363,0.358255594969,0.641744375229,0.938349068165,112.924537659,spotify:track:4I58cb3XnFa0gWpupjgmvF,7,14,15,18,19,0
Before the Night Is Over,Jerry Lee Lewis with B.B. King,Last Man Standing,0.6581287980080000,0.341871201992,0.0322611778975,0.0068966159597,0.0637106597424,0.0209489222616,0.0991728678346,0.636862337589,0.136089429259,0.004057962913070000,0.125702887774,0.233592554927,0.16860766708900000,0.235250860453,0.236846029758,0.852745115757,0.147254899144,0.0123140960932,0.987685918808,0.936198890209,113.347167969,spotify:track:7yVYcURQ872sdaLTiQQLdQ,7,14,15,18,19,0
Undercover,Tina Malia,The Lost Frontier,0.7049723267560000,0.295027673244,0.015399017371200000,0.0513958148658,0.116647064686,0.0577605180442,0.220710411668,0.5079872608180000,0.0205592829734,0.00954060908407,0.190140098333,0.171423688531,0.207672908902,0.12867000699,0.302093297243,0.708316087723,0.291683912277,0.33687379956200000,0.66312623024,0.560388505459,113.95699310300000,spotify:track:6sAFvN9krMb8oaeC1PhAYh,7,14,15,18,19,0
Fleeting Mind,Ocean Colour Scene,Moseley Shoals,0.590519428253,0.409480571747,0.0185959096998,0.0389795452356,0.229286417365,0.08939000964160000,0.119772836566,0.438264548779,0.0571770146489,0.00853371433914,0.0908906385303,0.114831469953,0.336542129517,0.0817395970225,0.375996142626,0.961687445641,0.0383125469089,0.133075386286,0.8669245839120000,0.418939173222,114.315093994,spotify:track:7w1fEN3L0CAW9d11cqkffk,7,14,15,18,19,0
Give It Up or Turnit a Loose (remix),James Brown,In the Jungle Groove,0.928447902203,0.07155212014910000,0.00707179680467,0.0266690235585,0.0885031819344,0.279537498951,0.140327274799,0.400240987539,0.0528742335737,0.00477603031322,0.08990379422900000,0.103228770196,0.234808385372,0.138359889388,0.433699160814,0.6745174527170000,0.325482547283,0.221421703696,0.778578281403,0.86597430706,114.578285217,spotify:track:5TQcUuSZ9VUXCxGdVj7VxO,7,14,15,18,19,0
Fields are Burning,Wayne Gratz,Blue Ridge,0.999999880791,1.00000008274E-07,0.229469567537,0.004555706866090000,0.00562316598371,0.0645374953747,0.0673497095704,0.618486821651,0.00727586029097,0.0027016657404600000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.973506510258,0.0264934841543,0.439285755157,0.560714244843,0.721629917622,114.807945251,spotify:track:4TuMgtmi7zdTfShrZX5prc,7,14,15,18,19,0
What Cha Think About That,Gerald Levert,In My Songs,0.969286561012,0.030713431537200000,0.00200779479928,0.0546755641699,0.044154420495,0.019236702472,0.170918464661,0.704155385494,0.00257002934813,0.00228164391592,0.0910254642367,0.244641706347,0.129524841905,0.106966510415,0.427841454744,0.851663172245,0.148336842656,0.0622358433902,0.937764167786,0.941362917423,114.847579956,spotify:track:5YVHN2QKDNib17o0IeepWE,7,14,15,18,19,0
Tote Hitze,New Yok,Drum and Quetsch,0.987411618233,0.0125883556902,0.0134581672028,0.181658431888,0.150130853057,0.105711907148,0.20110963285,0.300761967897,0.0359163470566,0.0112526873127,0.104484215379,0.142298206687,0.0695745497942,0.12858316302300000,0.555059850216,0.6735727190970000,0.326427280903,0.02100353688,0.978996455669,0.8550483584400000,114.971588135,Not Found,7,14,15,18,19,0
Tonight!,Abra,Rose,0.998295843601,0.0017041851533600000,0.0006100292666820000,0.0304406434298,0.06603952497240000,0.0014646603958700000,0.0162970162928,0.883504807949,0.00114552048035,0.0004978223587390000,0.0933063924313,0.252663254738,0.102332733572,0.20634432137000000,0.34535330534,0.904825270176,0.0951747223735,0.419637143612,0.580362856388,0.49427652359,114.974830627,spotify:track:6vYQEwAHHqkexMFbpCeZhV,7,14,15,18,19,0
Mikrokosmos,New Yok,Drum and Quetsch,0.998013138771,0.00198686984368,0.00304967537522,0.07590578496460000,0.211799606681,0.0316877476871,0.227622702718,0.431183636189,0.0136466883123,0.00510414410383,0.135392874479,0.202115654945,0.0998248159885,0.168843150139,0.393823504448,0.8753744363780000,0.12462554872000000,0.00661986507475,0.993380129337,0.8893222212790000,115.039505005,Not Found,7,14,15,18,19,0
One Night in Heaven,Bad Boys Blue,Super 20,0.930486917496,0.06951311230660000,0.0119753247127,0.0568235255778,0.23754927516,0.15136307478,0.163991466165,0.33836299181,0.0271120332181,0.0128223029897,0.0969731286168,0.176346063614,0.210537433624,0.097611784935,0.418531596661,0.994246602058,0.00575338443741,0.189440190792,0.810559809208,0.884864926338,115.192466736,spotify:track:2JJmCaOx2fjwGtfGlSwg8i,7,14,15,18,19,0
Love of a Lifetime,Chaka Khan,The Platinum Collection,0.7697235941890000,0.230276435614,0.0223788321018,0.046243261545900000,0.0275465864688,0.0446706265211,0.223955184221,0.327676177025,0.303151905537,0.004377436358480000,0.12126211822,0.240626469254,0.077346123755,0.186323031783,0.374442249537,0.714686751366,0.28531324863400000,0.351728767157,0.6482712030410000,0.897200703621,115.439201355,spotify:track:3GhNbHLTEhrZhGOGQKzYpw,7,14,15,18,19,0
Padlock,M People,Bizarre Fruit,0.861349225044,0.138650760055,0.0377930402756,0.0535057149827,0.119506157935,0.0785814002156,0.172721326351,0.490219503641,0.035382952541100000,0.012289917096500000,0.10338819772,0.205665662885,0.210885435343,0.155924886465,0.324135810137,0.938586950302,0.0614130571485,0.0510846413672,0.948915362358,0.909658193588,115.953552246,spotify:track:4aZZEKDFennFWuxpvhbjbQ,7,14,15,18,19,0
I Can Understand It,Bobby Womack,Midnight Mover: The Bobby Womack Collection,0.6910793185230000,0.308920711279,0.0265437383205,0.0194388367236,0.0733038261533,0.143877223134,0.19913721084600000,0.501167416573,0.030196484178300000,0.00633523194119,0.0983501449227,0.121493525803,0.189092546701,0.209198489785,0.381865292788,0.696252822876,0.303747177124,0.0192317143083,0.98076826334,0.721786558628,116.31035614,spotify:track:5cnBwDK9WO3m08rQNa2N7z,7,14,15,18,19,0
Model Murmur,Chris Connelly,Shipwreck,0.8870245814320000,0.112975396216,0.004681378602980000,0.014127096161200000,0.0678485780954,0.0135068912059,0.143603369594,0.720457673073,0.0307907871902,0.004984236788,0.0859252884984,0.091990083456,0.28375437855700000,0.07039471715690000,0.467935532331,0.577723681927,0.422276318073,0.0966318547726,0.90336817503,0.421464473009,117.069244385,spotify:track:3NAzSrR6EmjQxGZG80OgSr,7,14,15,18,19,0
