title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Ghost of A Horse,Emily Jane White,Victorian America,0.0208503920585,0.979149580002,0.0906982123852,0.0143193602562,0.0365208908916,0.10888812691,0.12831184268000000,0.5718094110490000,0.0163269955665,0.0331251472235,0.0797167941928,0.0765558406711,0.233618527651,0.0820564106107,0.528052449226,0.629804134369,0.370195865631,0.00208940519951,0.997910618782,0.0739353820682,110.663017273,spotify:track:5bK7NewSdAX0PjokJDQr9l,7,14,15,18,19,1
In My Dreams,David Crosby (King) 04,King Biscuit Flower Hour,0.209873616695,0.7901263833050000,0.279360085726,0.0193607266992,0.07862899452450000,0.0982998460531,0.07501710951330000,0.373745799065,0.0267519801855,0.0488354824483,0.0884363651276,0.180352270603,0.24318651855,0.168265640736,0.319759190083,0.74567091465,0.254329115152,0.19134747982,0.8086525201800000,0.0498596392572,111.45009613,Not Found,7,14,15,18,19,1
Debo Hacerlo,Ana Gabriel,Dos Amores un Amante,3.00000096379E-14,1.0,0.00156665686518,0.0346340015531,0.0210817791522,0.0210710912943,0.375384569168,0.530547916889,0.0147661464289,0.000947835273109,0.127118200064,0.167228028178,0.1377299577,0.126610681415,0.441313117743,0.723106503487,0.276893496513,0.493372142315,0.506627857685,0.83228623867,111.837814331,spotify:track:1mWEhNBrIR0HY5DatCawyE,7,14,15,18,19,1
Cobra Moon,Jon Hassell,Earthquake Island,0.0396375730634,0.960362434387,0.211408063769,0.007002776954320000,0.0354957841337,0.148316696286,0.0538678951561,0.505836725235,0.00552812032402,0.0325439572334,0.0569273531437,0.122385628521,0.281616359949,0.11621299386,0.422857671976,0.924499809742,0.0755002051592,0.08261667937040000,0.917383313179,0.43614923954,111.85272216800000,spotify:track:7fxJEhbvh96daiTbfCSx8P,7,14,15,18,19,1
Burgershot,Venetian Snares,Thank You for Your Consideration,3.00000096379E-14,1.0,0.0151238813996,0.043509986251600000,0.211168006063,0.0621605403721,0.170148044825,0.432069480419,0.0611911639571,0.00462889298797,0.12665788829300000,0.17855940759200000,0.220074608922,0.217001497746,0.257706582546,0.694579064846,0.305420905352,0.14974714815600000,0.850252866745,0.8783543705940000,111.872344971,Not Found,7,14,15,18,19,1
Tra la la la La,Ike & Tina Turner,Sue Records Story (Disc 2),0.0657850801945,0.934214890003,0.0985704287887,0.0287397690117,0.0388084240258,0.06799475848670000,0.15227727592,0.5640873909,0.0325722284615,0.0169497467577,0.0775972008705,0.0453077852726,0.23264689743500000,0.0309982970357,0.6134498119350000,0.98994410038,0.0100559210405,0.00547644495964,0.994523525238,0.783428966999,112.35144043,spotify:track:5WQV0EHAxgY7QOYP4XOoqa,7,14,15,18,19,1
RTZ,Warm Jets,Never Never,3.00000096379E-14,1.0,0.00221902574413,0.412600070238,0.0510075837374,0.0244226157665,0.00970835797489,0.493702381849,0.00302655762061,0.00331342499703,0.117702744901,0.131332755089,0.256913661957,0.0901309475303,0.4039198756220000,0.8859710693360000,0.114028930664,0.368052214384,0.631947755814,0.6781869530680000,113.440719604,Not Found,7,14,15,18,19,1
So in Love,k.d. lang,Recollection,0.103601969779,0.89639800787,0.007312510162590000,0.00956865679473,0.0082643032074,0.333559215069,0.185380473733,0.443529576063,0.00688775628805,0.00549752311781,0.0764955878258,0.17626623809300000,0.276407420635,0.112522915006,0.35830783844,0.710613250732,0.28938677907,0.076996691525,0.923003315926,0.6260730624200000,113.71411132800000,spotify:track:2VypHdZBa70FkswmOTuWrr,7,14,15,18,19,1
Quiero Saber (live),Gipsy Kings,¡Volaré!: the Very Best of the Gipsy Kings (Disc 2),0.337486416101,0.662513613701,0.058153759688100000,0.052309464663300000,0.0395336598158,0.14564345777,0.205170825124,0.34838131070100000,0.112474240363,0.0383332744241,0.158403903246,0.213201880455,0.232147499919,0.1575871557,0.238659575582,0.908673703671,0.0913263261318,0.217524856329,0.7824751734730000,0.8908062577250000,114.09957122800000,spotify:track:4jtOA7Oew1e782cT3S4QR3,7,14,15,18,19,1
Best That I Can (live from Melbourne),Vance Joy,Dream Your Life Away,0.252033859491,0.7479661703110000,0.0239232629538,0.07034172117710000,0.0100187864155,0.014976221136700000,0.226345136762,0.493130356073,0.157539382577,0.00372512452304,0.084121465683,0.180389910936,0.13289129734000000,0.124455399811,0.47814193368,0.646643340588,0.353356689215,0.0295704510063,0.97042953968,0.731397747993,114.612449646,Not Found,7,14,15,18,19,1
Free,Airto Moreira,Free,0.404042452574,0.595957577229,0.292163789272,0.0145234819502,0.153382629156,0.0921538174152,0.0581938810647,0.303374916315,0.0123893693089,0.0738181471825,0.0746543854475,0.0455865748227,0.232308149338,0.0322278030217,0.615223109722,0.7883344888690000,0.211665481329,0.15367923677,0.8463207483290000,0.101655095816,114.779624939,spotify:track:6T56e1qWJj3k5OCjD7q0vC,7,14,15,18,19,1
Private Dancer,Tina Turner,Private Dancer ❬made in holland❭,0.169698759913,0.830301225185,0.0275207981467,0.0107809426263,0.0131045402959,0.035588249564200000,0.140296831727,0.7171131968500000,0.0427235029638,0.0128719331697,0.08453908562660000,0.116878829896,0.299466311932,0.113292746246,0.385823041201,0.83562284708,0.164377138019,0.0377744324505,0.962225556374,0.5401287674900000,115.110618591,spotify:track:5JjdJK0uGRUk4skRTuQdUZ,7,14,15,18,19,1
