title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Ultimatum,Brian Tyler,Law Abiding Citizen,0.999999880791,1.00000008274E-07,0.169961988926,0.0219230670482,0.0539363771677,0.201717615128,0.053302206099,0.460617363453,0.0173599869013,0.0211813822389,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.006100122816860000,0.99389988184,0.999997258186,2.7495420909E-06,0.119810171425,109.18878936800000,spotify:track:084G9rz2s73Pu8RImhriVJ,7,14,16,17,19,0
Bobby,Belleruche,270 Stories,0.999993264675,6.72491978548E-06,0.0114908805117,0.0337220281363,0.126199096441,0.195003122091,0.0402500070632,0.568092167377,0.008675970137120000,0.0165667459369,0.120228871703,0.11939638108,0.199017077684,0.07448305189610000,0.486874610186,0.0619021803141,0.938097834587,0.952516019344,0.0474839545786,0.902966678143,109.200675964,spotify:track:2zEy0lqIUPzz48LH5Pslst,7,14,16,17,19,0
Designs,Brian Tyler,Law Abiding Citizen,0.999999880791,1.00000008274E-07,0.257810533047,0.013721829280300000,0.0530726313591,0.17481856048100000,0.0498843863606,0.40415340662,0.0144970752299,0.0320415720344,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0223155822605,0.977684438229,0.995971500874,0.00402852613479,0.231661975384,109.540039062,spotify:track:353XX6o5gSAkVLTWhdcEvq,7,14,16,17,19,0
Sculptures Hide,Hokusai,Jade / Sculptures Hide,0.993274629116,0.00672535551712,0.0519212633371,0.0717621669173,0.234178349376,0.104682683945,0.0457859113812,0.451601654291,0.0125105995685,0.0275573581457,0.0683064162731,0.0492067635059,0.188765212893,0.035133808851200000,0.658587813377,0.007722687907520000,0.9922773242,0.999986112118,1.3858809325E-05,0.8470070362090000,109.817260742,Not Found,7,14,16,17,19,0
Alone,XXYYXX,XXYYXX,0.999998569489,1.41128498399E-06,0.000199905465706,0.00554757798091,0.198448970914,0.000218233908527,0.00327151780948,0.7911438345910000,0.00024068246420900000,0.000929303700104,0.0916277319193,0.0696045681834,0.289345264435,0.04350348562,0.5059189200400000,0.114695951343,0.885304033756,0.648268222809,0.351731806993,0.838689863682,109.917549133,spotify:track:7gAvnRxzUCF61CK0vyHd5t,7,14,16,17,19,0
The True Grit,Ensemble Du Verre,The Contemporary Cowboy,0.89548265934,0.10451734066,0.0267661213875,0.0336522497237,0.0454801768064,0.0501072257757,0.196554005146,0.584144473076,0.0434364974499,0.0198592860252,0.0918148607016,0.113689601421,0.273993611336,0.0779141336679,0.442587792873,0.029008353129,0.970991671085,0.953633666039,0.046366352587900000,0.849661111832,109.935531616,spotify:track:5IzyYRgs1hAgmFtAUREaPG,7,14,16,17,19,0
The Eyes of the Storm,Saviour Machine,"Legend, Part I",0.7432297468190000,0.256770253181,0.081262409687,0.032462194562,0.129739254713,0.147100225091,0.14368891716000000,0.287675529718,0.133666783571,0.0444046743214,0.11210501194,0.113227859139,0.313054144382,0.0759298577905,0.385683119297,0.0527854114771,0.947214603424,0.596888959408,0.403111070395,0.7001767158510000,110.08924865700000,spotify:track:11k435m5mnyZQ5EpC8Fp14,7,14,16,17,19,0
Le Bateleur,Kreng,Grimoire,0.713322579861,0.286677449942,0.0287383198738,0.006090588402000000,0.0381590798497,0.0163391977549,0.019279493019,0.881307601929,0.00298219593242,0.007103546522560000,0.073579467833,0.0635599121451,0.249164640903,0.0483467280865,0.5653492212300000,0.05423596128820000,0.945764064789,0.997252166271,0.0027478153351700000,0.0567952357233,110.10171508800000,spotify:track:0aJ4FoXbU0ViwQEpgfB3W2,7,14,16,17,19,0
Ping,The Freight Elevator Quartet,Becoming Transparent,0.994365930557,0.00563408154994,0.0117763830349,0.263491421938,0.0574585162103,0.0142755834386,0.241834610701,0.280627340078,0.124395497143,0.00614063302055,0.103227376938,0.08699870854620000,0.16933083534200000,0.08112525939940000,0.559317827225,0.0637900978327,0.936209917068,0.852454602718,0.147545397282,0.6772729158400000,110.170570374,Not Found,7,14,16,17,19,0
07-jonas_bering--wissant,Jonas Bering,Sketches for the Next Season,0.993700444698,0.006299566011880000,0.017225144431,0.058566134423,0.108240567148,0.0686472132802,0.0449726395309,0.6810839772220000,0.006266773678360000,0.0149975651875,0.124671675265,0.138253599405,0.261034876108,0.125880792737,0.350159049034,0.00870699062943,0.991293013096,0.999989330769,1.06835841507E-05,0.926638662815,110.30103302,Not Found,7,14,16,17,19,0
Intro,Corpsessed,Abysmal Thresholds,0.999997615814,2.35858533415E-06,0.028195142746,0.184214174747,0.116609796882,0.071389913559,0.110738389194,0.362789988518,0.0807259231806,0.045336663723,0.0999995917082,0.0565607473254,0.114398404956,0.0274616461247,0.7015796303750000,0.00150087056682,0.998499155045,0.98500585556,0.014994174242,0.920110046864,110.33055877700000,spotify:track:24UTp87Peaz2MtHio2jNV0,7,14,16,17,19,0
Zuster,The Scene,The Scene,0.809997439384,0.190002545714,0.0261008832604,0.111360102892,0.157933175564,0.029320416972,0.14354762435,0.290867000818,0.229355156422,0.0115156378597,0.113128699362,0.117770478129,0.185953348875,0.101227223873,0.4819202423100000,0.339450716972,0.660549283028,0.866670787334,0.133329212666,0.733008623123,110.36733245800000,spotify:track:3gMSw53AlLf1KOUxJs9Gri,7,14,16,17,19,0
