title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Bad John,Lou Donaldson,Good Gracious!,3.00000096379E-14,1.0,0.00855157431215,0.0416820570827,0.103330418468,0.291933655739,0.0343958511949,0.473887115717,0.030537500977500000,0.0156818088144,0.0733673498034,0.0472970232368,0.22137004137,0.032178714871400000,0.62578690052,0.0127080734819,0.987291932106,0.995124340057,0.004875641316180000,0.486873239279,109.121536255,spotify:track:4w2GdSy3kYabu3WxnZmo8C,7,14,16,17,19,1
Les Deux Mains prises,Maxime Le Forestier,Né quelque part,3.00000096379E-14,1.0,0.00278860144317,0.00647974805906,0.21053570509,0.0336254388094,0.0145491203293,0.716259181499,0.00290141813457,0.0128607852384,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.110923588276,0.889076411724,0.999999761581,2.55822413919E-07,0.797065794468,109.45323944100000,spotify:track:58GT4bgwcBQfmzYpaCMjIs,7,14,16,17,19,1
Smokin 45,Bad Company,The Original Bad Co. Anthology,3.00000096379E-14,1.0,0.0097365649417,0.07148464024070000,0.1973824054,0.0412711687386,0.0477825291455,0.588894188404,0.0288898646832,0.014558638446,0.0771563053131,0.044436462223500000,0.227576807141,0.0306520555168,0.620178341866,0.00721034081653,0.992789685726,0.98926615715,0.010733840055800000,0.893139183521,109.46601867700000,spotify:track:3lXMX821sW8bzvCAsWGOPq,7,14,16,17,19,1
La Poupée,Maxime Le Forestier,Saltimbanque,3.00000096379E-14,1.0,0.0267964266241,0.0194509066641,0.101047165692,0.323517143726,0.0337959453464,0.430243551731,0.015188257210000000,0.0499606058002,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0151570411399,0.984842956066,1.0,3.96518429202E-10,0.721311986446,109.51398468,spotify:track:3GcFiHMtHuyPwJ6K6Qdw4c,7,14,16,17,19,1
Oceania,Limbonic Art,In Abhorrence Dementia,3.00000096379E-14,1.0,0.185318887234,0.0234927702695,0.0768563449383,0.22798421979000000,0.08141003549100000,0.276761114597,0.020613500848400000,0.107563138008,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.000882771390025,0.999117255211,0.999999821186,1.74051479007E-07,0.31294208765000000,109.59058380100000,spotify:track:2bLYccL1fWybxvExVLTRVP,7,14,16,17,19,1
Magritte,John Cale,HoboSapiens,3.00000096379E-14,1.0,0.00366878393106,0.0385850183666,0.25712582469,0.0138413123786,0.053731109947,0.609290659428,0.0130652757362,0.0106919752434,0.0778846591711,0.0455168895423,0.229616433382,0.032131105661400000,0.614850878716,0.00116717081983,0.998832821846,0.948654949665,0.051345080137300000,0.490063160658,109.60243988,spotify:track:5aCgNdNC5v2KjMdDGlgD2b,7,14,16,17,19,1
I Came to Your Party Dressed As a Shadow,Piano Magic,Heart Machinery - A Piano Magic Retrospective (2001-2008),0.0231518801302,0.976848125458,0.0904310941696,0.00887781567872,0.0346108190715,0.206568583846,0.028450302779700000,0.5662153363230000,0.008896860294040000,0.0559491589665,0.101205818355,0.0656187832355,0.290937244892,0.0427633821964,0.49947476387,0.0366129539907,0.963387072086,0.510378301144,0.489621698856,0.739527463913,109.95586395300000,spotify:track:2RAbPynwGNeRBXOarWAciy,7,14,16,17,19,1
Early Life Remainings,Between Interval,Autumn Continent,3.00000096379E-14,1.0,0.07028659433130000,0.00892832130194,0.0391863137484,0.101048603654,0.0248996745795,0.5792177915570000,0.00966086518019,0.16677185893100000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0126921320334,0.987307846546,1.0,1.23469831581E-10,0.34682303667100000,109.973083496,spotify:track:3Bcbx583M4HepeM6CEb36W,7,14,16,17,19,1
Wet Prospect,Stud,Lotreamon EP,3.00000096379E-14,1.0,0.006105754524470000,0.0483702197671,0.145879879594,0.0248780492693,0.0232661999762,0.740761160851,0.00346037815325,0.0072783879004400000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0797583088279,0.920241713524,0.94279551506,0.0572044998407,0.544193208218,110.049171448,Not Found,7,14,16,17,19,1
Modul 41_17,Nik Bärtschs Ronin,Holon,3.00000096379E-14,1.0,0.00341056636535,0.0161895044148,0.157396823168,0.0369444563985,0.00984346307814,0.7549402713780000,0.0039214133285,0.0173535123467,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00547603936866,0.994523942471,0.999999940395,6.27336049774E-08,0.08089349418880000,110.09560394300000,spotify:track:2BbWZCRAExInkmEGlQIXMb,7,14,16,17,19,1
The Day I Met Marie,Cliff Richard,The Singles Collection,3.00000096379E-14,1.0,0.021749541163400000,0.0216097980738,0.237998694181,0.154364779592,0.0601750314236,0.401037096977,0.0472136326134,0.0558514110744,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00539969280362,0.994600296021,0.999999880791,1.27540161543E-07,0.856959283352,110.09770202600000,spotify:track:0kPScw402nfsLgRHvs0bE9,7,14,16,17,19,1
Guts,John Cale,Close Watch: An Introduction to John Cale,3.00000096379E-14,1.0,0.0258920378983,0.017521366477000000,0.250940054655,0.0278750155121,0.121676415205,0.48017936945,0.062561288476,0.0133544607088,0.0794311985373,0.0460662469268,0.229660779238,0.0320986919105,0.612743079662,0.0181605219841,0.981839478016,0.877786278725,0.122213721275,0.7841393351550000,110.113983154,spotify:track:3an6sA5wnKN1SG5s0pEwbC,7,14,16,17,19,1
The Years Of Decay,Overkill,The Years of Decay,0.398045808077,0.601954162121,0.0292651318014,0.0281747858971,0.122801288962,0.108927555382,0.0996236503124,0.436028748751,0.162223622203,0.0129552194849,0.07373154908420000,0.0775753930211,0.212548196316,0.046786379069100000,0.589358448982,0.458818346262,0.541181623936,0.880985379219,0.119014628232,0.467808812857,110.13898468,spotify:track:41JO1vI5HbsJLhro5dgsh0,7,14,16,17,19,1
Telephone,Bembeya Jazz National,The Syliphone Years,3.00000096379E-14,1.0,0.0179415754974,0.0177591498941,0.0448084287345,0.07049037516120000,0.20195543766,0.586530566216,0.04812555387620000,0.0123889138922,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.261087834835,0.7389121651650000,0.999999940395,4.74585881705E-08,0.661314189434,110.190383911,spotify:track:7vrJj4DetliBsSTHUZzuQu,7,14,16,17,19,1
Sunset to Dawn,The Sadies,New Seasons,3.00000096379E-14,1.0,0.0209411550313,0.0419977456331,0.127449765801,0.210151135921,0.211171284318,0.229272499681,0.12621147930600000,0.0328049361706,0.0738468915224,0.046831399202300000,0.226471766829,0.033086884766800000,0.619763076305,0.00253287609667,0.99746710062,0.999998748302,1.23638938021E-06,0.76968985796,110.21305847200000,spotify:track:6g2o72ZBkE1bIXVwD1fp8b,7,14,16,17,19,1
Mera Sohna Sajan,Nusrat Fateh Ali Khan,The Rough Guide to Nusrat Fateh Ali Khan,3.00000096379E-14,1.0,0.0256911609322,0.008465522900220000,0.106983348727,0.0492095835507,0.0855517089367,0.6449466347690000,0.0549363195896,0.0242157001048,0.0771910846233,0.0444298498333,0.227727636695,0.0306425057352,0.620008945465,0.135839655995,0.864160358906,0.999997675419,2.33849414144E-06,0.834971010685,110.48365020800000,spotify:track:0dcNSxKPUbvY1QYBXvJqUb,7,14,16,17,19,1
Into My Arms (feat. Roedernallee),Angelzoom,Angelzoom,3.00000096379E-14,1.0,0.0211971662939,0.0436850301921,0.036025978624800000,0.0372472219169,0.031755004078100000,0.8001587390900000,0.0143303908408,0.0156004782766,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00142702867743,0.998572945595,0.999999523163,4.58354037391E-07,0.444110006094,110.77165222200000,Not Found,7,14,16,17,19,1
Those Distant Bells,Snow Patrol,Fallen Empires,3.00000096379E-14,1.0,0.0952081158757,0.0196524541825,0.07754552364350000,0.130903482437,0.108918994665,0.42468932271,0.0356197841465,0.107462316751,0.0769538059831,0.044616062194100000,0.228446155787,0.0308746285737,0.619109332561,0.00553517322987,0.994464814663,0.999998867512,1.12445854938E-06,0.6961234211920000,110.82367706300000,spotify:track:3BEbJsjV9wONO7yHYjURD5,7,14,16,17,19,1
Stone River,J.J. Cale,To Tulsa and Back,3.00000096379E-14,1.0,0.0159613024443,0.066738769412,0.240175798535,0.274045914412,0.0478750355542,0.28037893772100000,0.0382688008249,0.0365554392338,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00229171942919,0.997708261013,0.999999761581,2.27782777529E-07,0.870615780354,111.152084351,spotify:track:4xEw7KhX9HICCiHofBBu5C,7,14,16,17,19,1
