title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Rensenada,Ricardo Villalobos & Max Loderbauer,Re: ECM (Disc2),0.999999880791,1.153348137E-07,0.00518275424838,0.121994182467,0.0530326291919,0.008747781626880000,0.0544596426189,0.736972033978,0.0108813261613,0.008729621768,0.07423249632120000,0.046472594142000000,0.220036759973,0.0315922535956,0.627665877342,0.00844472181052,0.991555273533,0.819327950478,0.180672049522,0.86702889204,64.0139465332,Not Found,7,14,16,17,20,0
Postpone,James Blake,CMYK EP,0.850110769272,0.149889215827,0.025172764435400000,0.0172204803675,0.166283398867,0.123430520296,0.0296449996531,0.6093198060990000,0.00484018027782,0.0240878798068,0.259658902884,0.189730465412,0.131956592202,0.0875697731972,0.331084251404,0.0510753281415,0.948924660683,0.5302129387860000,0.469787031412,0.68391263485,69.9207839966,spotify:track:6Mg0Xso4uxU5xb1OaiUP0M,7,14,16,17,20,0
Tombant,Biosphere,Autour de la Lune,0.999999880791,1.00000008274E-07,0.00890044029802,0.13403481245000000,0.281040757895,0.0395903028548,0.0701956748962,0.443903297186,0.0113959275186,0.0109387813136,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.192240685225,0.807759284973,1.0,1.63718660851E-09,0.81075322628,69.97429656980000,spotify:track:5mSe6DroY5OUY7B52P2J3D,7,14,16,17,20,0
Nothing to Say,Reverend and the Makers; Matic Mouth;Kimmi Kub,@Reverend_Makers,0.999990582466,9.42480619415E-06,0.0016520736971900000,0.101227611303,0.353327602148,0.00585645483807,0.0428800359368,0.487626284361,0.00359372096136,0.00383623433299,0.207327589393,0.17880551517,0.258776515722,0.0556826777756,0.299407720566,0.153028100729,0.846971929073,0.8852401375770000,0.114759854972,0.967456102371,69.992149353,spotify:track:5wbYlaOHqgVShAoX8jn2hX,7,14,16,17,20,0
Truancy,El‐P,Fandam Plus,0.999999880791,1.00000008274E-07,0.0752068907022,0.0341028012335,0.296431660652,0.041949659586,0.0712145343423,0.359067827463,0.113915786147,0.008110824972390000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.192618221045,0.807381749153,0.749419867992,0.25058016181,0.463181585073,71.3780593872,spotify:track:4gDtyYTbtQLwxaYCeAztTN,7,14,16,17,20,0
The Shadow Eater,Tertium Non Data,The Third Is Not Given,0.53321146965,0.46678853035,0.0729810968041,0.02840722166,0.189011454582,0.0915082097054,0.108864016831,0.427178800106,0.0526474639773,0.0294017530978,0.07380396127700000,0.044614456594000000,0.232658535242,0.0322180502117,0.616705000401,0.00129355350509,0.998706459999,0.999994754791,5.25030782228E-06,0.137245759368,72.2596206665,Not Found,7,14,16,17,20,0
Niji Baby,B.B. King,King of the Blues (disc 3: 1969-1975),0.999952673912,4.73303662147E-05,0.0404361858964,0.0212881043553,0.14316380024,0.24835909903,0.199289634824,0.263437747955,0.0476937629282,0.036331653595,0.0833306014538,0.0681018456817,0.326698303223,0.0783406123519,0.443528622389,0.000596894649789,0.999403119087,0.986222624779,0.013777356594800000,0.747394919395,77.5550460815,spotify:track:7H2P5jPAH7D1KvRrRkh2Bs,7,14,16,17,20,0
Technical Difficulties,Dr. Octagon,Dr. Octagonecologyst,0.999329388142,0.000670622335747,0.0237812772393,0.0296382177621,0.320573240519,0.0356325283647,0.0637817084789,0.472794771194,0.0281931664795,0.025605082511900000,0.109782338142,0.123949833214,0.10540484637,0.118043541908,0.542819440365,0.0205679368228,0.979432046413,0.947243392467,0.0527566224337,0.965380191803,79.9529953003,spotify:track:37weQy2ao0LEwvqxAYPXAQ,7,14,16,17,20,0
Cilantro,REALMS,BRAILLE,0.999999880791,1.00000008274E-07,0.0149409910664,0.032519441098,0.108257748187,0.0204098466784,0.226903140545,0.549771666527,0.0329772382975,0.0142199089751,0.123562440276,0.154573574662,0.213823214173,0.0413019768894,0.466738790274,0.228091940284,0.771908044815,0.860091507435,0.139908477664,0.928377270699,79.9797668457,Not Found,7,14,16,17,20,0
I Cover You With Blood (Wounds mix),Unto Ashes,Empty Into White,0.615405738354,0.384594291449,0.0158708617091,0.037815477699,0.114357113838,0.0521369986236,0.246752902865,0.4912985265250000,0.0309972837567,0.010770848020900000,0.144526004791,0.253471106291,0.14462544024,0.163809671998,0.29356777668,0.215249925852,0.7847500443460000,0.657727658749,0.342272311449,0.8292220830920000,79.9908599854,spotify:track:1tWPJm6NT0yv9TfaJaTn4U,7,14,16,17,20,0
