title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Waters of Life,Mystical Sun,Deeperworlds,3.00000096379E-14,1.0,0.134568437934,0.0266389790922,0.09651969373230000,0.157078132033,0.0288148056716,0.491162896156,0.0100146913901,0.055202346295100000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00317501509562,0.996824979782,1.0,4.2553288638E-14,0.327032446861,67.9750442505,spotify:track:2wf73GVdHHiONwOC0eHQzn,7,14,16,17,20,1
Hymne,Vangelis,Opera Sauvage,3.00000096379E-14,1.0,0.113243922591,0.0226737558842,0.037122964859,0.126226589084,0.154850840569,0.401468902826,0.0965356603265,0.0478773750365,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00367606407963,0.996323943138,0.999997317791,2.67106543106E-06,0.07038929313420000,71.8061752319,spotify:track:1C128gNLnz7jXsQRQ6QYXn,7,14,16,17,20,1
Hold Back My Tears,Etta James,Losers Weepers,3.00000096379E-14,1.0,0.0139019805938,0.00290652993135,0.217388808727,0.086484618485,0.034765478223600000,0.604162573814,0.00791701674461,0.0324730165303,0.07722133398060000,0.044408518821,0.227761209011,0.0306350290775,0.6199738979340000,0.0114986235276,0.988501369953,0.989265203476,0.0107348216698,0.6666013598440000,72.9613723755,spotify:track:2drNM2tVVkJbtTlyn6hB3u,7,14,16,17,20,1
Thick Streets,Saul Stokes,Outfolding,0.208126187325,0.791873812675,0.101025648415,0.0155705912039,0.0498951338232,0.104657366872,0.0879376456141,0.5912107825280000,0.0196379497647,0.0300648640841,0.110167503357,0.1947850734,0.258445054293,0.133957579732,0.302644789219,0.00107217242476,0.99892783165,0.999999165535,8.48605964165E-07,0.36371999979,74.2675476074,Not Found,7,14,16,17,20,1
Go No More A-Roving,Leonard Cohen,Dear Heather,3.00000096379E-14,1.0,0.011014197953000000,0.07070197910070000,0.240856274962,0.0538129545748,0.0444874279201,0.529964327812,0.0254664141685,0.0236964393407,0.0772214457393,0.044406119734,0.227747142315,0.0306334216148,0.619991838932,0.00145846803207,0.998541533947,1.0,2.06902672772E-08,0.676185309887,74.934211731,spotify:track:3wYA5SDF5cyAXpT4PdjVxw,7,14,16,17,20,1
The Shape of Things to Come,Syntaks,Ylajali,0.17042043805100000,0.829579532146,0.298437029123,0.0250931233168,0.044184580445300000,0.0754568055272,0.152826189995,0.330734580755,0.038090094924,0.035177621990400000,0.0627413988113,0.05408478155730000,0.40068590641,0.07205612957480000,0.410431802273,0.00677521247417,0.993224799633,0.979252398014,0.0207475721836,0.412166029215,75.0149459839,spotify:track:4rauhp2f4jZCe9PFhezhGw,7,14,16,17,20,1
India Song (Remixed by Mobile in Motion),Malia,Yellow Daffodils,3.00000096379E-14,1.0,0.021774798631700000,0.054087150842000000,0.045424949377800000,0.051510732621,0.0181940682232,0.730476140976,0.0187577605247,0.05977438762780000,0.0795689299703,0.0530399680138,0.200767800212,0.0384159423411,0.62820738554,0.011788720265000000,0.988211274147,0.999999880791,9.1357776455E-08,0.452789127827,77.1260986328,Not Found,7,14,16,17,20,1
Ebudæ,Enya,Shepherd Moons,3.00000096379E-14,1.0,0.0187119804323,0.0199031978846,0.120869196951,0.14925660193,0.0311838425696,0.603287935257,0.014818177558500000,0.0419690571725,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.000394119153498,0.999605894089,1.0,1.04805808129E-11,0.343895018101,77.4521408081,spotify:track:5DjixNToIl7gYrPJuST6tH,7,14,16,17,20,1
In the Still of the Night,Dion,Runaround Sue,3.00000096379E-14,1.0,0.0214586183429,0.00881359726191,0.077079243958,0.101731941104,0.016686860472,0.70367372036,0.0188524015248,0.0517036467791,0.077199973166,0.0444137230515,0.22773745656,0.030639037489900000,0.6200097799300000,0.00630276370794,0.993697226048,0.999996602535,3.3758428799E-06,0.26475879550000000,77.6601104736,spotify:track:1swkskqEBEyaplF10RuzGw,7,14,16,17,20,1
Eternity,Lizz Wright,Salt,0.127319827676,0.872680187225,0.00376649131067,0.007730496115980000,0.131017580628,0.20722463727,0.024952692911,0.598907589912,0.0109601644799,0.0154403811321,0.0898724719882,0.130361020565,0.17430253326900000,0.101920619607,0.503543376923,0.0220922082663,0.977907776833,0.965351641178,0.0346483774483,0.6104978919030000,77.9302444458,spotify:track:2oO5OrzKmENxna997IvisN,7,14,16,17,20,1
IV. Kneel and Disconnect,Porcupine Tree,The Incident,3.00000096379E-14,1.0,0.035938590765,0.0150708733127,0.202472448349,0.113982915878,0.0273572262377,0.565237820148,0.00608253944665,0.0338575765491,0.0772226378322,0.0444035716355,0.227747872472,0.0306320860982,0.619993805885,0.11140935123,0.888590633869,0.999999582767,4.23441065323E-07,0.522536814213,77.9915466309,Not Found,7,14,16,17,20,1
Why Dont You Try,Leonard Cohen,Field Commander Cohen: Tour of 1979,0.253933906555,0.7460660934450000,0.0172292608768,0.0130477026105,0.180474564433,0.339445471764,0.048307053744800000,0.354487836361,0.0271968096495,0.0198113005608,0.0761303752661,0.0684830248356,0.202626854181,0.061239410191800000,0.591520369053,0.00213533919305,0.997864663601,0.962745666504,0.0372543558478,0.777074337006,78.1046905518,spotify:track:6RKqfacfhX7H0niq8r9VBg,7,14,16,17,20,1
Lacus Gaudii,Elliott Sharp,Octal: Book Three,0.0271909832954,0.972809016705,0.219773501158,0.00990502350032,0.033877748996000000,0.121812731028,0.152908146381,0.241621643305,0.107545673847,0.112555533648,0.164141073823,0.182539582253,0.223031520844,0.08300015330310000,0.347287684679,0.07776064425710000,0.922239363194,0.999982774258,1.72112977452E-05,0.958780050278,78.2531204224,spotify:track:2QiC1IpoImBj9hoQELnDS8,7,14,16,17,20,1
Fragment,Xingu Hill,Maps of the Impossible,0.215062335134,0.784937679768,0.07669279724360000,0.00899622682482,0.143656983972,0.119088977575,0.0353723913431,0.600511789322,0.00412384793162,0.0115570016205,0.06912415474650000,0.0517603419721,0.339812278748,0.0614537186921,0.47784948349,0.0100809382275,0.989919066429,0.999992728233,7.25577456251E-06,0.532971560955,78.4909667969,Not Found,7,14,16,17,20,1
Fairytale of New York,The Pogues feat. Kirsty MacColl,The Ultimate Collection,3.00000096379E-14,1.0,0.0385778732598,0.034807857126,0.114427052438,0.08777563273910000,0.224132090807,0.34519112110100000,0.08088844269510000,0.0741999298334,0.0772226378322,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.010232142172800000,0.989767849445,0.993656039238,0.00634395191446,0.685260593891,79.1659164429,spotify:track:3VTNVsTTu05dmTsVFrmGpK,7,14,16,17,20,1
Ramshackle,Beck,Odelay,3.00000096379E-14,1.0,0.017319049686200000,0.114630170166,0.266773402691,0.0821002647281,0.0437447428703,0.4229512810710000,0.0187696926296,0.0337113924325,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,2.43277936534E-05,0.999975681305,0.99744284153,0.00255718058906,0.42314350605,79.2726364136,spotify:track:7HIz1aewL54pBOudQ3jgef,7,14,16,17,20,1
The Late Greats,Wilco,A Ghost Is Born,3.00000096379E-14,1.0,0.018567321822,0.245337665081,0.167401760817,0.0422760471702,0.129255145788,0.309566617012,0.0614427402616,0.0261527113616,0.07510246336460000,0.04501803964380000,0.223822534084,0.0316968485713,0.624360084534,0.00162176508456,0.99837821722,0.999985158443,1.48633425852E-05,0.844260752201,79.47207641600000,spotify:track:5230pLr8uPEivALgeMEqZ6,7,14,16,17,20,1
Ramshackle,Beck,Odelay,3.00000096379E-14,1.0,0.00988838449121,0.027107603848,0.106648549438,0.141077533364,0.0186880491674,0.66947978735,0.00771158840507,0.019398501142900000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00061410095077,0.999385893345,0.991803407669,0.00819660630077,0.250744462013,79.5685501099,spotify:track:7HIz1aewL54pBOudQ3jgef,7,14,16,17,20,1
Evergreen,Windhand,Soma,0.0511581897736,0.948841810226,0.0307323355228,0.0302525311708,0.0182718355209,0.07045494019990000,0.266232669353,0.52954274416,0.0299405176193,0.0245724506676,0.125140249729,0.086487531662,0.368651986122,0.0503341071308,0.369386136532,0.255332320929,0.744667708874,0.7927855849270000,0.207214385271,0.934670269489,79.6056442261,spotify:track:7cAlludZgzMdlBVRleN8zX,7,14,16,17,20,1
"Computerized, Solarized",Stuart Elliott,Ultrasonic,3.00000096379E-14,1.0,0.0625143796206,0.0254214312881,0.126563742757,0.0960332155228,0.259844332933,0.27930060029,0.0808270275593,0.06949526816610000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.188452586532,0.811547398567,1.0,2.18527818063E-09,0.420110285282,79.6595306396,Not Found,7,14,16,17,20,1
The Scare Room,Daniel Licht,Silent Hill: Book of Memories,0.348268091679,0.6517319083210000,0.0758158117533,0.032591193914400000,0.147076919675,0.0451992973685,0.0568866431713,0.578934669495,0.0310827512294,0.0324127152562,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00180248741526,0.998197495937,0.902886152267,0.0971138626337,0.442123949528,79.8058319092,spotify:track:3KzIdtCBlEKIh6RA6nftWs,7,14,16,17,20,1
Sometimes in Winter,"Blood, Sweat & Tears","Blood, Sweat & Tears",3.00000096379E-14,1.0,0.0518557652831,0.0259982850403,0.174171537161,0.23086720705,0.0688816532493,0.29821908474,0.030793799087400000,0.119212664664,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00240866816603,0.9975913167,1.0,1.0050754895E-08,0.562252104282,79.9638519287,spotify:track:1vdEYqMaRGg0Wb4TFhOlyF,7,14,16,17,20,1
I Believe (live),Riverside,Voices in My Head,3.00000096379E-14,1.0,0.0337255038321,0.05065648257730000,0.0551212280989,0.133455574512,0.122717760503,0.439119696617,0.0764097571373,0.08879399299620000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.000503218499944,0.999496757984,0.999999940395,5.00967409778E-08,0.697462141514,80.1590499878,spotify:track:1i3tYAFl6muBhiuJKYXof3,7,14,16,17,20,1
Zoras Domain,Zelda Reorchestrated,Ocarina of Time,3.00000096379E-14,1.0,0.0142831569538,0.0373938754201,0.115521684289,0.293202728033,0.0397021882236,0.451194226742,0.0290509946644,0.0196511503309,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0157814733684,0.984218537807,0.999999165535,8.52716993904E-07,0.774101138115,80.208732605,spotify:track:38J4vi3KxH4PvIOu4eMKn7,7,14,16,17,20,1
Modul 55 (Salzau),Nik Bärtschs Ronin,Live (Disc2),0.07658097147940000,0.923419058323,0.0114525305107,0.00457700435072,0.0175460223109,0.0539416782558,0.0946449786425,0.7934309244160000,0.0066601713188,0.0177466832101,0.08078847080470000,0.0842797234654,0.237952828407,0.052583031356300000,0.544395923615,0.0149774672464,0.985022544861,0.995742440224,0.004257557448000000,0.529626190662,81.6047210693,Not Found,7,14,16,17,20,1
How Can You Mend a Broken Heart,Bee Gees,One Night Only,3.00000096379E-14,1.0,0.116002008319,0.0179091338068,0.248469725251,0.146753937006,0.116962514818,0.24965916574,0.0394251793623,0.0648183375597,0.0774138197303,0.044429179281,0.228059187531,0.0306785963476,0.61941921711,0.00240695709363,0.997593045235,0.906851768494,0.0931482166052,0.715972423553,81.6779785156,spotify:track:1jy0RbDHyBMTupSdc98XbG,7,14,16,17,20,1
Danny the Dog,Massive Attack,Danny the Dog,3.00000096379E-14,1.0,0.0238035991788,0.0277650225908,0.144647032022,0.105713821948,0.057654928416,0.555520713329,0.0114025790244,0.0734922736883,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0006102432380430000,0.999389767647,1.0,1.66632185827E-09,0.201280161738,81.7235488892,spotify:track:1f5Wbte0mU50h1xr6GZKRT,7,14,16,17,20,1
Afterburner,Ernesto Aeroflot,Oll Tolkn No Ding Atcheevd,0.19651466608,0.8034853339200000,0.0533695705235,0.0200694371015,0.0791042074561,0.0489023812115,0.303322762251,0.35285806655900000,0.110449559987,0.0319240316749,0.131260082126,0.143064647913,0.223136678338,0.104717865586,0.397820740938,0.0685963630676,0.931403636932,0.960724890232,0.0392750836909,0.7363495826720000,82.5100860596,Not Found,7,14,16,17,20,1
Your Call,Secondhand Serenade,A Twist in My Story,3.00000096379E-14,1.0,0.0584926195443,0.0116586750373,0.245306655765,0.180517211556,0.0531790070236,0.399580806494,0.0117990830913,0.0394659489393,0.0772233381867,0.0444037206471,0.227749288082,0.0306321755052,0.6199914813040000,0.00148449698463,0.998515486717,0.999999463558,5.22572179307E-07,0.247047796845,82.8046035767,spotify:track:7ddJJFmXZ3984IbVEKinp5,7,14,16,17,20,1
Complication,freeBidou,Baby Foot Party,3.00000096379E-14,1.0,0.0299469362944,0.034052245318900000,0.243361502886,0.104945667088,0.12771615386,0.375340759754,0.034385751932900000,0.0502509772778,0.0773054584861,0.0444440618157,0.227888390422,0.0306663438678,0.6196957230570000,0.0248183496296,0.975181639194,0.999999880791,1.01567529498E-07,0.895383238792,82.91947174070000,Not Found,7,14,16,17,20,1
Ponte la Clave,Chucho Valdés,Live at the Village Vanguard,3.00000096379E-14,1.0,0.0342741943896,0.024359267205,0.315223604441,0.185818195343,0.0112172756344,0.339973270893,0.00802662409842,0.0811075866222,0.0750336721539,0.0448738560081,0.226504385471,0.031277958303700000,0.622310101986,0.0162119213492,0.983788073063,1.0,1.52136046816E-11,0.5381255149840000,83.268119812,Not Found,7,14,16,17,20,1
I Started a Joke,Bee Gees,One Night Only,3.00000096379E-14,1.0,0.09161831438540000,0.0227025505155,0.140541285276,0.190970152617,0.114989027381,0.295558333397,0.041379187256100000,0.102241136134,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00954139605165,0.990458607674,0.770610332489,0.229389697313,0.61890912056,83.3265304565,spotify:track:36CKza28wMxYdjdzji7ine,7,14,16,17,20,1
