title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Spring Dawn,Jim Cole & Mathias Grassow,The Hollow,0.996121346951,0.00387862324715,0.0146387675777,0.0942807346582,0.102995656431,0.0532450415194,0.103280909359,0.5262663364410000,0.0875583142042,0.0177342295647,0.093299895525,0.0448371618986,0.102116845548,0.028526570648,0.731219530106,0.0005409381119530000,0.999459087849,0.165965735912,0.8340342640880000,0.379728138447,109.574417114,spotify:track:6Qq5Sl0UCgzBnv8e7W1WJi,7,14,16,18,19,0
Scratched,Étienne de Crécy,My Contribution to the Global Warming,0.979344069958,0.0206559076905,0.00475456193089,0.0637818127871,0.256916701794,0.103490464389,0.065607175231,0.492667704821,0.00597331812605,0.006808261387050000,0.197204589844,0.188522145152,0.213598445058,0.152099430561,0.248575389385,0.423784047365,0.5762159228320000,0.161516904831,0.838483095169,0.8576431870460000,109.80801391600000,spotify:track:5vdpZAMLmoip0fMzjkjBg1,7,14,16,18,19,0
Speargun,James Newton Howard,Waterworld,0.973527252674,0.0264727622271,0.0150283901021,0.0198171529919,0.296615660191,0.0326878093183,0.0374155603349,0.564903855324,0.00964683946222,0.0238847453147,0.122635185719,0.107695572078,0.267060697079,0.07592784613370000,0.42668068409,0.000288155424641,0.999711871147,0.423217326403,0.5767827034,0.687177538872,109.84034729,spotify:track:5yOAOFhnYTTOihlWKoidr7,7,14,16,18,19,0
Lysistrata (album edit),Aes Dana,Leylines,0.993975579739,0.00602442352101,0.011437735520300000,0.08519680053000000,0.148519694805,0.0170743409544,0.0588217005134,0.658744692802,0.00581111572683,0.0143939200789,0.0769427269697,0.0460925884545,0.281614214182,0.0365423820913,0.558808088303,0.0165659151971,0.983434081078,0.263468950987,0.736531078815,0.379056364298,109.929405212,Not Found,7,14,16,18,19,0
Nichts,Prinzen,D,0.99567759037,0.004322426859290000,0.00300503429025,0.0231467876583,0.123530499637,0.00520008336753,0.368971735239,0.467770665884,0.00573497498408,0.00264022359625,0.124730981886,0.21701665222600000,0.117919020355,0.207587525249,0.332745820284,0.118816375732,0.881183624268,0.294028311968,0.705971717834,0.963127672672,109.98287200900000,spotify:track:5uPdMbsAVJgdkcCkMPKlBa,7,14,16,18,19,0
Animal X,Nick Cave & The Bad Seeds,Animal X,0.7791888713840000,0.220811143517,0.0524196512997,0.148544877768,0.0935189276934,0.0762305185199,0.15481980145,0.253961354494,0.151179358363,0.0693255066872,0.127831861377,0.111705459654,0.278105139732,0.0837013423443,0.398656219244,0.107380852103,0.892619132996,0.00409770384431,0.995902299881,0.90363997221,109.989356995,spotify:track:5HkQwwo2r0unzqEdRtHI1u,7,14,16,18,19,0
Worry,The Robert Cray Band,Nothin But Love,0.7093138098720000,0.29068616032600000,0.0130481403321,0.0377254150808,0.194640576839,0.0386992692947,0.210603684187,0.454386234283,0.0395045913756,0.0113920904696,0.106378316879,0.145307838917,0.14310917258300000,0.164261236787,0.440943449736,0.113330766559,0.88666921854,0.354820221663,0.645179748535,0.888603746891,110.1040802,spotify:track:3jHRr9SQGpfAc2JV4ietEq,7,14,16,18,19,0
Flood Corps,Rasputina,Oh Perilous World (bonus disc: Side 2),0.748755276203,0.251244753599,0.028292395174500000,0.052260339260100000,0.10450989753,0.0744934603572,0.194496005774,0.457661002874,0.0105633363128,0.07772357016800000,0.126970797777,0.13431043922900000,0.23179449141,0.11684306711,0.390081197023,0.304929614067,0.695070385933,0.13985818624500000,0.860141813755,0.900555253029,110.20201873800000,spotify:track:1zJn95n21fTSuutDdENLEW,7,14,16,18,19,0
You Are in My System,Robert Palmer,"Addictions, Volume 2",0.992485940456,0.00751405861229,0.0116528831422,0.231276586652,0.214443698525,0.0306946691126,0.112035416067,0.371812105179,0.0145887350664,0.0134959211573,0.08430913835760000,0.0918173640966,0.264826267958,0.176523506641,0.382523745298,0.126142725348,0.87385725975,0.253606557846,0.7463934421540000,0.923496246338,111.30799102800000,spotify:track:1NluXt216fuqjX7KcmYQxM,7,14,16,18,19,0
Ghostwalk,Patchwork,Diorama,0.993287503719,0.00671248976141,0.00629703281447,0.0215450450778,0.127855241299,0.016196638345700000,0.0268755648285,0.779730498791,0.00802074372768,0.0134792551398,0.07722277194260000,0.044404566288,0.227746516466,0.030632250011,0.619993925095,0.000225686046178,0.999774336815,0.19593603909,0.804063975811,0.7937235236170000,111.74989318800000,Not Found,7,14,16,18,19,0
