title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Slave (Version),Female,"The End of Living, the Start of Survival",3.00000096379E-14,1.0,0.00053412176203,0.0105769485235,0.235582694411,0.00348412734456,0.0745168998837,0.662750899792,0.00279008969665,0.00976421870291,0.08972600847480000,0.0680499002337,0.296762287617,0.0541533343494,0.491308450699,0.0348854847252,0.965114533901,0.0147920576856,0.985207915306,0.985977530479,67.4409332275,Not Found,7,14,16,18,20,1
Said Speed,Africa Hitech,Hitecherous,3.00000096379E-14,1.0,0.00104787771124,0.0231674574316,0.338741660118,0.00331718241796,0.0189855415374,0.600075006485,0.0007527242996730000,0.0139125362039,0.08805201947690000,0.0542932786047,0.33140450716,0.0379119105637,0.488338291645,0.08473244309430000,0.915267586708,0.07293745875360000,0.927062571049,0.828668951988,71.4276809692,spotify:track:7v5FhXTT79U4SUzjNWIGJF,7,14,16,18,20,1
Parliament Hillz,Babylon Warchild,Babylon Warchild,0.99910646677,0.000893538468517,0.001453179284,0.0679584816098,0.0388184897602,0.00440568244085,0.178491279483,0.627161979675,0.0802895501256,0.0014213292161,0.07791246473790000,0.120721839368,0.134044960141,0.0770936459303,0.5902270674710000,0.3929672241210000,0.607032775879,0.0259274672717,0.974072515965,0.952710390091,78.730796814,Not Found,7,14,16,18,20,0
The More I See You,Hank Mobley,Roll Call,3.00000096379E-14,1.0,0.0152656780556,0.0207286737859,0.203789412975,0.33889567852,0.02496403642,0.345243424177,0.0120966620743,0.039016444236,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.258582621813,0.74141740799,0.048269245773600000,0.951730728149,0.506259679794,79.3565750122,spotify:track:42iATJYN5S908wQMReeDkV,7,14,16,18,20,1
Hurt,Nine Inch Nails,And All That Could Have Been,0.491153746843,0.508846223354,0.0847652703524,0.0141496183351,0.036250334233,0.032329861074700000,0.07490486651660000,0.721150279045,0.0121580492705,0.0242917444557,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.281214416027,0.7187855839730000,0.046199221164,0.953800797462,0.187248766422,80.132194519,spotify:track:1lo9k4PrxFd5Np4cAxXoKo,7,14,16,18,20,1
More Disturbance,Megaptera,Disturbance Ritual,0.415937006474,0.584062993526,0.226699203253,0.00643472466618,0.0494283288717,0.0958705022931,0.124966181815,0.410023778677,0.0469041876495,0.0396730937064,0.120968922973,0.214732661843,0.17687317729000000,0.199164822698,0.288260430098,0.00754961604252,0.992450356483,0.0109444754198,0.989055514336,0.637671113014,81.4602355957,spotify:track:1Df4qPolFvRg5R5cfCA1Or,7,14,16,18,20,1
Sunrise Dramamine,The Flashbulb,These Open Fields,0.999999880791,1.00000008274E-07,0.0024155236315,0.184539034963,0.140466794372,0.00384404463693,0.15308642387400000,0.508682549,0.00443069543689,0.00253493804485,0.0761211067438,0.053577899932900000,0.252938836813,0.0611706674099,0.556191504002,0.0629943683743,0.937005639076,0.275022536516,0.724977433681,0.954054832458,82.4943847656,Not Found,7,14,16,18,20,0
Meine Fans,JAW,Täter-Opfer-Ausgleich,0.999734818935,0.00026516034267800000,0.005474591162060000,0.269076883793,0.17500902712300000,0.007797604892400000,0.220628768206,0.290507763624,0.0253806374967,0.00612472975627,0.116622820497,0.129776284099,0.160707727075,0.142218887806,0.450674295425,0.215119153261,0.784880816936,0.000536761013791,0.999463260174,0.9294308424,82.9763336182,spotify:track:35IBeR9Thabjy3eI6fjqHM,7,14,16,18,20,0
Summa the Time,Black Sheep,Non-Fiction,0.999500095844,0.000499929941725,0.00404336769134,0.0179417785257,0.373474478722,0.0114792380482,0.07984351366760000,0.499067604542,0.0085496334359,0.00560041237622,0.131446048617,0.179732739925,0.221837893128,0.201723977923,0.265259325504,0.0375834070146,0.96241658926,0.0226810500026,0.977318942547,0.918412983418,83.7293930054,Not Found,7,14,16,18,20,0
Try,Sidsel Endresen & Bugge Wesseltoft,...Mixing,2.29722718359E-06,0.999997675419,0.0273762047291,0.00508688110858,0.0289360359311,0.08032389730220000,0.0354499518871,0.779897987843,0.00296028330922,0.0399687550962,0.0836250409484,0.0476178042591,0.233373761177,0.0334280505776,0.601955354214,0.0320796705782,0.967920303345,0.0316910967231,0.968308925629,0.86500030756,83.8574905396,spotify:track:5Ok9JvXw96GtqcBUzJwMTf,7,14,16,18,20,1
