title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Kotake & Koumes Theme,Zelda Reorchestrated,Ocarina of Time,0.125632598996,0.874367415905,0.248050555587,0.00519104488194,0.0311232320964,0.23881073296100000,0.096956782043,0.3477438390250000,0.0107868686318,0.021336954087,0.160792201757,0.152858614922,0.516519606113,0.141336217523,0.0284933671355,0.842744112015,0.157255902886,0.952422678471,0.0475772991776,0.574664413929,109.36252594,spotify:track:2w3QlRs7ULFBIeCOa0Oqt0,7,12,15,17,19,1
Droptop,Jeff Golub,The Best Smooth Jazz Ever,3.00000096379E-14,1.0,0.016251966357200000,0.016184603795400000,0.014507057145200000,0.181940674782,0.203879103065,0.541178107262,0.0207040384412,0.00535443797708,0.098986543715,0.13981923461000000,0.43051636219,0.132180318236,0.198497533798,0.999999284744,7.22345248505E-07,0.987917125225,0.0120828542858,0.941601514816,109.487098694,spotify:track:5RuxXDsQEEnhgkwVGTzpzV,7,12,15,17,19,1
The Lonelier Way,Mark McGuire,Along the Way,0.118510790169,0.881489217281,0.115833155811,0.0246668066829,0.0208635851741,0.114311419427,0.152655571699,0.431944549084,0.111023485661,0.0287014301866,0.06437674164770000,0.119081325829,0.630091905594,0.13948328793,0.0469667352736,0.984547019005,0.0154530061409,0.987146794796,0.0128531837836,0.722249627113,109.725593567,spotify:track:5lYyAC5gaJ2endadSlUH3u,7,12,15,17,19,1
De Store Smerte,Unto Ashes,Empty Into White,0.055887773633,0.944112241268,0.08019868284460000,0.0332387089729,0.0133702959865,0.124461390078,0.208584323525,0.481481254101,0.0389279834926,0.0197373498231,0.113285914063,0.152521520853,0.409465610981,0.235430240631,0.0892967060208,0.990668773651,0.00933123845607,0.954531311989,0.0454686768353,0.631501913071,109.799781799,spotify:track:03VRyOVlVtuWJnSLTa0evK,7,12,15,17,19,1
Caminante,Bajofondo,Presente,0.5,0.5,0.0137557508424,0.016265831887700000,0.110497429967,0.0292953830212,0.3795126676560000,0.391040384769,0.048079185187800000,0.011553375981700000,0.106278270483,0.299692749977,0.303943753242,0.100914902985,0.189170300961,0.5435915589330000,0.456408411264,0.999999165535,8.47909632284E-07,0.944812774658,109.95160675,spotify:track:2AtJX42EiltEH5FDTFYFyb,7,12,15,17,19,1
Jezebel,Depeche Mode,Tour of the Universe: Barcelona 20/21.11.09,0.5,0.5,0.0511692129076,0.110981695354,0.206540286541,0.0513544343412,0.0926133543253,0.34966734051700000,0.106571987271,0.0311016719788,0.125293850899,0.147406280041,0.347226828337,0.137805908918,0.242267116904,0.527793109417,0.4722068607810000,0.990659356117,0.00934061501175,0.8279730677600000,110.05522155800000,spotify:track:7n58fE9d59gbPB6iYz12YO,7,12,15,17,19,1
Night of the Hunters Moon,Sally Oldfield,Water Bearer,0.412655681372,0.587344288826,0.007524251006540000,0.00739712687209,0.0073795332573400000,0.094901368022,0.150598213077,0.715413570404,0.00820219237357,0.00858371704817,0.0877350196242,0.190201729536,0.424339920282,0.25753968954100000,0.0401836596429,0.997310698032,0.00268927402794,0.754505872726,0.245494127274,0.901530742645,110.260147095,spotify:track:6FRojZ21k9wi8fttPCy2s2,7,12,15,17,19,1
Shepherds Song,Bob James,The Essential Collection,0.0566372834146,0.94336271286,0.0294427722692,0.00379030103795,0.0151898963377,0.311787158251,0.0462529882789,0.5864626765250000,0.00139922974631,0.00567499082536,0.0872086361051,0.094370752573,0.510290145874,0.127110362053,0.181020095944,0.988343656063,0.0116563420743,0.999997138977,2.85405235445E-06,0.659752011299,110.728172302,spotify:track:4RWZA2OXtqv57INR9s5qEY,7,12,15,17,19,1
Love Is No Gamble,Inga Rumpf,London - New York - Berlin,0.00412485282868,0.995875120163,0.223470121622,0.00236729159951,0.00454516895115,0.240706056356,0.0205353312194,0.44833907485,0.00437390804291,0.0556630566716,0.0717415511608,0.157026767731,0.608686804771,0.152835264802,0.00970963481814,0.5659450292590000,0.434055000544,0.80397349596,0.19602650404,0.651774823666,110.74549865700000,spotify:track:19lGkZWTsAFGyMcFTDCgyh,7,12,15,17,19,1
Mr. Guitar,Chet Atkins & Tommy Emmanuel,The Day Finger Pickers Took Over the World,0.0379567220807,0.96204328537,0.0200941711664,0.0109731461853,0.00771031994373,0.106474019587,0.318377166986,0.489529103041,0.0393263213336,0.0075157629326,0.08526081591840000,0.0941075310111,0.6810470223430000,0.123223997653,0.0163606088609,0.999996066093,3.90639570469E-06,0.714343190193,0.285656839609,0.895644724369,110.97946167,spotify:track:337y2SFtLGU2ZZXsmV263J,7,12,15,17,19,1
