title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Nuages,Willie Nelson,Night and Day,0.141210347414,0.858789682388,0.061149299144700000,0.0132908187807,0.0187797117978,0.227226525545,0.15262532234200000,0.443072319031,0.0567825362086,0.0270734578371,0.0873559489846,0.270307034254,0.55423861742,0.0806229040027,0.007475518621500000,0.506203770638,0.493796229362,0.862385869026,0.137614116073,0.930973052979,73.9967956543,spotify:track:3DWuhJavWrGMJXSDWlvFgL,7,12,15,17,20,1
Brokenhearted (Reprise),Kirk Franklin,Hero,0.901199579239,0.0988004133105,0.000511033926159,0.00386447901838,0.00758537137881,0.00138947938103,0.00547393318266,0.978928744793,0.0007602648111060000,0.0014866925776000000,0.18271209299600000,0.091373719275,0.640394210815,0.0443675853312,0.0411523804069,0.531048715115,0.468951284885,0.807442367077,0.192557618022,0.196058049798,76.0771255493,spotify:track:6vXahONdQgj1FGjP1Zsziv,7,12,15,17,20,0
Rush,Mugison,Little Trip,0.288281649351,0.711718380451,0.0115465130657,0.0033393970225,0.0168281402439,0.0987537428737,0.0445366576314,0.797907948494,0.015011661686,0.012075933627800000,0.111286990345,0.15211944282100000,0.533459484577,0.0978002622724,0.105333834887,0.5689081549640000,0.431091845036,0.924593269825,0.07540670037270000,0.183450907469,78.4691009521,spotify:track:6Yo3lGlzgHuEtgFHedN7a3,7,12,15,17,20,1
Parabol,Tool,Lateralus,0.107511796057,0.892488181591,0.0758697986603,0.00516475411132,0.0358209945261,0.0392738617957,0.0194517113268,0.753868699074,0.0224463157356,0.0481038503349,0.0331372059882,0.16903717815900000,0.6820075511930000,0.07361978292470000,0.0421982742846,0.684366106987,0.315633922815,0.988925695419,0.011074285954200000,0.5182729363440000,79.8463287354,spotify:track:1vxu8vMNshg5J8z3oA7QJZ,7,12,15,17,20,1
I Cant Help It (If Im Still in Love With You),Patsy Cline,Sweet Dreams: The Complete Decca Masters (1960-1963),0.19658946991,0.8034105300900000,0.0269342809916,0.00329135800712,0.0184809584171,0.134983628988,0.115393936634,0.691178441048,0.00141193741001,0.00832543987781,0.06143150851130000,0.328533530235,0.396599292755,0.191776737571,0.0216589160264,0.988726139069,0.0112738758326,0.574349343777,0.425650656223,0.664497196674,80.4022598267,spotify:track:6rWctWxNcImOuzSIt07rcB,7,12,15,17,20,1
Replicas,Tubeway Army,Replicas Redux,0.180507138371,0.81949287653,0.0619683675468,0.00833469070494,0.0431207790971,0.0975663885474,0.0354256443679,0.7210583090780000,0.0160611625761,0.0164646394551,0.126656025648,0.316759228706,0.401155382395,0.092758834362,0.0626705139875,0.929322302341,0.0706776827574,0.992687642574,0.007312364876270000,0.531604528427,81.6488189697,spotify:track:2AVE84sk5qWuDr4TvakARM,7,12,15,17,20,1
02 - BRIGHTBLACK  MORNING  LIGHT - Friend Of Time,Brightblack Morning Light,Brightblack Morning Light,0.283592700958,0.7164072990420000,0.0933189541101,0.0134845785797,0.0319373868406,0.303095668554,0.128397762775,0.383546888828,0.0207077693194,0.0255109965801,0.0966514348984,0.269161552191,0.29860261082600000,0.197088882327,0.13849554956,0.544703602791,0.455296367407,0.987382650375,0.0126173347235,0.76257532835,82.7300033569,Not Found,7,12,15,17,20,1
Lies,Camel,Nude,0.703440606594,0.296559393406,0.0100323623046,0.0567653030157,0.107024379075,0.0619411990047,0.13733355701,0.6000913381580000,0.0222263317555,0.00458550825715,0.194486171007,0.212550640106,0.216968238354,0.191538050771,0.184456899762,0.989523530006,0.0104764532298,0.999995648861,4.33741888628E-06,0.831144630909,82.8345336914,spotify:track:4719NUsorUAdEva32xmfz4,7,12,15,17,20,0
Seth Talks To Mom,The Angel,Boiler Room,0.142747312784,0.857252657413,0.129491582513,0.02694042027,0.07415213435890000,0.144917190075,0.128385767341,0.468450367451,0.0150536876172,0.012608830817,0.0979539006948,0.158359438181,0.503686547279,0.208488985896,0.031511101871700000,0.7550082802770000,0.244991719723,1.0,1.05369535319E-09,0.862889587879,82.8954086304,Not Found,7,12,15,17,20,1
Lucys Talking,Kid Loco,Kill Your Darlings,0.7331047058110000,0.266895264387,0.011245537549300000,0.0316847153008,0.0167969595641,0.017959844321,0.308366507292,0.369736105204,0.23378957808000000,0.0104207452387,0.120566509664,0.174040347338,0.605185389519,0.0474794879556,0.0527282394469,0.910898149014,0.08910183608530000,0.969245493412,0.0307545177639,0.963405132294,82.9616317749,spotify:track:4tTV11MEfDfuJSJOeeTrIx,7,12,15,17,20,0
