title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Fighting For Strangers,Steeleye Span,Tonights The Night...Live,0.355443626642,0.6445564031600000,0.08102586120370000,0.00632251100615,0.0467633828521,0.168277770281,0.0545374043286,0.612126946449,0.0056956051848800000,0.0252505224198,0.0517547018826,0.104846008122,0.547087609768,0.111116878688,0.185194775462,0.973730742931,0.026269279420400000,0.00258931727149,0.997410655022,0.0680814310908,109.019546509,spotify:track:0IgstC6W0HginxZTo41GA5,7,12,15,18,19,1
07. Biblioth¨¨que II,Tetes Raides,Gratte Poil,0.261611610651,0.7383883595470000,0.0598659664392,0.00790617801249,0.0660819932818,0.250254750252,0.0321203768253,0.382073909044,0.00377415353432,0.197922676802,0.0447121970356,0.308553129435,0.4710530936720000,0.161246076226,0.014435492456,0.975155472755,0.0248445291072,0.0006265997653830000,0.999373376369,0.780971169472,109.089897156,Not Found,7,12,15,18,19,1
The One That You Love,Air Supply,Greatest Hits,0.248766407371,0.751233577728,0.0381902046502,0.0029529074672600000,0.00402534753084,0.115514881909,0.155177295208,0.666398525238,0.0144328260794,0.00330799352378,0.0733161792159,0.184690952301,0.333925783634,0.193549081683,0.214518010616,0.99500733614,0.00499267922714,0.032627042383,0.967372953892,0.358050942421,109.136039734,spotify:track:3FDAd5vW4P7xe1GBNOLyfD,7,12,15,18,19,1
Meet Me in the City,North Mississippi Allstars,Polaris,0.06360916048290000,0.936390817165,0.110424004495,0.0130631448701,0.0240975320339,0.050747022032700000,0.16901436448100000,0.481602936983,0.113920502365,0.0371304936707,0.0753873884678,0.103670403361,0.637164533138,0.140582755208,0.0431949086487,0.9006928801540000,0.099307090044,0.102205626667,0.8977943658830000,0.771712124348,109.33728027300000,spotify:track:7dig0MXt7MBeqExosATbAq,7,12,15,18,19,1
Dreamin the Dream,Fleetwood Mac,Time,0.040191937238,0.959808051586,0.127940818667,0.00244415691122,0.00758013827726,0.0662208721042,0.07898592203860000,0.696205377579,0.00590293575078,0.014719764702,0.0312438625842,0.0563864372671,0.8254560232160000,0.0739154815674,0.0129981962964,0.999996483326,3.49815309164E-06,0.0013679966796200000,0.998632013798,0.6317514181140000,109.341918945,spotify:track:7s0X51OmYsFgN1ZGOVBC9G,7,12,15,18,19,1
Crying Laughing Loving Lying,Rod Stewart,Handbags and Gladrags (Disc 1),0.104961566627,0.895038425922,0.06570791453120000,0.005597286857660000,0.0257828142494,0.029321376234300000,0.148978382349,0.676205396652,0.0316035300493,0.016803296282900000,0.0516804084182,0.0828488171101,0.7516916394230000,0.08446112275120000,0.0293180346489,0.999998688698,1.31843285089E-06,0.0005376911722120000,0.999462306499,0.746965050697,109.372833252,spotify:track:2ApFETYelp0g1Mkl3PK5Gy,7,12,15,18,19,1
Still Under the Weather,Shania Twain,Shania Twain,0.113060452044,0.8869395256040000,0.113594532013,0.00542122079059,0.0192499216646,0.17315478622900000,0.235705494881,0.415784806013,0.0223596766591,0.0147295696661,0.045074686408000000,0.192388519645,0.591497778893,0.133726075292,0.0373129583895,0.981712043285,0.018287973478400000,0.0566054321826,0.94339454174,0.382651895285,109.51182556200000,spotify:track:5pldwsaIsnuREVIHOLpn26,7,12,15,18,19,1
Spanish Dancer (live),Patti Scialfa,23rd Street Lullaby (Bonus Disc),0.3403516709800000,0.659648358822,0.005579796154050000,0.00201062648557,0.0341576002538,0.0746038630605,0.19547815620900000,0.678977370262,0.0045539974235,0.0046385647729,0.0750384554267,0.267649590969,0.484315246344,0.119543351233,0.0534533709288,0.968657016754,0.0313429906964,0.0674621760845,0.932537794113,0.801757931709,109.520866394,Not Found,7,12,15,18,19,1
Keep on the Sunny Side,Doc Watson,Memories,0.0464374572039,0.953562557697,0.0524348318577,0.000662121979985,0.00166267552413,0.0241510458291,0.007598850876090000,0.900073111057,0.00131959794089,0.012097787112,0.0417179316282,0.340243846178,0.412638366222,0.195309028029,0.01009081956,0.996331870556,0.003668126650150000,0.00304640550166,0.996953606606,0.7548660039900000,109.52153015100000,spotify:track:4ZwK4vLm4sVSleIqzMWXV3,7,12,15,18,19,1
Goin to My Hometown,Rory Gallagher,Wheels Within Wheels,0.441295921803,0.5587040781970000,0.069353312254,0.013255730271300000,0.111627660692,0.0629829242826,0.156053692102,0.507715880871,0.055592633783800000,0.0234181843698,0.075149551034,0.140752986073,0.30327513814,0.242063745856,0.238758563995,0.977392733097,0.0226072799414,0.0350701622665,0.964929819107,0.64006370306,109.59840393100000,spotify:track:4ZVznADiyjkwLyCCHH2CYD,7,12,15,18,19,1
