title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
He Is,Brandy,Full Moon,0.916919589043,0.0830804258585,0.000974543509074,0.0209236741066,0.0237272493541,0.004516737069930000,0.25756829977000000,0.690371334553,0.00116429338232,0.000753877859097,0.0552911795676,0.165786072612,0.418726503849,0.313535571098,0.0466606616974,0.994599938393,0.00540006067604,0.219481274486,0.7805187106130000,0.716723620892,68.0097503662,spotify:track:0quNCQBS4g9P8V2pbP0Q5U,7,12,15,18,20,0
Away in a Manger,The Blind Boys of Alabama,Go Tell It on the Mountain,0.77104562521,0.228954389691,0.00961162429303,0.017505388706900000,0.149478286505,0.154463931918,0.251818209887,0.362176209688,0.039667122066,0.0152792176232,0.0973503142595,0.259440004826,0.311236590147,0.238636657596,0.0933364108205,0.958758711815,0.0412412770092,0.0693211480975,0.930678844452,0.867990374565,72.019241333,spotify:track:2GuW7ONGILxI33f3aI7L7G,7,12,15,18,20,0
Overtime,Lucinda Williams,Live @ The Fillmore (disc 1),0.856785714626,0.143214255571,0.0009269918664360000,0.00325218238868,0.013399137184,0.005694924388080000,0.055195968598100000,0.919503033161,0.00098154169973,0.00104621355422,0.0863660424948,0.212703868747,0.529990315437,0.133496388793,0.0374433994293,0.964996576309,0.035003431141400000,0.08680512756110000,0.913194894791,0.59459400177,74.2736282349,spotify:track:0cUUSp4Zsmztsd1lEx2juJ,7,12,15,18,20,0
Stay or Let It Go,Brian McKnight,Back at One,0.995980083942,0.00401993328705,7.88772158558E-05,0.00203128647991,0.0446497015655,0.000565696507692,0.0154095627367,0.937065422535,9.98235336738E-05,9.96010567178E-05,0.0763614848256,0.190910339355,0.521023273468,0.119629025459,0.0920758843422,0.999996721745,3.28158762386E-06,0.134392693639,0.865607321262,0.871678113937,79.99532318120000,spotify:track:6OCkJHVoGoWOMymzjzdOHX,7,12,15,18,20,0
What Fo,Rappin 4-Tay,4 Tha Hard Way,0.924167215824,0.07583281397820000,0.000241614849074,0.0026467614807200000,0.207492053509,0.00270608719438,0.017949093133200000,0.76844471693,0.000157807458891,0.000361896120012,0.0858194902539,0.295615524054,0.387957155704,0.182823479176,0.0477843284607,0.984784424305,0.0152155673131,0.0030504190363000000,0.99694955349,0.902420639992,80.3292922974,spotify:track:1zKwupW6Bt8US5rIeiPUDq,7,12,15,18,20,0
Lass los,Chima,Reine Glaubenssache,0.979350507259,0.0206494741142,0.0034723293501900000,0.0410869047046,0.370921254158,0.0275914147496,0.015414878726,0.527421236038,0.00288950535469,0.0112024666741,0.115268364549,0.25202253460900000,0.308224260807,0.189506322145,0.13497850298900000,0.5234673619270000,0.476532638073,0.132241934538,0.86775803566,0.89333987236,80.943397522,Not Found,7,12,15,18,20,0
Hoochie Coochie Man,Eric Clapton,One More Car One More Rider (disc 2),0.646152317524,0.353847682476,0.0102872373536,0.0973484963179,0.06729213893410000,0.0318149849772,0.29816091060600000,0.338864356279,0.142118930817,0.014112942852100000,0.153918817639,0.106442697346,0.565698325634,0.0934090837836,0.0805310681462,0.926921665668,0.07307832688090000,0.159119799733,0.840880215168,0.939413309097,81.0305252075,spotify:track:1qNcvgvgpxqTcySVGdNdyN,7,12,15,18,20,0
In the Middle of Nowhere,Jerry Jaye,My Girl Josephine,0.546274542809,0.453725486994,0.0203104913235,0.0296066682786,0.127256765962,0.0317641682923,0.140691518784,0.57548892498,0.0658950805664,0.008986377157270000,0.154358923435,0.0942606925964,0.655561923981,0.0750567540526,0.0207617115229,0.962064146996,0.0379358530045,0.109927982092,0.8900720477100000,0.963464379311,82.0070877075,Not Found,7,12,15,18,20,0
To Know This,Alice Russell,My Favourite Letters,0.545350313187,0.454649657011,0.00445399526507,0.00326234451495,0.17381161451300000,0.0255703087896,0.0152119901031,0.759969592094,0.0008123480365610000,0.016907796263700000,0.0527828112245,0.142048448324,0.327621012926,0.19659742713,0.280950307846,0.645481705666,0.35451829433400000,0.113921493292,0.886078476906,0.6763701438900000,82.0310592651,spotify:track:6ZH8KxopzdG4kf2ckP5hUs,7,12,15,18,20,0
Atominarttu,Virtanen,Hal-00,0.913805127144,0.0861949026585,0.0103586129844,0.05794251710180000,0.225406676531,0.0258116535842,0.28008261323,0.316259413958,0.07114567607640000,0.0129928411916,0.187710076571,0.193910092115,0.352157890797,0.160603702068,0.1056182459,0.683846890926,0.316153138876,0.247625127435,0.752374887466,0.793686449528,82.3188247681,Not Found,7,12,15,18,20,0
