title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Tears on My Pillow,Lorrie Morgan,Something in Red,0.155115291476,0.8448846936230000,0.0129665695131,0.000905642751604,0.00695086549968,0.0116529734805,0.310342401266,0.6455487012860000,0.0101829580963,0.00144990114495,0.06760738044980000,0.27835506200800000,0.331364989281,0.259488582611,0.0631839931011,0.981651067734,0.0183489322662,0.00295484415255,0.99704515934,0.500312745571,66.99350738530000,spotify:track:5j5X8GJ4fXUxNhd70vObhB,7,12,15,18,20,1
Ik dacht dat het uit was,André Hazes,Al 15 jaar gewoon André (disc 2),0.5,0.5,0.0102326674387,0.00135192612652,0.0151533624157,0.0242659393698,0.389417260885,0.532226681709,0.0252358578146,0.00211629550904,0.046088490635200000,0.233343690634,0.407390326262,0.218251362443,0.0949261188507,0.953318476677,0.046681545674800000,0.00298654520884,0.997013449669,0.778557777405,67.02388763430000,Not Found,7,12,15,18,20,1
Say It (Over and Over Again),John Pizzarelli,Knowing You,0.0545489937067,0.945451021194,0.0536999590695,0.005811322014780000,0.0281051080674,0.4010219872,0.0255690068007,0.449608296156,0.00386573234573,0.0323185957968,0.0764581784606,0.172039330006,0.4518622756,0.08210008591410000,0.21754014492,0.510729551315,0.489270448685,0.00932079926133,0.990679204464,0.537785887718,67.8993453979,Not Found,7,12,15,18,20,1
To Each His Own (1973),Merle Haggard,Hag: The Studio Recordings 1969-1976 (Disc4),0.0723091959953,0.927690804005,0.0206413175911,0.00495402840897,0.00854991097003,0.297105312347,0.156251937151,0.466247707605,0.0317039638758,0.0145458132029,0.215259999037,0.175632491708,0.456552147865,0.135477215052,0.0170781463385,0.7109392285350000,0.289060771465,0.0732289552689,0.926771044731,0.854999780655,68.7079544067,Not Found,7,12,15,18,20,1
Bring It On Home to Me,Sam Cooke,Hits!,0.45140722394,0.548592805862,0.156985923648,0.00392820639536,0.0103953694925,0.206278011203,0.0657622143626,0.523275911808,0.0169522240758,0.0164221674204,0.106905259192,0.21919696033,0.34147050976800000,0.294781118631,0.0376461520791,0.999999821186,1.63386829399E-07,0.003231382463130000,0.996768593788,0.8742212057110000,70.7470169067,spotify:track:0WVTQp3SOCuMr08jh1jweV,7,12,15,18,20,1
Bring It on Home to Me,Sam Cooke,Greatest Hits,0.251575231552,0.748424768448,0.229843527079,0.0039592878893000000,0.0116383349523,0.21048912406,0.0526516325772,0.462359398603,0.0153018068522,0.0137568935752,0.13451020419600000,0.19811335206,0.33005052804900000,0.268871814013,0.06845413148400000,0.999999642372,3.29948107947E-07,0.00419371761382,0.995806276798,0.7482633590700000,70.7569046021,spotify:track:0WVTQp3SOCuMr08jh1jweV,7,12,15,18,20,1
Since I Met You Baby,Solomon Burke,Home in Your Heart (Disc 2),0.208255663514,0.791744351387,0.0255640801042,0.00376790622249,0.07364697754380000,0.0683275461197,0.102967306972,0.7046241164210000,0.0127108786255,0.008391193114220000,0.131124451756,0.246192082763,0.384303033352,0.195929020643,0.042451418936300000,0.993776977062,0.006223036907610000,0.0056024203077,0.994397580624,0.612316966057,71.149772644,spotify:track:2X711WJXh6NAKs3E4wKcBb,7,12,15,18,20,1
Tin Roof Shack,Peter Rowan & Tony Rice,You Were There for Me,0.0378835164011,0.962116479874,0.0212655030191,0.00325867091306,0.00528876995668,0.370705753565,0.08821265399460000,0.490758270025,0.010380838066300000,0.0101295253262,0.07434798777100000,0.0960490331054,0.692231714725,0.122743569314,0.014627713710100000,0.966791152954,0.033208828419400000,0.013827049173400000,0.98617297411,0.7441495656970000,71.45272827150000,spotify:track:3hKcsGOLIRrYM4wEnSY1NX,7,12,15,18,20,1
I Cant Stop Loving You,Conway Twitty,The Best of Conway Twitty,0.0836854502559,0.916314542294,0.378760308027,0.00303429318592,0.0104033332318,0.101401202381,0.0559968687594,0.4182523489,0.016452502459300000,0.0156991407275,0.0484647527337,0.128460034728,0.574155807495,0.227220132947,0.0216992460191,0.994846582413,0.005153392907230000,0.0197563283145,0.980243682861,0.461540281773,71.7144165039,spotify:track:6ZWvIj80be5ZofxasdbZm4,7,12,15,18,20,1
Goodnight Louise,Boz Scaggs,Come on Home,0.118785142899,0.881214857101,0.00477005075663,0.0008995105163190000,0.0032339158933600000,0.042531065642800000,0.189352363348,0.750786781311,0.00657948572189,0.00184682430699,0.0728635266423,0.371685624123,0.3745747804640000,0.161259382963,0.0196166876704,0.908594846725,0.0914051607251,0.000687531603035,0.999312460423,0.478193759918,71.9303283691,spotify:track:1bqwdtsWuV3pEeC2IQFtTV,7,12,15,18,20,1
Lazy Blues,Marcia Ball,The Tattooed Lady and the Alligator Man,0.11058947444,0.8894105553630000,0.08356058597560000,0.00693236477673,0.0228405073285,0.216883391142,0.146113336086,0.439699679613,0.0217594653368,0.0622106827796,0.0442583151162,0.220110669732,0.623046517372,0.0878162607551,0.0247682258487,0.8019275069240000,0.198072493076,0.000401723489631,0.999598264694,0.8605218529700000,73.5534744263,spotify:track:1eohbv5EcHMRgKLxJzPGXi,7,12,15,18,20,1
I Cant Help It (mono),Jack Scott,Classic Scott: The Way I Walk (Disc 5),0.021083438769,0.978916585445,0.15028835833100000,0.00318777305074,0.0130529869348,0.0573755577207,0.028641982004,0.674015879631,0.007413224782790000,0.0660242214799,0.0396929495037,0.101272962987,0.767801702023,0.08024472743270000,0.0109876766801,0.756186783314,0.243813201785,0.0255066957325,0.974493324757,0.716700553894,74.626701355,Not Found,7,12,15,18,20,1
Falling Out of Love,John Denver,Its About Time,0.187123417854,0.812876582146,0.0421789363027,0.00380627322011,0.017203999683300000,0.08393418788910000,0.333038836718,0.491951078176,0.0218699090183,0.006016782019290000,0.0542669184506,0.201459020376,0.4824036955830000,0.215182244778,0.0466881208122,1.0,6.73334188406E-09,0.0479698702693,0.9520301222800000,0.498265206814,75.6195297241,spotify:track:6v352q5yApwujC7tzSpppu,7,12,15,18,20,1
