title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
The Embrace,Elend,Weeping Nights,0.0375801958144,0.962419807911,0.192427054048,0.006880767177790000,0.0134356459603,0.155232995749,0.21836705505800000,0.357692956924,0.0270326491445,0.0289308950305,0.049765065312400000,0.0622025281191,0.742355406284,0.068957336247,0.0767196714878,0.00794942956418,0.992050588131,0.6126672625540000,0.387332707644,0.14157910645,109.230857849,Not Found,7,12,16,17,19,1
A Little Spark,sleepmakeswaves,Love of Cartography,0.025755994021900000,0.974243998528,0.190434023738,0.02326044254,0.033556137234,0.0526208281517,0.209853097796,0.382326483727,0.0713626518846,0.0365863218904,0.1256660074,0.221683427691,0.479637742043,0.0919746607542,0.0810381546617,0.210981890559,0.7890180945400000,0.99395018816,0.00604979228228,0.125107064843,109.272743225,spotify:track:3d7MZTEcBmI3eKwkc3zp9E,7,12,16,17,19,1
Matilda,Ryan Amon,Elysium: Original Motion Picture Soundtrack,0.230219885707,0.769780099392,0.0783695802093,0.0153378536925,0.0538734160364,0.17927958071200000,0.040406458079800000,0.598619878292,0.0147778727114,0.0193353872746,0.146131321788,0.17597006261300000,0.4326421916480000,0.135272473097,0.109983958304,0.209039971232,0.790960013866,1.0,1.0363867986E-08,0.0145429167897,109.771186829,spotify:track:5c3AHuo6VAgMyAbi7Vk2Uh,7,12,16,17,19,1
Contrecœur,Fedaden,Broader,0.081867299974,0.918132722378,0.0457956902683,0.0308154616505,0.0178230833262,0.0259531401098,0.287526071072,0.570588052273,0.0162477269769,0.00525079015642,0.182967841625,0.22237470746,0.223591133952,0.18278580904,0.188280507922,0.0145989442244,0.985401034355,0.996718585491,0.0032814363949000000,0.513134717941,109.841529846,spotify:track:5UzFc1oqdcWOGVHLiHRIIa,7,12,16,17,19,1
Awesome Kite / Bones Tossed Out / Construction,Douglas Pipes,Monster House,7.5540995681E-09,1.0,0.08204096555710000,0.00296311499551,0.0186754912138,0.109520219266,0.007944235578180000,0.7677356600760000,0.00242779310793,0.008692492730920000,0.0879151821136,0.18252107501,0.34634140133900000,0.161009296775,0.222213044763,0.0154581563547,0.984541833401,0.716791749001,0.283208280802,0.000546124123503,109.916175842,Not Found,7,12,16,17,19,1
Squid Ink,Buckethead,A Real Diamond in the Rough,0.36753475666,0.63246524334,0.0372818782926,0.0556288734078,0.0461128018796,0.0660534203053,0.161618813872,0.5541703104970000,0.0355262719095,0.0436076633632,0.175256043673,0.140906557441,0.410265773535,0.103607513011,0.16996410489100000,0.00109317013994,0.998906850815,0.8855982422830000,0.114401727915,0.909218490124,110.04815673800000,spotify:track:2n3G6m950uhUzwW7WazQZB,7,12,16,17,19,1
There May Be a Tiger,Domotic,Ask for Tiger,0.415016829967,0.584983170033,0.219337314367,0.0117413112894,0.0305205769837,0.118276402354,0.0706542208791,0.392935097218,0.059776932001100000,0.0967581421137,0.154973238707,0.161341920495,0.481650769711,0.0715621337295,0.130471944809,0.0387334674597,0.961266517639,0.983701348305,0.0162986703217,0.908656954765,110.055587769,spotify:track:42IWP7x3CVj7RXKJ6vu9f9,7,12,16,17,19,1
The Last Wave of Summer,Cold Chisel,Ringside (Disc 1),0.334246575832,0.665753424168,0.0748359486461,0.0266122482717,0.121373407543,0.219243749976,0.105719730258,0.331037521362,0.0931922197342,0.027985189110000000,0.0699505880475,0.0585981234908,0.503569543362,0.120626308024,0.247255459428,0.32346805930100000,0.676531970501,0.932984888554,0.06701509654520000,0.6831411719320000,110.778175354,spotify:track:0xP3Hf1rgu3tD7o2JD9RnN,7,12,16,17,19,1
Under the Jesters Hat,Easily Embarrassed,Tales of the Coin Spinner,0.059664737433200000,0.940335273743,0.278758198023,0.0232262536883,0.0285218469799,0.0696782246232,0.217162266374,0.32047149539,0.0263495929539,0.0358321145177,0.0601400248706,0.0597304217517,0.6754537820820000,0.127864703536,0.0768110752106,0.012657655403,0.987342357635,0.985960423946,0.0140395918861,0.0625643208623,110.80384063700000,spotify:track:1yKY0e9NFIqsrYheQNQ8x5,7,12,16,17,19,1
Rambo Returns,Brian Tyler,Rambo,0.455291092396,0.5447089076040000,0.124914616346,0.0521797612309,0.07079464197160000,0.0864814594388,0.103348381817,0.428417593241,0.0924839600921,0.041379574686300000,0.127474978566,0.163897156715,0.394256472588,0.1866684407,0.12770295143100000,0.027093945071100000,0.972906053066,0.589784383774,0.410215586424,0.371892541647,111.56942749,spotify:track:3YiOY2Cs9HEOnvU68Jhz15,7,12,16,17,19,1
