title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Spellbound,Volor Flex,Sabo,0.895581483841,0.104418516159,0.0107030402869,0.00678751897067,0.0409048125148,0.0867120996118,0.0323264710605,0.8059380650520000,0.00423123314977,0.012396776117400000,0.124370165169,0.190626040101,0.440615355968,0.112440191209,0.131948262453,0.0350135043263,0.964986503124,0.957510709763,0.0424893125892,0.8983225822450000,63.4807090759,Not Found,7,12,16,17,20,0
Shantra (Ethnic version),Rajna,Hidden Temple,0.93710744381,0.0628925338387,0.0257809497416,0.0632636100054,0.0376954264939,0.0357361324131,0.14055868983300000,0.518080472946,0.154650136828,0.0242345742881,0.13100875914100000,0.145814493299,0.441123008728,0.034751880914,0.247301846743,0.0142135778442,0.985786437988,0.952948331833,0.0470516607165,0.918519198895,70.7654266357,spotify:track:7dZjLfim1DJx8lRkxVrP6f,7,12,16,17,20,0
Juicy,Emily Wells,Dirty,0.699858725071,0.300141304731,0.0121992761269,0.0107619827613,0.08777175098660000,0.0457057654858,0.159204691648,0.669154763222,0.007823710329830000,0.00737808877602,0.08045654743910000,0.149233162403,0.512091517448,0.090805709362,0.167413085699,0.0697553530335,0.930244624615,0.668549537659,0.331450462341,0.556549608707,73.41622161870000,spotify:track:6SDIhynRs7dizVskZn2HWm,7,12,16,17,20,0
USSR,Lukid,Lonely at the Top,0.877629101276,0.122370898724,0.0199349671602,0.095901787281,0.137171193957,0.0495619177818,0.218204900622,0.430992126465,0.021373020485,0.0268601011485,0.149144634604,0.138381972909,0.32102879881900000,0.102680787444,0.288763821125,0.0938452705741,0.906154751778,0.923443853855,0.0765561237931,0.95867228508,73.49250030520000,spotify:track:34IfejYBqNf5ko3DeMlN8Y,7,12,16,17,20,0
The Beginning of the End of Us,Jay-Jay Johanson,Cockroach,0.654398679733,0.345601320267,0.0105370236561,0.0115050347522,0.07208342105150000,0.053905501961700000,0.15969440341,0.666263222694,0.00623557250947,0.0197758339345,0.115617237985,0.231667861342,0.254659533501,0.144280776381,0.25377458334,0.00640910491347,0.993590891361,0.6300859451290000,0.369914054871,0.910725653172,78.06002044680000,spotify:track:3kt5YR7XRYq66syiGsegP4,7,12,16,17,20,0
Dervish Chant,African Head Charge,Songs of Praise,0.532569289207,0.467430740595,0.0772060602903,0.0197717044502,0.09089290350680000,0.181294485927,0.170855775476,0.412184804678,0.0221064519137,0.0256878174841,0.07666472345590000,0.150777339935,0.318452090025,0.159889861941,0.294215977192,0.267873734236,0.732126295567,0.96008259058,0.0399174317718,0.834323883057,78.103263855,spotify:track:14nFlqXb0TDKwRgDbWErNF,7,12,16,17,20,0
Broadcast,Liquid Divine,Interface,0.999329209328,0.0006708088913,0.0328103937209,0.175491794944,0.0945359915495,0.0921887084842,0.114837661386,0.393940895796,0.0527348890901,0.0434596799314,0.0803834944963,0.100298479199,0.542397916317,0.08191515505310000,0.195004984736,0.017282113432900000,0.982717871666,0.999999523163,4.80310802686E-07,0.943247079849,79.8639297485,spotify:track:2s1UJfwwb828eigdsj1TSE,7,12,16,17,20,0
Girl Next Door,Black Strobe,Burn Your Own Church,0.8886429071430000,0.111357100308,0.0110831549391,0.117310814559,0.07346020638940000,0.027445182204200000,0.108104929328,0.634236872196,0.0111540015787,0.017204806208600000,0.0992583781481,0.16817566752400000,0.261943519115,0.233398422599,0.237223997712,0.069243952632,0.930756032467,0.8548372387890000,0.145162761211,0.7646535038950000,80.0155410767,spotify:track:6gQGtbb2Yhbg2XqD0WYyZq,7,12,16,17,20,0
Circle of Fifths Loop,The Books,Music for a French Elevator and Other Oddities by The Books,0.578464329243,0.42153570056,0.157355740666,0.0102812265977,0.140811130404,0.164832010865,0.0143849505112,0.418763756752,0.00648377509788,0.0870874151587,0.128494337201,0.185373082757,0.401606887579,0.0762570798397,0.208268612623,0.005062591284510000,0.994937419891,1.0,2.41325204264E-09,0.33157274127,80.6794052124,spotify:track:4OKuaGw9sYi3VyGVmDTzVh,7,12,16,17,20,0
Labor (instrumental),Aesop Rock,Boombox,0.7432166337970000,0.256783336401,0.0239960588515,0.015114625915900000,0.0258849170059,0.05813615024090000,0.0182603318244,0.8290520906450000,0.00726057728752,0.022295273840400000,0.106760203838,0.12757430970700000,0.689409613609,0.026762640103700000,0.0494932234287,0.105916447937,0.894083559513,0.999999880791,1.32257866881E-07,0.941798210144,82.3700180054,Not Found,7,12,16,17,20,0
On the Run,Pink Floyd,The Dark Side of the Moon,0.6559213399890000,0.344078689814,0.0517198927701,0.0614778771996,0.308311522007,0.0615436434746,0.0470253862441,0.35127633810000000,0.0499217770994,0.06872355937960000,0.0811632201076,0.0596264116466,0.540425956249,0.102724581957,0.216059833765,0.00537756178528,0.994622409344,0.903801620007,0.0961983948946,0.0914976224303,82.4460067749,spotify:track:73OIUNKRi2y24Cu9cOLrzM,7,12,16,17,20,0
