title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
untitled,Olga+Jozef,#01,0.07238623499870000,0.927613735199,0.0420939289033,0.002211332554,0.0174204930663,0.0228338968009,0.0193777605891,0.883673191071,0.00199619075283,0.0103932069615,0.08860667794940000,0.207536295056,0.421244859695,0.0725527331233,0.210059419274,0.0294120591134,0.970587968826,0.999995529652,4.47583033747E-06,0.973042070866,65.5316162109,spotify:track:2sVgNPNVPWnQSPEj8Mwaxe,7,12,16,17,20,1
Passage,The Boggs,Forts,0.0902272462845,0.909772753716,0.0895220041275,0.00784285180271,0.0828947648406,0.217713713646,0.0165076646954,0.516023933887,0.007659913506360000,0.0618351735175,0.108658969402,0.126963734627,0.534287154675,0.09616594761610000,0.133924171329,0.0799952074885,0.920004785061,0.948517203331,0.051482822746,0.0413099229336,69.60414886470000,spotify:track:6WnhYwLIDSxcZSQFSMMKuD,7,12,16,17,20,1
Drunken Dub,Hermitude,Alleys to Valleys,0.0458111613989,0.9541888237,0.0652306899428,0.0055746762082,0.0507900640368,0.0587455444038,0.0231157317758,0.761789023876,0.00377659453079,0.0309776868671,0.248315870762,0.213150128722,0.304690241814,0.105737924576,0.128105849028,0.023578459397,0.976421535015,0.973996698856,0.0260033048689,0.7139976024630000,69.6715545654,Not Found,7,12,16,17,20,1
The Destroyer,Tyler Bates,Guardians of the Galaxy,0.0513160116971,0.948683977127,0.248571395874,0.00525955623016,0.0651639029384,0.159706994891,0.0183460060507,0.418288469315,0.00447262078524,0.08019106835130000,0.0940338075161,0.148142144084,0.537283957005,0.114227339625,0.10631272196800000,0.000141548953252,0.999858438969,0.815155506134,0.184844508767,0.010986528359400000,70.3041534424,spotify:track:1eXDRxMJZ0ZaBk15TILd58,7,12,16,17,20,1
Forever,Mercy,Love Can Make You Happy,0.300803512335,0.6991965174670000,0.194882392883,0.014478860423,0.08622812479730000,0.182458147407,0.142201155424,0.31191319227200000,0.0406631864607,0.0271749347448,0.126269370317,0.119459755719,0.631477296352,0.104793898761,0.0179996993393,0.4913451075550000,0.508654892445,0.8564890027050000,0.143510967493,0.770540475845,71.1118469238,spotify:track:0aAAjxCX8BuhcILhnqYoHi,7,12,16,17,20,1
Echoes On Ice,Piano Magic,Heart Machinery - A Piano Magic Retrospective (2001-2008),0.333948254585,0.666051745415,0.048764247447300000,0.00623976998031,0.0569890812039,0.195676907897,0.0246365256608,0.619885623455,0.00341746769845,0.0443903654814,0.08416462689640000,0.191995799541,0.457778573036,0.119095422328,0.1469655931,0.00212295772508,0.997877061367,0.660392642021,0.339607357979,0.536675274372,79.906867981,spotify:track:5EyFVKV30h3ErcAcPyfjfe,7,12,16,17,20,1
"Goodnight, I Love You (8:07pm)",Engine7,"Me, but Perfect",0.008741335943340000,0.99125868082,0.220246836543,0.00262656621635,0.0413016341627,0.06511108577250000,0.0633613914251,0.588256955147,0.00387188768946,0.0152236232534,0.0946603938937,0.169593587518,0.478219717741,0.118908956647,0.13861733675,0.175784260035,0.8242157101630000,0.563087522984,0.436912447214,0.007718850392850000,80.0027389526,spotify:track:0xDqGDJBzfXoI0nEOxBAGJ,7,12,16,17,20,1
Ropes and Strings,Ghost Monkey,Rebound,0.0233418419957,0.976658165455,0.156157687306,0.0142133841291,0.053330242633800000,0.23643784225,0.0218822136521,0.4648579955100000,0.0103581240401,0.0427624993026,0.17516280710700000,0.192335963249,0.393451333046,0.08721870929,0.151831179857,0.0238910894841,0.976108908653,0.993660211563,0.006339786574240000,0.575443744659,81.8649749756,Not Found,7,12,16,17,20,1
Forgive Me,Cowboy Junkies,200 More Miles: Live Performances 1985-1994,0.15159624815,0.84840375185,0.00126718741376,0.00565067911521,0.012537140399200000,0.156926110387,0.004916558042170000,0.810391306877,0.0007413393468600000,0.00756970141083,0.0962451845407,0.189803436399,0.376450181007,0.0943550392985,0.243146136403,0.07044169306760000,0.929558336735,0.957569122314,0.042430870235,0.33752900362000000,82.2953643799,spotify:track:0ydaRbRvXAcY5bgom5JEZF,7,12,16,17,20,1
Emilys Poem (alternate take),Ensemble Du Verre,The Contemporary Cowboy,0.443325668573,0.556674361229,0.00883435085416,0.0117559237406,0.0286321789026,0.0165883079171,0.106748014688,0.808183908463,0.0079849595204,0.0112723764032,0.0626944676042,0.0731754079461,0.398440301418,0.07897044718270000,0.386719405651,0.0112783014774,0.98872166872,0.512503385544,0.487496614456,0.813983201981,82.9721450806,Not Found,7,12,16,17,20,1
Madame X (songwriting version),Robbie Robertson,How to Become Clairvoyant (disc 2),0.159770846367,0.840229153633,0.0200949236751,0.00318934698589,0.0205239877105,0.0411853007972,0.0392619594932,0.8629823327060000,0.00235733063892,0.0104048047215,0.0742377415299,0.13126257062000000,0.5689977407460000,0.143577113748,0.0819248184562,0.196765944362,0.803234040737,0.599627196789,0.400372803211,0.871701776981,83.035987854,Not Found,7,12,16,17,20,1
Shining Hour,Sweetback,Stage 2,0.317089110613,0.6829109191890000,0.0194831714034,0.00938371010125,0.0390554927289,0.291856110096,0.154778301716,0.454239308834,0.00732295680791,0.0238809343427,0.143192112446,0.22438634932,0.424429774284,0.116111211479,0.0918805524707,8.86813650141E-05,0.999911308289,0.999997019768,2.95472545986E-06,0.531904220581,83.9284210205,spotify:track:0ojGWZRwqBHu5LSTpXt0JI,7,12,16,17,20,1
