title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Little Dark Heart,Cowboy Junkies,"The Nomad Series, Volume 1: Renmin Park",0.983797252178,0.0162027478218,0.0199621152133,0.0282851420343,0.0447706729174,0.08753316849470000,0.0763846635818,0.713775217533,0.0137895643711,0.015499443747100000,0.0775498747826,0.220398530364,0.5327622890470000,0.125024467707,0.0442648641765,0.337902218103,0.662097752094,0.0478007532656,0.952199220657,0.855298519135,109.826370239,spotify:track:747lS2kItTmIjN5yPWzxfE,7,12,16,18,19,0
Before You Sleep,Bruce,Before You Sleep / In Line / Sweat,0.999873161316,0.00012683740351300000,0.00279934681021,0.00960703287274,0.361130714417,0.0329595729709,0.0190399885178,0.5511719584470000,0.0013202732661700000,0.0219710785896,0.08814143389460000,0.126282468438,0.354829728603,0.0776904970407,0.353055864573,0.0025373697280900000,0.997462630272,0.466249406338,0.533750593662,0.901560783386,110.03981018100000,spotify:track:2krYzwhTWaGgVxsOuToBsn,7,12,16,18,19,0
Saw The Lady In White,Reverend Glasseye,One Year Lost At Sea,0.546791791916,0.453208208084,0.0483212992549,0.0594851411879,0.07119400054220000,0.231331691146,0.17447637021500000,0.254192620516,0.0957377180457,0.0652611628175,0.125237688422,0.230994939804,0.318089991808,0.0785321816802,0.24714519083500000,0.0207110196352,0.979288995266,0.391579657793,0.608420372009,0.942984163761,110.480827332,Not Found,7,12,16,18,19,0
Nightbird,The Brian Jonestown Massacre/,Revelation,0.940299212933,0.0597007907927,0.0142933847383,0.110138759017,0.135249093175,0.0355328097939,0.0496933311224,0.576953232288,0.0467868037522,0.031352609396,0.251579910517,0.119397580624,0.363166689873,0.108599297702,0.157256513834,0.108825094998,0.891174912453,0.132163733244,0.867836236954,0.900250732899,110.811515808,spotify:track:09F2xK7ZTtCIbDccQEBe9k,7,12,16,18,19,0
La Tire À Dédé,Renaud,Tournée Rouge Sang,0.7798120975490000,0.220187902451,0.0218344945461,0.034570869058400000,0.02792933397,0.0406714715064,0.293457269669,0.495389789343,0.0139016034082,0.0722451657057,0.0396130718291,0.110657483339,0.557801306248,0.251792043447,0.0401360951364,0.5,0.5,3.0121218515E-05,0.999969899654,0.918929219246,111.18989563,spotify:track:5JamaMkcI6KaRELUjucBKH,7,12,16,18,19,0
Sioxsie Blaqq,Sleepy Sun,Spine Hits,0.594469964504,0.405530065298,0.166601508856,0.0172147862613,0.07698024064300000,0.17273209989100000,0.08747361600400000,0.391431391239,0.046127956360600000,0.041438419371800000,0.15940825641200000,0.173109591007,0.31257775425900000,0.118913911283,0.235990479589,0.04737069457770000,0.952629327774,0.216223523021,0.783776462078,0.379342973232,111.633628845,Not Found,7,12,16,18,19,0
Fear and Saturday night,Ryan Bingham,Fear and Saturday night,0.647947430611,0.35205256938900000,0.032397609204100000,0.0150273051113,0.0745051577687,0.239395827055,0.122451089323,0.41776239872,0.055200476199400000,0.043260127306000000,0.105925127864,0.25436514616,0.4099697172640000,0.16227389872100000,0.06746608763930000,0.0434656739235,0.956534326077,0.0361513234675,0.963848650455,0.929457724094,112.76489257800000,spotify:track:2EEX7e3X1AY4ijHODTRR1x,7,12,16,18,19,0
Jellypop Perky Jean,Julian Cope,Floored Genius: The Best of Julian Cope and the Teardrop Explodes 1979-91,0.900763690472,0.0992363244295,0.0249044615775,0.0240821074694,0.0610574148595,0.134995058179,0.117224760354,0.59643560648,0.0215403549373,0.0197602361441,0.155029982328,0.278296232224,0.433377355337,0.0982294678688,0.0350669547915,0.5,0.5,0.309765666723,0.690234363079,0.677775323391,112.996711731,spotify:track:7d0zyeglFhgmc0I5153RBV,7,12,16,18,19,0
No Beginning No End,Hawksley Workman,(Last Night We Were) The Delicious Wolves,0.683555722237,0.316444277763,0.034083511680400000,0.014619871974,0.121276199818,0.0864714980125,0.313910961151,0.35697171092,0.0405057556927,0.032160479575400000,0.0901708826423,0.178694546223,0.399843513966,0.200691893697,0.130599156022,0.12742957472800000,0.8725704550740000,0.0215048342943,0.978495180607,0.655604958534,115.183662415,spotify:track:3Q1DjoVTYqbF0Mdyxf0uvc,7,12,16,18,19,0
Once,Claude Strillo,Distances,0.993508219719,0.006491800770160000,0.0233993921429,0.022238444536900000,0.0338714495301,0.0436582677066,0.07025926560160000,0.7703497409820000,0.020621528849,0.0156019050628,0.13728491962,0.201930761337,0.403188824654,0.107537604868,0.150057896972,0.06012336537240000,0.939876616001,0.403980374336,0.596019625664,0.812270581722,115.34951019300000,spotify:track:3OtJzJSwvxRYxFUkjA6xTZ,7,12,16,18,19,0
Ich will zu Dir,Tim Bendzko,Am seidenen Faden,0.995877325535,0.00412266794592,0.006832570303230000,0.112699724734,0.0646627023816,0.018475862219900000,0.248533412814,0.474920302629,0.0621634609997,0.0117119634524,0.144034609199,0.295113712549,0.338149368763,0.155254229903,0.0674480944872,0.400249361992,0.599750638008,0.0578498877585,0.942150115967,0.91748136282,115.890327454,spotify:track:415y5owOo7FjInOtJiR4Jo,7,12,16,18,19,0
Polaroid,Claude Strillo,Distances,0.6942211389540000,0.305778861046,0.0282463617623,0.0975505039096,0.185097634792,0.048004556447300000,0.15686365962,0.363726705313,0.0904298350215,0.0300807375461,0.127738833427,0.102094195783,0.385940939188,0.161301761866,0.222924277186,0.00156120420434,0.998438775539,0.0605510883033,0.93944889307,0.8765654563900000,115.94513702400000,spotify:track:44bzKivmCae5pVaAbb5ZmK,7,12,16,18,19,0
Odkaz vo dverách,Dežo Ursiny & Ivan Štrpka,Bez počasia,0.994618058205,0.00538196740672,0.013193435967,0.0227457620203,0.0453136265278,0.260420650244,0.061030220240400000,0.5718543529510000,0.00944483000785,0.0159970931709,0.147889569402,0.198216706514,0.512481331825,0.120900593698,0.0205117855221,0.0446417704225,0.955358207226,0.17755952477500000,0.822440505028,0.850395143032,116.64972686800000,Not Found,7,12,16,18,19,0
Sarah Crazy Child,Johns Children,Jagged Time Lapse,0.8828191757200000,0.117180846632,0.00819897651672,0.292966961861,0.0443692877889,0.0802409872413,0.033478371799,0.483272403479,0.0258554667234,0.0316175632179,0.267708569765,0.245563060045,0.27109777927400000,0.057163618505,0.158466979861,0.10701841116,0.89298158884,0.235549941659,0.7644500732420000,0.614965379238,117.33079528800000,Not Found,7,12,16,18,19,0
Oblivionseekers / Here to Go,Rainbirds,Making Memory,0.629243671894,0.370756298304,0.049210984259800000,0.0203375387937,0.0370576493442,0.192417770624,0.267452090979,0.3794371187690000,0.04666832834480000,0.00741850538179,0.0349617451429,0.18011063337300000,0.44983792305,0.301793783903,0.0332959219813,0.266769319773,0.733230650425,0.461582779884,0.538417220116,0.783567011356,117.548454285,Not Found,7,12,16,18,19,0
I Guess This Is My Man,The Shoe,Im Okay,0.7197855114940000,0.280214458704,0.0032046015840000000,0.023547895252700000,0.0495689846575,0.02389767766,0.302645653486,0.584075450897,0.00759389577433,0.00546585582197,0.151391074061,0.269315928221,0.381625175476,0.149416744709,0.0482510961592,0.137702852488,0.86229711771,0.304291665554,0.695708334446,0.8582606911660000,117.90998840300000,spotify:track:2lwx217Q8xuUkl72MeWxnc,7,12,16,18,19,0
Arcs and Coulombs,Andrew Bird,Norman,0.992229402065,0.00777060817927,0.00124136905652,0.0170195773244,0.0362405702472,0.033122431486800000,0.0312996506691,0.872520983219,0.00469832215458,0.00385709106922,0.235200867057,0.189993575215,0.380588889122,0.155955642462,0.038261026144,0.5,0.5,0.00292677502148,0.997073233128,0.894809365273,118.184715271,Not Found,7,12,16,18,19,0
Ona,Daniel Landa,Valčík,0.552498996258,0.447501033545,0.0369985848665,0.0235757175833,0.08553771674630000,0.0922266468406,0.114770457149,0.575778484344,0.0269506052136,0.0441617667675,0.0816512107849,0.125848472118,0.403431266546,0.190815910697,0.198253139853,0.15896654129,0.84103345871,0.013515887782,0.986484110355,0.828311622143,119.942344666,Not Found,7,12,16,18,19,0
