title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Please Fall,Andrea Balency,Volcano,0.395940810442,0.604059159756,0.0316156558692,0.00758774811402,0.0463609658182,0.0906936973333,0.05742939561610000,0.743115186691,0.00535426940769,0.0178430713713,0.0722557380795,0.320235610008,0.402786403894,0.141015484929,0.06370675563810000,0.00401181029156,0.995988190174,0.205007493496,0.794992506504,0.479715287685,109.831016541,spotify:track:32gDuhuLw6TVryQy2oCasA,7,12,16,18,19,1
New York State of Mind,Billy Joel,My Lives,0.5,0.5,0.021888008341200000,0.0138177927583,0.029621468856900000,0.13005618751000000,0.373686790466,0.373764693737,0.0393880829215,0.0177769903094,0.0773603990674,0.114256076515,0.398788392544,0.220710217953,0.188884928823,0.5,0.5,0.127586141229,0.8724138736720000,0.773350954056,109.973632813,spotify:track:6yjKlmm7vOszkXEUku1EM1,7,12,16,18,19,1
J.P.P. McStep B. Blues,Jefferson Airplane,Surrealistic Pillow,0.0237642340362,0.976235747337,0.101786620915,0.0101422993466,0.0212718211114,0.051431670785,0.110814549029,0.6259171366690000,0.0616069249809,0.017028953880100000,0.231512099504,0.160037428141,0.40096527338,0.145320519805,0.0621646903455,0.376233935356,0.623766064644,0.000128685831442,0.999871313572,0.493920058012,110.230857849,Not Found,7,12,16,18,19,1
O Tannenbaum,Nat King Cole,The Christmas Song,0.08248218894000000,0.917517840862,0.108486659825,0.00258362619206,0.0110651031137,0.0927295833826,0.0279940851033,0.736841917038,0.00376099627465,0.016538031399300000,0.0759634003043,0.157273441553,0.499842166901,0.240731850266,0.0261891447008,0.489561706781,0.510438323021,0.0747827142477,0.925217270851,0.312110990286,110.414299011,spotify:track:0aJcR4COHLndzrJya4nBBc,7,12,16,18,19,1
Ballad Om Fredrik Åkare Och Den Söta Fröken Cecilia Lind,Cornelis Vreeswijk,I Elfte Timmen,0.0508980751038,0.949101924896,0.08271249383690000,0.00395848974586,0.0256945062429,0.36104080081,0.074746131897,0.422388195992,0.0112708983943,0.0181884691119,0.0612006895244,0.065970569849,0.657916724682,0.17192414403,0.0429878793657,0.399916023016,0.6000840067860000,0.125052452087,0.874947547913,0.265650719404,110.438804626,spotify:track:3WPoyhVvpvS6qWj9OCBzfi,7,12,16,18,19,1
Existence / Sunrise,Simon Russell,The House Of Simon Russell,0.0685736164451,0.931426405907,0.0524894669652,0.021607019007200000,0.014217290096,0.0608091913164,0.245391950011,0.398190408945,0.162233576179,0.0450611151755,0.116315156221,0.128151923418,0.360636293888,0.173708513379,0.221188113093,0.15483835339500000,0.845161616802,0.155515417457,0.844484567642,0.8802211284640000,110.468437195,Not Found,7,12,16,18,19,1
Bir Sana Bir de Bana,Baba Zula & Mad Professor,Duble Oryantal,0.472504287958,0.52749568224,0.0291197113693,0.0220274366438,0.0153664043173,0.109172031283,0.262288868427,0.518517136574,0.019052470102900000,0.0244559664279,0.07756227254870000,0.209889784455,0.350894331932,0.283930063248,0.07772354036570000,0.15120446682,0.84879553318,0.126011773944,0.873988211155,0.83575707674,110.685562134,spotify:track:6yhiv4XWhm2Fh12AMKjNCe,7,12,16,18,19,1
Vivre,Hélène Ségara,Best of,0.102528244257,0.897471785545,0.0288426931947,0.00584918446839,0.0189703349024,0.0566067174077,0.378087222576,0.493679255247,0.0072667389176800000,0.010697837919,0.08935215324160000,0.118850432336,0.551431000233,0.175151467323,0.0652149617672,0.05916991457340000,0.940830111504,0.0443927496672,0.955607235432,0.5404798984530000,110.71829986600000,spotify:track:7CLbCwABl0PnzKB8X3As8X,7,12,16,18,19,1
Darlin,Ryan Bingham,Fear and Saturday night,0.304638177156,0.6953618526460000,0.0435972884297,0.0112445028499,0.0490900911391,0.152838408947,0.138361975551,0.534435749054,0.0391991697252,0.0312328077853,0.131856620312,0.276907712221,0.33848544955300000,0.152780488133,0.0999697446823,0.36948171258,0.630518257618,0.212926790118,0.7870731949810000,0.8641216754910000,110.847892761,spotify:track:29Ztttd8vCpXYaldRhMMai,7,12,16,18,19,1
The Power of Orange Knickers,Tori Amos,The Beekeeper,0.159287586808,0.8407124280930000,0.109889566898,0.019758939743,0.0176584087312,0.0382242240012,0.31220304966000000,0.411443650723,0.0487701222301,0.0420520417392,0.107874937356,0.269392192364,0.370338082314,0.186868652701,0.0655261352658,0.470184624195,0.529815375805,0.0144860213622,0.985513985157,0.809891223907,110.96886444100000,spotify:track:1M5vcEUX0uAUlwjL8GMdKN,7,12,16,18,19,1
