title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Surface,Ulver,Svidd neger,0.631289601326,0.368710368872,0.0210330989212,0.0110327238217,0.0578853040934,0.0946436151862,0.149100810289,0.634037554264,0.0153320869431,0.016934797167800000,0.0811880752444,0.100251451135,0.387670993805,0.116172194481,0.314717292786,0.00343244476244,0.996567547321,0.482877105474,0.517122924328,0.6826884746550000,70.0223312378,spotify:track:4RK32k9PnYj8rGDscxjB3L,7,12,16,18,20,0
Verte campagne (Green Fields),Henri Salvador,Henri Salvador: Collection 2 CD,0.5282782316210000,0.471721768379,0.021392500028,0.012449192814500000,0.0620799846947,0.35335421562200000,0.0599776953459,0.430834531784,0.0131696956232,0.0467421710491,0.13462382555,0.220449849963,0.5138271451000000,0.103473648429,0.027625514194400000,0.266660451889,0.7333395481110000,0.08030945062640000,0.919690549374,0.862977206707,71.3130874634,Not Found,7,12,16,18,20,0
Lonesone Road Blues,Eric Clapton,Give Me Strength: the 74/75 Recordings (Disc 1: 461 Ocean Boulevard (Expanded Version)),0.743560492992,0.256439477205,0.015081512741700000,0.0113109312952,0.336338460445,0.135539844632,0.0106039782986,0.454199939966,0.00275117927231,0.0341741517186,0.112789586186,0.18533439934300000,0.477589428425,0.137088477612,0.0871981158853,0.138813644648,0.8611863851550000,0.475168585777,0.5248314142230000,0.795763850212,72.6656265259,spotify:track:6xasfcWtd18zdWqvmFHn6W,7,12,16,18,20,0
Walkin Down the Road,Eric Clapton,Crossroads 2: Live in the Seventies (Disc 1),0.9197900891300000,0.0802098810673,0.00672505935654,0.012546907179100000,0.360883146524,0.0468512773514,0.00877661071718,0.541794538498,0.00130949052982,0.0211130045354,0.122490510345,0.22002466023000000,0.383315235376,0.158061295748,0.116108298302,0.0827286988497,0.917271316051,0.459342926741,0.540657103062,0.8264945149420000,72.7896270752,Not Found,7,12,16,18,20,0
Little Red Rooster,The Rolling Stones,The Rolling Stones Singles Collection: The London Years,0.724249660969,0.275750368834,0.00955426320434,0.0172090325505,0.0994552373886,0.129431381822,0.2411031425,0.4703700542450000,0.0182162653655,0.0146606247872,0.0667206421494,0.155011638999,0.475412756205,0.29278740286800000,0.0100675467402,0.08941119909290000,0.910588800907,0.00284094992094,0.997159063816,0.927899122238,72.9232711792,spotify:track:3GgpUEdSy8uO58XG35rRho,7,12,16,18,20,0
Træt af alle de stemmer,U$O,Hold nu,0.645266294479,0.35473370552100000,0.0113630648702,0.011900548823200000,0.22869746387,0.0457913801074,0.127727076411,0.554360687733,0.00561436126009,0.014545437879900000,0.141502127051,0.146951407194,0.319867819548,0.138117298484,0.253561347723,0.0559948794544,0.944005131721,0.0594306401908,0.940569341183,0.922963738441,74.9871063232,spotify:track:3arZmjCCTUvMujKYAG4KxT,7,12,16,18,20,0
Du trägst mich,Chima,Reine Glaubenssache,0.99165481329,0.00834516435862,0.00318459421396,0.06661552190780000,0.414535105228,0.004020564723760000,0.0145929986611,0.489803284407,0.00113746291026,0.00611046608537,0.058785058558,0.203611180186,0.324832141399,0.237938821316,0.174832805991,0.383010566235,0.616989433765,0.0715164244175,0.92848354578,0.631862461567,76.0569915771,Not Found,7,12,16,18,20,0
Avenue of Plenty,Ben Hamilton,Bull in a China Shop,0.7982781529430000,0.201721861959,0.015743078663900000,0.17438545823100000,0.04441610723730000,0.071951366961,0.221307381988,0.415232360363,0.0424887724221,0.014475482516,0.108347840607,0.153994962573,0.476761519909,0.183022558689,0.0778731107712,0.0795079767704,0.920491993427,0.0806241706014,0.919375836849,0.8420404791830000,77.9047088623,Not Found,7,12,16,18,20,0
Preisraetsel (Wuerstchen mix),KMFDM,84-86,0.922845542431,0.0771544724703,0.0081645892933,0.0126711819321,0.062088944017900000,0.10609331727,0.104302287102,0.658271610737,0.0178821869195,0.030525879934400000,0.209586337209,0.23170478642,0.282249540091,0.138531327248,0.137927994132,0.0010095742764,0.998990416527,0.121297642589,0.87870234251,0.6417877078060000,78.4308395386,Not Found,7,12,16,18,20,0
Black Mambo,Glass Animals,ZABA,0.6813327074050000,0.318667292595,0.008030533790590000,0.0251438617706,0.0784022584558,0.0089327218011,0.082254730165,0.787871062756,0.00511229457334,0.00425251992419,0.150172069669,0.17743425071200000,0.279148072004,0.186174660921,0.207070931792,0.0234597157687,0.976540267467,0.100862666965,0.899137318134,0.676440834999,79.9279022217,spotify:track:63OC8cNa4ZnFB3bbvbWCOc,7,12,16,18,20,0
