title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Psalmus Ode (Theme From the Plaque),Vangelis feat. Jeremy Budd,Reprise 1990-1999,0.149184584618,0.850815415382,0.109538398683,0.004884974099700000,0.0324010625482,0.028133904561400000,0.344232201576,0.4602524638180000,0.0109319463372,0.00962505396456,0.0326434448361,0.104437015951,0.535164356232,0.154758691788,0.172996461391,0.230089336634,0.769910693169,0.21764755249,0.78235244751,0.3177780509,63.9650878906,Not Found,7,12,16,18,20,1
Its My Way of Loving You,Jack Scott,Classic Scott: The Way I Walk (Disc 2),0.07452611625190000,0.925473868847,0.128456383944,0.00326798204333,0.0308883562684,0.127111509442,0.0636232346296,0.598210811615,0.00750337634236,0.0409383289516,0.044354055076800000,0.162939667702,0.7144733071330000,0.0654389336705,0.0127940373495,0.147433400154,0.8525665998460000,0.00402002921328,0.995979964733,0.7301549911500000,64.5367507935,Not Found,7,12,16,18,20,1
"Come Home Quickly, Darlin",Micah P. Hinson,...And The Red Empire Orchestra,0.101931355894,0.898068666458,0.100996613503,0.0246165134013,0.039266474545,0.0500766858459,0.24793022871,0.314421951771,0.185242772102,0.0374487638474,0.193376064301,0.27024638652800000,0.434974700212,0.0748079121113,0.0265949517488,0.00432905135676,0.995670974255,0.109896309674,0.890103697777,0.7870383262630000,66.0752563477,Not Found,7,12,16,18,20,1
Spomínam na Paríž,Lasica & Satinský & Filip,Bolo nás jedenásť,0.0801142603159,0.919885754585,0.0720568224788,0.021877720952,0.0252181515098,0.142877578735,0.260160237551,0.303299963474,0.12602584064000000,0.048483677208400000,0.166338592768,0.101188160479,0.442587375641,0.224265038967,0.0656208470464,0.0821938067675,0.917806208134,0.121237367392,0.878762662411,0.946630299091,69.2939224243,spotify:track:0tFwv3k2wWbbstKdDYs3TK,7,12,16,18,20,1
Wellfleet Outro,Jamaican Queens,Wormfood,3.00000096379E-14,1.0,0.00734286336228,0.0107262143865,0.0284456815571,0.08281942456960000,0.264273971319,0.59700948,0.00494367396459,0.00443866476417,0.114742569625,0.327919006348,0.362520217896,0.141613900661,0.0532043017447,0.0562810115516,0.943718969822,0.106881633401,0.8931183815000000,0.681741952896,74.0148239136,spotify:track:4nFUwcM5mVIHVwk6kLhslv,7,12,16,18,20,1
Wiser,Halou,Wiser,0.18638381362,0.813616156578,0.18599550426,0.0112877134234,0.032580666244,0.112705126405,0.218439981341,0.367572069168,0.0337530933321,0.0376658439636,0.07640295475720000,0.247990548611,0.364884465933,0.236019358039,0.0747026726604,0.0655488297343,0.934451162815,0.0320239812136,0.967976033688,0.313366562128,74.9041442871,spotify:track:4h75jkfRm83LDm3fkOE6Wv,7,12,16,18,20,1
Broken Hearts Anonymous,Johnny Preston,Feel So Fine: The Mercury Recordings 1959-1962 (Disc 1),0.2328877002,0.767112314701,0.255546420813,0.0251529701054,0.026536403223900000,0.108295239508,0.120172232389,0.296952486038,0.0662909671664,0.101053312421,0.06571232527490000,0.0917890965939,0.737809062004,0.0950563549995,0.00963316485286,0.432272583246,0.5677274465560000,0.00196473253891,0.998035252094,0.945448100567,75.17414093020000,spotify:track:76w3y337gyiD3qdRl1R18I,7,12,16,18,20,1
End Of The Summer,Frank Black,Fast Man Raider Man,0.263024002314,0.7369760274890000,0.0387629903853,0.039364811033,0.0323455557227,0.226644650102,0.215505063534,0.277425944805,0.128586158156,0.0413648113608,0.238420784473,0.157853364944,0.3401872813700000,0.124393314123,0.139145255089,0.28776794672,0.71223205328,0.152551725507,0.8474482893940000,0.936267912388,78.9335784912,spotify:track:0XZnQgDZ8RNwVf3RqrKYWz,7,12,16,18,20,1
Arriba,The Celestics,Supreme Laziness,7.67883193475E-07,0.99999922514,0.00213105767034,0.0138836009428,0.354205310345,0.0111596332863,0.031036529690000000,0.548113703728,0.00338313099928,0.0360870622098,0.0622953549027,0.0999466180801,0.515794336796,0.111390165985,0.210573509336,0.0149867832661,0.985013246536,0.0103368246928,0.989663183689,0.767916738987,79.84911346440000,spotify:track:3sHjGPHNrFU8vxZPIAMIPB,7,12,16,18,20,1
Queen of Hearts,Nelson Riddle,The Joy Of Living / Love Is A Game Of Poker,0.0964923202991,0.903507709503,0.112135395408,0.005286384373900000,0.00540127139539,0.0321634523571,0.32789131999000000,0.485361278057,0.0291072446853,0.00265362579376,0.0662805438042,0.24368545413000000,0.451110690832,0.176120966673,0.06280233711,0.057758800685400000,0.942241191864,0.0575745329261,0.942425489426,0.847159087658,79.85382843020000,spotify:track:3Xk6MdisBGIYplafgbf2QH,7,12,16,18,20,1
