title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Red Letter Day,Fox,Fox,0.8131880164150000,0.186812013388,0.00306878052652,0.0203693471849,0.010116728022700000,0.00366789288819,0.339470028877,0.518366217613,0.104059845209,0.00088118732674,0.101632602513,0.498453199863,0.0934429466724,0.209683328867,0.0967879220843,0.968795776367,0.0312042124569,0.8500191569330000,0.149980828166,0.832345485687,110.39954376200000,spotify:track:14Rm4JgEqQj6mV9baFF77t,7,11,15,17,19,0
Street Corner,Ashford & Simpson,Street Opera,0.510008633137,0.489991337061,0.0102702565491,0.016783887520400000,0.0160482581705,0.173785984516,0.333560794592,0.377491444349,0.068598613143,0.00346076139249,0.173417374492,0.445198535919,0.067938387394,0.16894543170900000,0.144500255585,0.997314214706,0.00268577923998,0.7323747873310000,0.267625212669,0.857239186764,111.204322815,spotify:track:70VIZdsankOPKXRqFWmFBB,7,11,15,17,19,0
Dreamsville,Jay Soto,Mesmerized,0.699718773365,0.300281256437,0.004833096172660000,0.00437789596617,0.00993697717786,0.0717710107565,0.323474556208,0.578573405743,0.00294479075819,0.00408826535568,0.0744854286313,0.290868192911,0.269458681345,0.244856446981,0.120331250131,0.829031467438,0.170968562365,0.982142090797,0.0178578868508,0.85182094574,111.84264373800000,spotify:track:296lvYILVh555UVGedOS97,7,11,15,17,19,0
Lay Me Down,Lisa Stansfield,Affection,0.943419516087,0.0565804876387,0.0267756041139,0.056373052299,0.113062426448,0.058761537075,0.303460836411,0.373123168945,0.0498745292425,0.0185688324273,0.171001076698,0.293548375368,0.0994649752975,0.214704275131,0.221281304955,0.989855408669,0.0101446108893,0.776546120644,0.223453879356,0.912614524364,111.899513245,spotify:track:33paXCZYbqHDf6f0RXx1uy,7,11,15,17,19,0
Goin Outta Business,Babyface,Grown & Sexy,0.986738979816,0.0132610257715,0.000809235905763,0.033983703702700000,0.0327008627355,0.007047072984280000,0.221901640296,0.690955996513,0.0119880018756,0.0006135099683890000,0.101138368249,0.352029681206,0.07221315801140000,0.263001561165,0.21161724627,0.950833976269,0.0491660013795,0.6718257069590000,0.328174322844,0.872840464115,111.934524536,spotify:track:7fJs3ZT2Qk9Y6KbCtJEwlp,7,11,15,17,19,0
Tired Robot,Belleruche,270 Stories,0.708811819553,0.291188210249,0.0023289581295100000,0.0131644969806,0.0203449409455,0.0140230441466,0.0113617284223,0.923241615295,0.00369817973115,0.0118370205164,0.170355349779,0.309277296066,0.188349306583,0.130880177021,0.20113787055,0.647937357426,0.352062642574,0.985495626926,0.014504397288,0.966075122356,113.694915771,spotify:track:0HBvmZX9GGiHYpyJCZ7Rz8,7,11,15,17,19,0
Lexicon Of Extremism,3,2009 Revisions,0.621091485023,0.378908544779,0.0366889648139,0.11581877619,0.0445863567293,0.119337722659,0.225753262639,0.366260528564,0.052205465734,0.0393489152193,0.244206279516,0.346238553524,0.187630996108,0.125445261598,0.0964789018035,0.869100511074,0.130899488926,0.603450834751,0.396549195051,0.943826794624,113.99697876,spotify:track:0OX1hB3ocaNYSoh03zGJnl,7,11,15,17,19,0
"Loves in You, Loves in Me",Giorgio,E=MC²,0.870462536812,0.12953743338600000,0.00696737831458,0.0305635984987,0.0606813691556,0.049489408731500000,0.275301992893,0.540791034698,0.0324350744486,0.00377011229284,0.0998870357871,0.3947826623920000,0.174886584282,0.204608529806,0.125835195184,0.999999344349,6.58636167827E-07,0.927306771278,0.072693221271,0.943978130817,114.178375244,spotify:track:7KaNnqFZJsjDxgkOSUYLYV,7,11,15,17,19,0
Hasta la vista,Flaco Jiménez,Entre humo y botellas,0.585143923759,0.414856106043,0.08491284400220000,0.0153938643634,0.0253585837781,0.268240094185,0.0586050823331,0.479181438684,0.0622981861234,0.00600990187377,0.180302321911,0.333543121815,0.043826062232300000,0.175475761294,0.26685270667100000,0.996127545834,0.00387248303741,0.907939970493,0.09206002205610000,0.901832640171,115.164253235,spotify:track:4SEJxwEM4IwzTS6LJioCSE,7,11,15,17,19,0
Only the Lonely,The Motels,All Four One,0.6941831111910000,0.305816918612,0.0127756427974,0.0987450405955,0.0855077281594,0.0326589159667,0.0837312936783,0.658434212208,0.0160963330418,0.0120508149266,0.204594358802,0.316255152225,0.232796937227,0.126286476851,0.120067059994,0.8651298880580000,0.134870111942,0.7780874371530000,0.221912562847,0.651026844978,115.30619049100000,spotify:track:1BZMMt9H0TheQGWQy44KmO,7,11,15,17,19,0
Heart of Glass,Blondie,Blondie Live,0.993987262249,0.0060127209872,0.0015647063264600000,0.0310917012393,0.032434154301900000,0.008147044107320000,0.257217049599,0.58453977108,0.08391564339400000,0.00108995148912,0.0942685231566,0.411518841982,0.08655089139940000,0.103436931968,0.304224818945,0.947881937027,0.052118036896,0.745960950851,0.254039049149,0.8316771984100000,115.307609558,spotify:track:4v2rkl1mC3zVAz0nXMx9r4,7,11,15,17,19,0
Heart of Glass,Blondie,Parallel Lines,0.944207668304,0.05579234287140000,0.00290190125816,0.0166082065552,0.0156259424984,0.00690213404596,0.156327843666,0.762844860554,0.0367881990969,0.0020009172149,0.07154605537650000,0.415687322617,0.108206391335,0.142291650176,0.262268602848,0.967188000679,0.032812025398,0.944851279259,0.0551486983895,0.758570253849,115.36323547400000,spotify:track:4v2rkl1mC3zVAz0nXMx9r4,7,11,15,17,19,0
Nobodys Business,Christopher Owens,A New Testament,0.7830261588100000,0.21697384119,0.0151338111609,0.169964909554,0.0563132017851,0.0696503072977,0.149723291397,0.424139231443,0.0982005894184,0.0168746653944,0.210481762886,0.429116815329,0.187067061663,0.12496868521,0.0483656749129,0.968465864658,0.0315341092646,0.587795197964,0.412204802036,0.8606628775600000,115.804267883,spotify:track:6sn7UBkxtW5OD7RD0dBzmi,7,11,15,17,19,0
Carpenter,Étienne de Crécy,My Contribution to the Global Warming,0.617956221104,0.382043778896,0.0208907313645,0.0238209050149,0.06925804167990000,0.212751165032,0.256450891495,0.33577889204000000,0.0572197884321,0.0238295793533,0.237053260207,0.40295997262,0.08325529098510000,0.191018313169,0.08571316301820000,0.731356441975,0.268643558025,0.990162014961,0.00983798597008,0.888220071793,115.93242645300000,spotify:track:4vM3E9dJA0ELazBm44XLfj,7,11,15,17,19,0
Dear Old Southland,Al Hirt,Our Man in New Orleans,0.914922595024,0.0850773826241,0.0136837810278,0.050932869315100000,0.0841787904501,0.245226114988,0.15910063684,0.405267715454,0.035470943898,0.006139140110460000,0.172746762633,0.418043941259,0.124703280628,0.158639580011,0.125866428018,0.5673812031750000,0.432618796825,0.7947671413420000,0.205232873559,0.5875028371810000,117.636772156,spotify:track:6DMgjPpFIaigXMijJpbxTB,7,11,15,17,19,0
Lovey Dovey,Otis Redding,Otis! The Definitive Otis Redding,0.537780702114,0.462219327688,0.043785728514200000,0.00931817572564,0.102352723479,0.124436937273,0.14615213871,0.521616876125,0.0446789711714,0.00765847880393,0.221227616072,0.292144775391,0.0515004992485,0.19945140183,0.235675692558,0.809515655041,0.190484344959,0.8456287384030000,0.154371261597,0.914960384369,117.637489319,spotify:track:1jRnSVA3PfS0BhoKylM4E2,7,11,15,17,19,0
Nobody (Album Version),Keith Sweat Featuring Athena Cage of Kut Klose,Nobody,0.905766308308,0.0942336991429,0.00851500593126,0.0388481356204,0.117279693484,0.139048576355,0.125563502312,0.5390356779100000,0.0244462508708,0.00726317428052,0.14309838414200000,0.240134254098,0.214824765921,0.17644441127800000,0.225498199463,0.941364526749,0.058635465800800000,0.907786905766,0.0922130793333,0.94096070528,117.90762329100000,spotify:track:6KRYFIcSOb3Xt6EVB506Vq,7,11,15,17,19,0
Feelin Fine,Spyro Gyra,In Modern Times,0.654114305973,0.345885723829,0.0139183308929,0.024237401783500000,0.0273334980011,0.137130662799,0.16546349227400000,0.600888192654,0.0269928947091,0.00403553200886,0.128538072109,0.510380864143,0.07159876078370000,0.150221928954,0.13926038146,0.995806992054,0.00419299770147,0.959636926651,0.0403630435467,0.851477921009,117.95922851600000,spotify:track:3XTJKhBo3Qr4jZyN1uQZVY,7,11,15,17,19,0
Planet J,Spyro Gyra,In Modern Times,0.572658658028,0.42734131217,0.035229396075,0.023522881791,0.039078313857300000,0.282122194767,0.198864981532,0.283675909042,0.125086128712,0.0124201914296,0.113329686224,0.304739832878,0.172249943018,0.14741885662100000,0.262261688709,0.995943129063,0.0040568956174000000,0.99999833107,1.65017877407E-06,0.8489787578580000,117.961708069,spotify:track:6ghiRN0dXZ2HRNt7GiYjKx,7,11,15,17,19,0
Samba samba,Gipsy Kings,Savor Flamenco,0.6032972335820000,0.396702736616,0.007074276916680000,0.0242152251303,0.0469104126096,0.0689061507583,0.213042616844,0.5754662752150000,0.056391723454,0.00799334794283,0.111506357789,0.574926793575,0.0909835919738,0.133766397834,0.0888168290257,0.999984025955,1.59746123245E-05,0.892326891422,0.107673116028,0.93223708868,117.989837646,spotify:track:7IQsZqlZ53UIXFjzHOkraF,7,11,15,17,19,0
