title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Carry On,Chris Norman,Crossover,0.996019721031,0.00398028455675,0.00105038762558,0.0359117910266,0.0180875714868,0.0011743583018000000,0.211284786463,0.644771337509,0.08686634898190000,0.0008534206426700000,0.100813530385,0.389666467905,0.18636187911,0.149638533592,0.173519566655,0.664310753345,0.335689246655,0.030285207554700000,0.969714820385,0.969852566719,109.859710693,spotify:track:3AOs5mjAM2juNSqVTBG6eJ,7,11,15,18,19,0
Voodoo Doll,John Grant,"Grey Tickles, Black Pressure",0.938367843628,0.061632145196200000,0.028986826539,0.0448736809194,0.176763281226,0.0382927395403,0.219744086266,0.4224763214590000,0.0530468598008,0.015816209837800000,0.0745546370745,0.333521455526,0.238955378532,0.26197358965900000,0.0909949466586,0.6181918382640000,0.381808131933,0.233762696385,0.7662373185160000,0.8486626744270000,109.95787811300000,spotify:track:0WDB1SpJPKBNm2nM6DjMpb,7,11,15,18,19,0
Yellow Submarine,The Beatles,Yellow Submarine Songtrack,0.6973019242290000,0.302698045969,0.025058470666400000,0.0373406037688,0.0771698206663,0.0558242872357,0.241894572973,0.361975461245,0.149019479752,0.0517173148692,0.113918438554,0.338967502117,0.214256793261,0.236162051558,0.0966951996088,0.535723984241,0.464275985956,0.0423382222652,0.957661807537,0.906137406826,110.115531921,spotify:track:50xwQXPtfNZFKFeZ0XePWc,7,11,15,18,19,0
Hell or High Water,Alessandra Amoroso,Amore Puro,0.842932999134,0.157067015767,0.00452534295619,0.0175330732018,0.017042124643900000,0.00387618248351,0.339342951775,0.560895442963,0.055876608938,0.000908293994144,0.103054754436,0.409541755915,0.100774042308,0.249102205038,0.137527227402,0.8001357316970000,0.199864283204,0.08329557627440000,0.916704416275,0.913099527359,110.165641785,Not Found,7,11,15,18,19,0
What If the Girl Says Yes?,Incorporated Thang Band,Lifestyles of the Roach and Famous,0.931938290596,0.0680617168546,0.00269052945077,0.0189741123468,0.115591041744,0.021054739132500000,0.254237174988,0.553173720837,0.032560653984500000,0.0017180581344300000,0.114534206688,0.354841798544,0.133286297321,0.169180050492,0.228157639503,0.898431360722,0.101568646729,0.000380204204703,0.999619781971,0.811434566975,110.193489075,spotify:track:7DKR4CHwQOaZF91Ms84jNz,7,11,15,18,19,0
Falling in Love,Randy Newman,Land of Dreams,0.513947844505,0.486052155495,0.0792044326663,0.0392672084272,0.0305625386536,0.108503051102,0.302653431892,0.332798272371,0.08587006479500000,0.021140998229400000,0.0841058269143,0.434616237879,0.256702244282,0.204516932368,0.0200587771833,1.0,2.0393207123E-08,0.136986225843,0.863013803959,0.853065252304,110.31972503700000,spotify:track:76udCJCsF9Ym6x7bL0lwPj,7,11,15,18,19,0
Inventory,Meryn Cadell,Angel Food for Thought,0.682546496391,0.31745347380600000,0.0142400097102,0.0415866971016,0.0387622117996,0.056137140840300000,0.151213541627,0.58850646019,0.06996078789230000,0.0395931303501,0.09024544805290000,0.325336158276,0.290784299374,0.260561615229,0.0330724865198,0.999998211861,1.76315461431E-06,0.0151351513341,0.984864830971,0.878247737885,110.658454895,spotify:track:62Mlsu0jOkD9zoqcrpEi4e,7,11,15,18,19,0
Licking Stick,Desmond Dekker,Israelites,0.528578698635,0.471421301365,0.0441155470908,0.006958018057050000,0.130575701594,0.3414522409440000,0.0719097852707,0.383423417807,0.00918875541538,0.012376527302,0.133302494884,0.310330629349,0.275894314051,0.251905590296,0.0285669770092,0.968479692936,0.031520307064100000,0.017225451767400000,0.982774555683,0.93465077877,110.695617676,spotify:track:2fGiIBrLAnfDYkHrqH3zCf,7,11,15,18,19,0
Piratess,Okkervil River,I Am Very Far,0.903119206429,0.0968807861209,0.0103198243305,0.0788104832172,0.0411851480603,0.0296495463699,0.16959342360500000,0.581709206104,0.0689161270857,0.0198162216693,0.112899690866,0.3867824673650000,0.196869701147,0.179330453277,0.124117694795,0.981727659702,0.0182723347098,0.348658204079,0.651341795921,0.931118905544,110.973594666,spotify:track:4sTB7bodyccxn4HXTrxMYk,7,11,15,18,19,0
Jag Skrek,Lisa Ekdahl,Lisa Ekdahl,0.721158862114,0.27884110808400000,0.00286365952343,0.0177804995328,0.0435094721615,0.0264813452959,0.29691785574,0.576813042164,0.0318204686046,0.00381365115754,0.191505387425,0.299580425024,0.235358774662,0.199200361967,0.07435505092140000,0.568191230297,0.431808769703,0.020113304257400000,0.979886710644,0.947525680065,111.1587677,Not Found,7,11,15,18,19,0
La Chat - Murder She Spoke - 07 - Slob On My Cat,La Chat,Murder She Spoke,0.99949991703,0.000500079011545,0.00416181841865,0.03501226753,0.363516360521,0.015672957524700000,0.015395197086,0.5601189732550000,0.00190310447942,0.00421933084726,0.178719758987,0.421268314123,0.102135434747,0.201029628515,0.0968468487263,0.918138086796,0.08186190575360000,0.0175974126905,0.982402563095,0.972007334232,111.60216522200000,Not Found,7,11,15,18,19,0
Where You Belong,TinkaBelle,Where You Belong,0.93532538414,0.0646746382117,0.004896899219600000,0.070575684309,0.0188679769635,0.0171843729913,0.328257679939,0.538990080357,0.0186872072518,0.00254011549987,0.138682901859,0.522081553936,0.187175124884,0.118078835309,0.0339815691113,0.966649055481,0.0333509333432,0.00370774837211,0.996292233467,0.7881824374200000,111.715103149,spotify:track:1Nc2rG1F8bdoaQZ8BpYxQp,7,11,15,18,19,0
Why Ya Wanna,Jana Kramer,Jana Kramer,0.742311954498,0.25768804550200000,0.0223830249161,0.00597086502239,0.0105388490483,0.00992475356907,0.379693746567,0.498503386974,0.0713705942035,0.00161478796508,0.101135969162,0.427591085434,0.15299288928500000,0.130659997463,0.187620058656,0.977189779282,0.0228102318943,0.07218899577860000,0.927811026573,0.873381257057,111.889938354,spotify:track:08f0fHqZigPgPHCfRjk8SC,7,11,15,18,19,0
Baby I Love U! (R. Kelly Remix),Jennifer Lopez,The Reel Me,0.992564797401,0.0074352058582,0.0008270355174320000,0.0488049089909,0.0609523653984,0.00207354850136,0.177894979715,0.704633951187,0.00260806991719,0.00220515392721,0.0712801590562,0.366039663553,0.17764930427100000,0.270714700222,0.114316180348,0.988861382008,0.0111386431381,0.110436931252,0.8895630836490000,0.94469666481,111.90219879200000,spotify:track:0556ZLw2XaozAPkNDP4EO3,7,11,15,18,19,0
Arthurs Theme,Thomas Anders,Songs Forever (Special Fan Edition),0.786847829819,0.213152185082,0.00317957927473,0.0167928673327,0.0206700433046,0.09596081823110000,0.280041009188,0.566718518734,0.0118892379105,0.004747916478660000,0.09825813770290000,0.550893545151,0.129330441356,0.160841688514,0.060676202178,0.841362178326,0.158637836576,0.173748359084,0.826251626015,0.871656954288,111.995704651,Not Found,7,11,15,18,19,0
24 timer,Revoltage,Kaos i myldretiden,0.932051718235,0.0679483115673,0.0137631185353,0.032886486500500000,0.113327868283,0.0202799830586,0.382122755051,0.394665330648,0.0326912999153,0.0102631701156,0.0869202315807,0.283021241426,0.17167301476,0.206988245249,0.251397281885,0.801725566387,0.198274418712,0.229369714856,0.770630300045,0.885098218918,112.033454895,Not Found,7,11,15,18,19,0
(I Can) Wrap My Arms Around the World (2),Narvel Felts,Drift Away: the Best of Narvel Felts,0.521597087383,0.478402942419,0.021413752809200000,0.00718841888011,0.0204265993088,0.0274664126337,0.289522707462,0.596862733364,0.0180187597871,0.0191006138921,0.0681810602546,0.323471575975,0.302522301674,0.219520911574,0.08630414307120000,0.569374799728,0.430625230074,0.00105922564398,0.998940765858,0.8957790136340000,112.118858337,Not Found,7,11,15,18,19,0
Rock Island Line,Lonnie Donegan,Rock Island Line: The Singles Anthology 1955-1967,0.5276573896410000,0.472342640162,0.0444768443704,0.0210234653205,0.0403901487589,0.26654163003000000,0.269714951515,0.288907706738,0.0481713414192,0.020773915574,0.238936036825,0.395094066858,0.06256242096420000,0.199013456702,0.104394041002,0.959019780159,0.040980245918,0.00173265603371,0.998267352581,0.495085150003,112.134490967,spotify:track:7IM2yvWEuE0TvWKe0T3GRa,7,11,15,18,19,0
