title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Ottoman,Vampire Weekend,Nick and Norahs Infinite Playlist,0.401139587164,0.598860383034,0.0262597221881,0.017628949135500000,0.07267171889540000,0.0515288896859,0.289546608925,0.479612499475,0.049366496503400000,0.013385117054,0.079181343317,0.54173129797,0.131363868713,0.183904781938,0.0638187229633,0.999987244606,1.27579378386E-05,0.439793050289,0.560206949711,0.8526392579080000,109.018196106,spotify:track:24oUAUX28faoMJBw3sMDm6,7,11,15,18,19,1
Big Fool Of The Year,George Jones,She Thinks I Still Care (The Complete United Artists Recordings 1962-64),0.174930274487,0.8250697255130000,0.0343052968383,0.00486116204411,0.00836388859898,0.0763511359692,0.295303493738,0.566113233566,0.0104861445725,0.00421566748992,0.10360853374,0.508979558945,0.192917123437,0.177424937487,0.0170698668808,0.974288761616,0.0257112160325,0.000981948920526,0.999018073082,0.830103218555,109.16024780300000,spotify:track:1YwqDW8zpjQ7FCRJEsICxa,7,11,15,18,19,1
Im in Love (And I Love the Feeling),Rose Royce,Strikes Again,0.104672677815,0.8953273296360000,0.117891043425,0.0115789724514,0.0239349268377,0.06563789397480000,0.197946146131,0.537193834782,0.0275107566267,0.0183064173907,0.060658749193,0.350801974535,0.322356879711,0.246750608087,0.0194317866117,0.983154296875,0.0168457105756,0.00115589308552,0.998844087124,0.534059882164,109.27931976300000,spotify:track:713tCplO59Xcz1ktMoVG7Z,7,11,15,18,19,1
Thats How a Heartache Begins,Patsy Cline,Sweet Dreams: The Complete Decca Masters (1960-1963),0.267507880926,0.732492148876,0.0206162072718,0.00183199637104,0.00304967677221,0.0650388970971,0.386179119349,0.5144170522690000,0.005989546421920000,0.0028774919919700000,0.12958848476400000,0.464975178242,0.174106433988,0.20338973403,0.0279401578009,0.986954927444,0.0130450632423,0.0527842156589,0.947215795517,0.7045713067050000,109.426055908,spotify:track:02i1gb6ZJMcULCKA8E2Ugd,7,11,15,18,19,1
Sometimes,Stephen Cummings,Thats My Cave Man,0.05762958899140000,0.942370414734,0.105869568884,0.0159846395254,0.0194352362305,0.231089860201,0.277809858322,0.305992245674,0.0301175788045,0.0137009881437,0.154459416866,0.464553594589,0.137066423893,0.150359481573,0.09356108307840000,0.996882975101,0.00311705283821,0.00347141525708,0.996528565884,0.5177693963050000,109.8279953,Not Found,7,11,15,18,19,1
Cumbe-Maita,Yma Sumac,Voice of the Xtabay,0.0294343437999,0.970565676689,0.376354306936,0.00215895008296,0.011353668756800000,0.0702633187175,0.0294838100672,0.479848951101,0.00308663770556,0.0274503491819,0.0774546042085,0.502074301243,0.151658430696,0.16214998066400000,0.106662683189,0.603703260422,0.396296769381,0.005093324463810000,0.994906663895,0.506150901318,109.910583496,spotify:track:6WuY1HBKZv6xawJN4CzdpD,7,11,15,18,19,1
Proof Of My Love,The Naked Brothers Band,Naked Brothers Band,0.371885240078,0.628114759922,0.00181659590453,0.00151612528134,0.0126786194742,0.0016378080472400000,0.20369224250300000,0.770201146603,0.00824540294707,0.000212048951653,0.0756760984659,0.492003917694,0.135229066014,0.270817399025,0.0262734945863,0.846120893955,0.153879076242,0.000777532928623,0.999222457409,0.575563788414,109.92364502,spotify:track:0xDHEBtRyJIsxuRlkPoKaH,7,11,15,18,19,1
Summer Jam (Unplugged),The Underdog Project,It Doesnt Matter,0.298727065325,0.701272904873,0.0301808230579,0.0198278743774,0.0550111755729,0.258950710297,0.07730513811110000,0.517474353313,0.020631192252,0.0206187143922,0.0930851772428,0.424011409283,0.256701022387,0.113884463906,0.11231790483,0.963239967823,0.0367600359023,0.0441899858415,0.955810010433,0.6708632707600000,109.955978394,spotify:track:2TFa8W3RA52uMBQBfj5OBx,7,11,15,18,19,1
Funkytown,Eldissa,What a difference...,0.133226290345,0.8667737245560000,0.0100141325966,0.0114301079884,0.022597020492,0.305730760098,0.124306663871,0.495578438044,0.0215333104134,0.00880957674235,0.08799312263730000,0.5432898998260000,0.218500822783,0.103080637753,0.0471355356276,0.652917563915,0.347082465887,0.230775520205,0.769224464893,0.918907523155,109.96292114300000,spotify:track:5CcGc72sXQpqpD0ndRFPDV,7,11,15,18,19,1
Tough & Tender,Harry Manx,West Eats Meet,0.0331194698811,0.966880500317,0.0195826534182,0.00198400975205,0.00711608771235,0.09043391048910000,0.101765088737,0.7504769563670000,0.00905742775649,0.0195838473737,0.100925274193,0.554947376251,0.175710946321,0.108033940196,0.06038249284030000,0.8827830553050000,0.117216959596,0.0971961542964,0.902803838253,0.904928207397,109.968109131,Not Found,7,11,15,18,19,1
