title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Marching to Zion,Amy Grant,Legacy... Hymns & Faith,0.680101752281,0.319898247719,0.0454835258424,0.0250184871256,0.147958725691,0.228113442659,0.16346773505200000,0.342080712318,0.0364743508399,0.0114030288532,0.147193178535,0.329241394997,0.139944955707,0.251387476921,0.132233008742,0.982325315475,0.0176747012883,0.0102031622082,0.989796817303,0.478663682938,66.6770019531,spotify:track:2OEvhOQ0srIb0PhwrvSrYf,7,11,15,18,20,0
It Tears Me Up,Percy Sledge,The Heart of Soul (Disc 2),0.880845963955,0.119154050946,0.00141129945405,0.0014091402990700000,0.00726339966059,0.0404027663171,0.07218186557290000,0.8752613067630000,0.00167362613138,0.000396570452722,0.042058002203700000,0.598136246204,0.150069415569,0.192137300968,0.0175990238786,0.990123569965,0.00987643282861,0.0155621133745,0.9844378829,0.766773760319,70.343788147,spotify:track:58wullwJKOgd2ePaso2WlT,7,11,15,18,20,0
В доме на улице Смольной,Крематорий,Ботаника,0.6775321960450000,0.322467803955,0.006361221894620000,0.024499548599100000,0.104160860181,0.0252509247512,0.273327082396,0.5022912621500000,0.0517472401261,0.0123618338257,0.122946977615,0.550222933292,0.143213808537,0.17460785806200000,0.00900844018906,0.939774870872,0.0602251552045,0.0697734355927,0.930226564407,0.932300209999,71.4663848877,spotify:track:4QzdTPC5CRnJPygqda2Exh,7,11,15,18,20,0
Cool Cat,Queen,Hot Space,0.8457626700400000,0.15423732996,0.003520258702340000,0.00155745469965,0.289825648069,0.00826075579971,0.0270757991821,0.664006650448,0.00100216292776,0.0047512431629,0.113146305084,0.521827280521,0.145492181182,0.14884313941,0.0706911161542,0.961395084858,0.0386048927903,0.0128005370498,0.987199485302,0.859514474869,73.7546157837,spotify:track:6Re2AwZUVlgBng04BZTauW,7,11,15,18,20,0
Broken Heart,B.B. King,His Definitive Greatest Hits,0.863481640816,0.136518374085,0.224801033735,0.00623268214986,0.0565395615995,0.145421996713,0.173599079251,0.264349639416,0.115687541664,0.0133684854954,0.0940420404077,0.399571716785,0.14931751787700000,0.311983436346,0.045085310936,0.979398190975,0.0206018276513,0.0237168278545,0.976283192635,0.92243129015,74.45035552980000,spotify:track:0WYrLEvXab6llnMVISVUS2,7,11,15,18,20,0
Come a Long Way,Tanya Stephens,Rebelution,0.984865963459,0.0151340290904,9.40865793382E-05,0.0027535359840800000,0.0213806908578,0.00491623301059,0.0548919253051,0.915612697601,0.000107572530396,0.00024325629056,0.08211635798220000,0.467244327068,0.224911808968,0.209817573428,0.0159099455923,1.0,5.80190606669E-09,0.272320389748,0.7276796102520000,0.939183115959,75.99076080320000,spotify:track:1L3sZSZd09AjMoO0OtQgK4,7,11,15,18,20,0
Blues in the Year One-D-One,Big Time Sarah and the BTS Express,Blues in the Year One-D-One,0.625047028065,0.374952971935,0.0264765005559,0.00526492623612,0.0529513843358,0.0621495060623,0.125057607889,0.70014756918,0.0239703916013,0.00398213881999,0.13652811944500000,0.303466260433,0.119360715151,0.279852420092,0.160792469978,0.992377579212,0.00762240588665,0.145597726107,0.854402244091,0.724265396595,77.6683731079,spotify:track:6pX1PlSaP8xeJcOWJ5efbf,7,11,15,18,20,0
She Said,Hi Five,Hi-FiveGreatest Hits,0.7793631553650000,0.220636829734,0.00123862025794,0.00899323355407,0.0700946822762,0.0039560403674800000,0.229807600379,0.680947005749,0.00330139114521,0.00166141835507,0.13278451561900000,0.392929792404,0.0985794663429,0.214596286416,0.161109954119,0.977859437466,0.0221405569464,0.0363065823913,0.96369343996,0.77539139986,78.1146240234,spotify:track:3Pmv6a3HQZeZ278ipBoAyy,7,11,15,18,20,0
Somethings Gotta Give,OneRepublic,Native,0.991181492805,0.008818500675260000,0.005980379413810000,0.0897141620517,0.258345633745,0.0154002821073,0.161619305611,0.43774959445,0.0239045359194,0.00728609785438,0.105739563704,0.301989734173,0.235468313098,0.26606425643000000,0.0907381474972,0.719324409962,0.280675590038,0.000255567923887,0.999744415283,0.847183585167,79.9091110229,Not Found,7,11,15,18,20,0
Dont Forget Where U Goin,dead prez,RBG: Revolutionary but Gangsta,0.528958082199,0.471041917801,0.00425854884088,0.0146025856957,0.0657813251019,0.015658160671600000,0.14286933839300000,0.747732043266,0.004610744770620000,0.00448727235198,0.186360791326,0.378539800644,0.139571905136,0.156948670745,0.138578817248,0.649741947651,0.350258052349,0.00244427844882,0.997555732727,0.592569291592,79.9403610229,spotify:track:6lx2NqAv1S9YuEjnQ416gU,7,11,15,18,20,0
