title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
12 Mon Univers,Vitaa,A Fleur De Toi,0.8431302905080000,0.156869739294,0.00193729868624,0.00179796048906,0.005049057304860000,0.0138393919915,0.34532096982,0.62616276741,0.00470642279834,0.0011861420935,0.0899899825454,0.33778187632600000,0.17360866069800000,0.238915845752,0.159703627229,0.227015033364,0.7729849815370000,0.0603455193341,0.93965446949,0.650849938393,71.94855499270000,Not Found,7,11,16,18,20,0
Like Jimmy Reed Again,The Yardbirds,Having a Rave Up,0.538206577301,0.461793422699,0.00476357666776,0.0112133137882,0.068566866219,0.006943004205820000,0.133354097605,0.761038422585,0.0110000763088,0.00312062725425,0.200454816222,0.484456330538,0.08817713707690000,0.165177464485,0.0617342591286,0.36014315486000000,0.639856815338,0.0030303243547700000,0.99696969986,0.879778563976,71.97672271730000,spotify:track:0u9nwanutCcGSolKO3rN1M,7,11,16,18,20,0
Bad Patient,Piano Magic,Low Birth Weight,0.412525564432,0.58747446537,0.00840836018324,0.0044682440348,0.0125690819696,0.0215908251703,0.224355906248,0.707280397415,0.00264340732247,0.0186837762594,0.117873817682,0.358416318893,0.203502133489,0.17577637732,0.14443133771400000,0.336489111185,0.663510859013,0.8940536379810000,0.105946362019,0.85896474123,74.7523956299,spotify:track:3VzBXxsOPMwwCGcP4o6QmZ,7,11,16,17,20,1
Selfie,Mark Forster,Tape,0.653168261051,0.346831738949,0.00898986309767,0.0132387299091,0.194593906403,0.0112696317956,0.25782617926600000,0.496315717697,0.010903180576900000,0.00686278566718,0.0650581642985,0.369073241949,0.235685825348,0.27931150794,0.0508712790906,0.231590121984,0.768409848213,0.102576173842,0.8974238038060000,0.669395625591,75.8922805786,spotify:track:4R4x6JyCjOdKEEpK3v3GoM,7,11,16,18,20,0
One Avalanche,Wiley,Da 2nd Phaze,0.993566393852,0.006433602888140000,0.00105107168201,0.0109024439007,0.047866400331300000,0.0029990090988600000,0.0693681612611,0.8444089293480000,0.021753840148400000,0.00165017414838,0.114717945457,0.33714538812600000,0.0555468127131,0.248046115041,0.244543716311,0.47446128726,0.525538682938,0.0155718987808,0.984428107738,0.7643470168110000,76.0130310059,spotify:track:7mhefospbfsKJFhjFtDJP5,7,11,16,18,20,0
We Cant Stop,Postmodern Jukebox,Twist Is the New Twerk,0.467834740877,0.532165288925,0.0122676333413,0.00152720650658,0.00522163975984,0.0264498461038,0.354321688414,0.576310992241,0.0223120562732,0.0015889601782,0.0923457592726,0.460284888744,0.24345870316,0.143044620752,0.0608660057187,0.26849091053,0.7315090894700000,0.172865852714,0.827134132385,0.8859276175500000,76.1944885254,spotify:track:5Vdzp8l5OgChDC2UAyJf8z,7,11,16,18,20,1
Going Home,Leonard Cohen,Old Ideas,0.0365668125451,0.963433206081,0.17885532975200000,0.0147179141641,0.028864428401,0.12569905817500000,0.09249866008760000,0.467947900295,0.0364344641566,0.0549822598696,0.08083431422710000,0.426190078259,0.376469135284,0.0978200435638,0.0186864174902,0.30562800169,0.69437199831,0.452382951975,0.547617077827,0.62261402607,76.9178390503,spotify:track:4a1dvKHMBg9PQTJBZrMjKJ,7,11,16,18,20,1
Tool Man,Blue Sky Black Death & Nacho Picasso,Lord of the Fly,0.989065587521,0.010934391059,0.0217011198401,0.0909344628453,0.272812873125,0.049254134297400000,0.122548036277,0.390826016665,0.0164279192686,0.035495437681700000,0.07517135888340000,0.364352405071,0.181930795312,0.241879478097,0.136665955186,0.186010628939,0.8139894008640000,0.566502809525,0.433497190475,0.918934226036,76.9995651245,spotify:track:72D8ZzbtIfmkWNuOzg0dLU,7,11,16,17,20,0
Clarence White,Low,The Invisible Way,0.7312675714490000,0.268732398748,0.00385632994585,0.0184165015817,0.161759480834,0.009943921118970000,0.0511493608356,0.7410936951640000,0.005833695642650000,0.00794699974358,0.20167131722,0.245577573776,0.17899593710900000,0.191618084908,0.182137101889,0.0023246000055200000,0.997675418854,0.587215483189,0.412784516811,0.63542330265,77.290725708,spotify:track:0SOsNz4ZlocEe3o3Ug3oHW,7,11,16,17,20,0
W.O.M.A.N.,Etta James,The Essential Etta James,0.00549509888515,0.994504928589,0.0720427036285,0.0144135439768,0.225928634405,0.0601300485432,0.137669995427,0.415918171406,0.042365655303,0.0315312407911,0.15659502148600000,0.245191976428,0.162270337343,0.227327719331,0.208614960313,0.0625238120556,0.937476217747,0.448327034712,0.55167299509,0.69560521841,77.3272628784,spotify:track:3vyR9ZMjHrN79pWoF60LBf,7,11,16,18,20,1
