title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Fazer Eyes,Frank Black,Teenager of the Year,0.96791946888,0.0320805162191,0.000492456252687,0.0189133938402,0.0104456832632,0.00131857953966,0.048880033195000000,0.00918407179415,0.91039955616,0.000366197811672,0.226032227278,0.117360919714,0.150721758604,0.0609386265278,0.444946467876,0.878067851067,0.121932148933,0.7623363733290000,0.237663596869,0.947727739811,109.022537231,spotify:track:56BmOsuPXS4awM10JjLVw5,8,14,15,17,19,0
Never-Never,Lush,Split,0.999999880791,1.00000008274E-07,0.0199722908437,0.0032920720987,0.0025635457132,0.00601404858753,0.0448680557311,0.00713259959593,0.91478574276,0.0013716657413200000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.918846547604,0.08115344494580000,0.952518463135,0.0474815554917,0.868089735508,110.00633239700000,spotify:track:4Mkavihor6pZV0m1x85gnu,8,14,15,17,19,0
Last Song Over the Horizon,Exxasens,Satellites,0.938442826271,0.0615571923554,0.000914430303965,0.000910765316803,0.000429241947131,0.00015343927952900000,0.0012708682334100000,0.000484682183014,0.995791852474,4.47359088867E-05,0.10282279551,0.0689506083727,0.0413149595261,0.107929371297,0.678982257843,0.536636412144,0.463363617659,0.947239756584,0.0527602434158,0.964462816715,110.01355743400000,spotify:track:7niQLrRzvraqnWU5ZUyDfA,8,14,15,17,19,0
Your Eyes (remix),Underground Lovers,Wonderful Things: Retrospective,0.991611301899,0.008388717658820000,0.00323974783532,0.261932551861,0.016630617901700000,0.00368707161397,0.148427203298,0.0139784347266,0.549799799919,0.00230459915474,0.163944900036,0.231678724289,0.216627091169,0.101062215865,0.286687046289,0.971115589142,0.028884422034,0.830291688442,0.169708311558,0.95389431715,110.188987732,Not Found,8,14,15,17,19,0
Bass Sweet,Abraham LaBoriel,Guidum,0.969848334789,0.030151648446900000,0.0497689582407,0.0858935117722,0.0468266010284,0.168519034982,0.182818681002,0.154686748981,0.276168495417,0.035317946225400000,0.12067001313,0.223165035248,0.221208497882,0.109583288431,0.32537317276,0.996586203575,0.00341380643658,0.996165215969,0.00383480591699,0.835180342197,110.253570557,spotify:track:2Sp97DeV2nX0oomOoJNrvB,8,14,15,17,19,0
C-Butt Rock,Chris Duarte Group,Texas Sugar/Strat Magik,0.6504826545720000,0.349517315626,0.00998651050031,0.103759355843,0.120797850192,0.00667971512303,0.31043925881400000,0.0482005514205,0.396559119225,0.00357763981447,0.140291005373,0.183405101299,0.0521718263626,0.125648409128,0.498483657837,0.778889417648,0.221110582352,0.803424596786,0.196575418115,0.955626249313,110.25645446800000,spotify:track:1zHXNNmT7UZLcfZqoaizh7,8,14,15,17,19,0
See It My Way,Mikal Cronin,MCII,0.637717783451,0.362282186747,0.0198087934405,0.0106759145856,0.014109873212900000,0.0522060468793,0.0536428540945,0.0335220359266,0.8129022121430000,0.00313227740116,0.135416790843,0.08613429218530000,0.182810544968,0.08905798941850000,0.506580412388,0.922452747822,0.077547237277,0.760322511196,0.239677459002,0.880617439747,110.71544647200000,spotify:track:4afybevaPqYGpqy0zx7GTF,8,14,15,17,19,0
Umbrellas,Jupiter One,Summer Song,0.8959091901780000,0.104090832174,0.0293169356883,0.0142751531675,0.0117714805529,0.0358416996896,0.192801758647,0.100746810436,0.609545409679,0.00570073956624,0.128227621317,0.166727155447,0.25133472681,0.13897395134,0.314736545086,0.871694505215,0.12830547988400000,0.827572107315,0.172427892685,0.8422480225560000,110.89394378700000,spotify:track:3jZnk918qJ9pmTM2YDQLA1,8,14,15,17,19,0
Café Buono!,Buono!,The Best Buono!,0.7973725199700000,0.20262748003,0.014718988910300000,0.0309349559247,0.214188471437,0.032706245780000000,0.120871141553,0.165618225932,0.410822153091,0.0101398164406,0.06211165711280000,0.0812585428357,0.0427247285843,0.0651055574417,0.74879950285,0.741412878036,0.258587151766,0.926870822906,0.0731291919947,0.97383660078,110.969062805,spotify:track:6dBtWWuU3AczyjhTOpX2IU,8,14,15,17,19,0
AP Touro,Rebirth Brass Band,Rebirth of New Orleans,0.8696945905690000,0.13030539453,0.00406196527183,0.0541652776301,0.0184853281826,0.0450492277741,0.0319260694087,0.0232311654836,0.82012796402,0.00295299990103,0.104539506137,0.100404247642,0.112622387707,0.0746496617794,0.6077842116360000,0.976290941238,0.0237090848386,0.938993811607,0.0610062032938,0.965069174767,111.309623718,spotify:track:1CAAXbhxUkh60lFjB25sx9,8,14,15,17,19,0
Breakthrough,Modest Mouse,This Is a Long Drive for Someone With Nothing to Think About,0.605046987534,0.394952982664,0.0586056672037,0.0155359394848,0.00801315810531,0.044807434082,0.239498764277,0.0417314022779,0.586434662342,0.00537296384573,0.124865174294,0.143024146557,0.141100555658,0.0689369514585,0.5220731496810000,0.917467653751,0.08253235369920000,0.970468521118,0.0295314881951,0.910418629646,111.49422454800000,spotify:track:07UYuCXQPXjShoGrDCW3oM,8,14,15,17,19,0
