title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
ジェリーの夢,THE BIRTHDAY,TEARDROP,0.470899701118,0.529100298882,0.014140359126,0.005716736428440000,0.007763995788990000,0.0628594905138,0.040702033788,0.0380641035736,0.824631810188,0.00612149853259,0.08448205143210000,0.0622731931508,0.371090322733,0.102802596986,0.379351854324,0.99378567934,0.00621430994943,0.843096911907,0.156903102994,0.8444935679440000,109.05883789100000,Not Found,8,14,15,17,19,1
Shadow In The Black,Manilla Road,Out of the Abyss/Roadkill,0.308331936598,0.691668093204,0.0807710960507,0.0117675242946,0.00914668571204,0.046962801367,0.135106131434,0.0269963871688,0.677310228348,0.0119391260669,0.08440252393480000,0.0947161242366,0.165790557861,0.08650406450030000,0.5685867071150000,0.555488526821,0.444511443377,0.55325114727,0.44674885273,0.781672418118,109.308357239,spotify:track:2gfXys8OQtoJT7nVsy8LTx,8,14,15,17,19,1
Illusions Play,Shape of Despair,Illusions Play,0.200035259128,0.799964725971,0.0159709118307,0.0126722604036,0.00953234545887,0.0409625023603,0.0677813217044,0.00954492483288,0.8413359522820000,0.00219976855442,0.074994802475,0.044793728739,0.235165670514,0.0326486378908,0.612397134304,0.7791674137120000,0.220832616091,0.999999880791,1.06290848123E-07,0.683699429035,109.73491668700000,spotify:track:5LZn8RqucpE9CMfyhHmEeb,8,14,15,17,19,1
Shatters Within,Amorphis,Am Universum,0.301252156496,0.698747873306,0.0120238335803,0.0201413966715,0.040050864219700000,0.0352187119424,0.12848302722000000,0.0218365509063,0.739656865597,0.00258874334395,0.105474576354,0.08737640827890000,0.295496463776,0.151603475213,0.36004906892800000,0.551019430161,0.448980569839,0.5289714932440000,0.471028536558,0.843880593777,110.006141663,spotify:track:5QeIa25rONvCFhv5zvbADl,8,14,15,17,19,1
Sympathy for the Devil,The Rolling Stones,Shine A Light,0.344822078943,0.655177950859,0.0508751943707,0.00841555930674,0.0145736662671,0.00989614892751,0.0453943386674,0.0659252107143,0.800663769245,0.00425609899685,0.0832420364022,0.136706084013,0.12691655755,0.07190982252360000,0.581225454807,0.513004720211,0.486995279789,0.635330140591,0.364669829607,0.938462495804,110.22399902300000,spotify:track:1Ud6moTC0KyXMq1Oxfien0,8,14,15,17,19,1
Control,The Birthday Massacre,Pins and Needles,0.114815577865,0.8851844072340000,0.000470885337563,0.0124192479998,0.00188208813779,0.000398444652092,0.0828409567475,0.000380422861781,0.901406526566,0.000201421949896,0.154760181904,0.0958088114858,0.111329473555,0.0546784847975,0.583423018456,0.508817434311,0.491182565689,0.801332831383,0.198667183518,0.978692412376,110.643341064,spotify:track:6wRnCFOePoaifD2SmZ7K7B,8,14,15,17,19,1
Intro / Sweet Jane,Lou Reed,Rock N Roll Animal,0.027180293574900000,0.972819685936,0.182515487075,0.0412537939847,0.0777544528246,0.050532490015,0.0465656779706,0.0738166719675,0.513765513897,0.0137959253043,0.0687017515302,0.0646829083562,0.15743611753000000,0.0454848147929,0.663694441319,0.7548762559890000,0.245123758912,0.984243273735,0.015756698325300000,0.902667224407,111.107414246,spotify:track:5vtXtPjH9NBC79ZOuTHYrF,8,14,15,17,19,1
The Seer / Bring the Sun / Toussaint l’ouverture,Swans,Not Here / Not Now,0.12247094512,0.877529084682,0.0376181565225,0.0100041441619,0.00452471431345,0.0185486618429,0.027379950508500000,0.0130445575342,0.882865667343,0.006014168262480000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.604885101318,0.395114898682,1.0,3.47434178595E-14,0.7172284722330000,111.14142608600000,Not Found,8,14,15,17,19,1
All About You,Sonny Landreth,Grant Street,0.118801139295,0.881198883057,0.00646085711196,0.0206769220531,0.00816209521145,0.018677070736900000,0.185411438346,0.0177630931139,0.7312877774240000,0.0115607539192,0.152320206165,0.08549176901580000,0.199313133955,0.0596978589892,0.503177046776,0.987210869789,0.0127891208977,0.81054276228,0.18945725262200000,0.969768047333,111.817993164,spotify:track:0FXCQcOm6tG32IGEROUt2y,8,14,15,17,19,1
Catch A Ride To Sonic Bloom,Night Beats,Sonic Bloom,0.29130843281700000,0.7086915969850000,0.220754534006,0.0203372333199,0.011335731484,0.0373275540769,0.07806851714850000,0.034741934388900000,0.577355206013,0.020079286769,0.15170241892300000,0.21159979701,0.161596596241,0.120001778007,0.355099409819,0.551851332188,0.448148697615,0.915429770947,0.0845702067018,0.561409890652,111.917007446,spotify:track:2k7eq8bXYRcT1qooGo025O,8,14,15,17,19,1
Brothers,The War on Drugs,Slave Ambient,0.0523552745581,0.947644710541,0.0220848787576,0.0514955855906,0.0123198851943,0.0215845145285,0.217794150114,0.0355669781566,0.620574355125,0.0185796581209,0.115652255714,0.0769535526633,0.266740858555,0.135558992624,0.405094325542,0.81579887867,0.184201136231,0.562728643417,0.437271356583,0.971408724785,111.918876648,spotify:track:7JNzuzPA578kryw1T49Nw2,8,14,15,17,19,1
Are,Death Blues,Non-Fiction,0.449350059032,0.550649940968,0.0301102045923,0.0999348759651,0.0274165011942,0.0389281436801,0.13172036409400000,0.0262368544936,0.640530288219,0.00512274634093,0.07718662172560000,0.0444034487009,0.227817073464,0.0306560471654,0.6199368238450000,0.915747106075,0.0842528864741,0.993782758713,0.00621724501252,0.662159800529,112.136329651,spotify:track:4KYtT0IxYn8uIAdkVzHAvs,8,14,15,17,19,1
Bravado,Rush,Different Stages Live (disc 1),3.00000096379E-14,1.0,0.000109702967166,0.00393865024671,0.00370605825447,0.000436202419223,0.0288689620793,0.00154195143841,0.961232304573,0.000166163838003,0.0981039777398,0.0536255761981,0.245528101921,0.0390482284129,0.563694119453,0.597088754177,0.402911216021,0.864180207253,0.135819762945,0.951384186745,112.448936462,spotify:track:7fCntOTBEH6rshHhWX7hKG,8,14,15,17,19,1
Heurt,Amesoeurs,Amesoeurs,0.362532496452,0.637467503548,0.0262159015983,0.0143001126125,0.0101724304259,0.0136151686311,0.0278589092195,0.0213680751622,0.8743026256560000,0.0121667748317,0.104061722755,0.101160749793,0.172833055258,0.0630601942539,0.5588842630390000,0.894470632076,0.105529345572,0.944434463978,0.0555655583739,0.908320367336,112.720779419,spotify:track:5JWyNV4rMPyQmhop7jhALU,8,14,15,17,19,1
Baker Street,Gerry Rafferty,Baker Street,0.432711809874,0.567288160324,0.181649014354,0.0253716278821,0.0274041350931,0.0978379100561,0.171087950468,0.218213811517,0.246994957328,0.0314405933022,0.107998587191,0.165492326021,0.300731688738,0.10654604435,0.319231361151,0.999985814095,1.42098133438E-05,0.717547118664,0.282452911139,0.859218478203,112.81657409700000,spotify:track:5gOd6zDC8vhlYjqbQdJVWP,8,14,15,17,19,1
Painted Cross,Wolf People,Banks of Sweet Dundee Pt. 2,0.181136116385,0.818863868713,0.019015358761,0.00824723485857,0.0074293557554500000,0.0385863855481,0.409155786037,0.0174170359969,0.498248070478,0.00190077535808,0.223059207201,0.185749307275,0.135440424085,0.145641356707,0.310109704733,0.624198675156,0.375801354647,0.717175006866,0.282824963331,0.917812883854,113.010688782,spotify:track:5s1m6R1zZ8smED7n5T8btV,8,14,15,17,19,1
Echo Bass,The Verve,Bitter Sweet Symphony,0.364352703094,0.635647296906,0.0313867218792,0.0612898059189,0.0326637551188,0.0818149894476,0.206081598997,0.118117108941,0.449883073568,0.0187629424036,0.0778615251184,0.0575472898781,0.369750827551,0.0930397436023,0.401800632477,0.6760466694830000,0.323953330517,0.8474949002270000,0.152505114675,0.8975338339810000,114.51447296100000,spotify:track:4fbylypqgR2GPbrIyahXBF,8,14,15,17,19,1
