title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Werewolves Of Wall Street,Jello Biafra And The Guantanamo School Of Medicine,White People And The Damage Done,0.918728530407,0.0812714472413,0.0023478528019,0.0149170262739,0.0116208828986,0.00307007133961,0.185248225927,0.00589245185256,0.7754511237140000,0.0014523594873,0.129486635327,0.07566919922830000,0.05925247818230000,0.08795902878050000,0.647632658482,0.6388970613480000,0.361102938652,0.113690562546,0.886309444904,0.970453798771,109.237236023,spotify:track:5o4mfnhIXNeynlhrqbVNwV,8,14,15,18,19,0
Go,Thousand Foot Krutch,The Art of Breaking,0.859774053097,0.140225976706,0.00147878180724,0.007356621325020000,0.0115706007928,0.00107362237759,0.0565545968711,0.00965090002865,0.911606371403,0.0007084777462300000,0.0877208486199,0.0799909606576,0.0197190325707,0.0759518668056,0.736617267132,0.913614332676,0.0863856449723,0.00369016476907,0.996309816837,0.937776327133,109.24634552,spotify:track:11kQbXmJjTpy2AGeRY7GL9,8,14,15,18,19,0
Holy Book,Those Poor Bastards,Gospel Outtakes,0.941969454288,0.0580305270851,0.179002195597,0.07677084952590000,0.0597531013191,0.0577200166881,0.204821899533,0.0683714076877,0.330987453461,0.0225730706006,0.200295820832,0.107892349362,0.127492412925,0.158682927489,0.405636489391,0.5554051995280000,0.444594800472,0.00552547629923,0.99447453022,0.900582253933,109.298988342,spotify:track:7JoK36uhPUtgIfVSBsXX3i,8,14,15,18,19,0
No Relief,Defeater,Letters Home,0.930691421032,0.06930858641860000,0.00035271412343700000,0.11443580687,0.0143829230219,0.000426249607699,0.0174187775701,0.00156905583572,0.850932121277,0.000482355972053,0.265750527382,0.08687473833560000,0.0746206864715,0.116979762912,0.455774277449,0.600097179413,0.399902850389,0.028137372806700000,0.971862614155,0.963201999664,109.789466858,spotify:track:7LQ6tWBusKcIEJmbMVjKVc,8,14,15,18,19,0
There Goes the Fear (radio edit),Doves,"New Noise, Volume 3",0.996138691902,0.00386129529215,0.00132028502412,0.00792671460658,0.0031598738860300000,0.00219630496576,0.14966379106,0.0226888749748,0.812703311443,0.000340858648997,0.132395744324,0.189741626382,0.0976974517107,0.126149609685,0.454015552998,0.986435055733,0.0135649424046,0.353966206312,0.64603382349,0.804771959782,109.795982361,Not Found,8,14,15,18,19,0
Telephone Thing (extended mix),The Fall,Extricate,0.971942007542,0.0280579887331,0.0150422444567,0.208590745926,0.24199257791,0.031175784766700000,0.132026359439,0.103635773063,0.244944438338,0.022592073306400000,0.13290554285,0.216193571687,0.08867895603180000,0.239198163152,0.323023766279,0.555150330067,0.444849669933,0.358680456877,0.641319513321,0.970054864883,109.866256714,Not Found,8,14,15,18,19,0
Party pur,Dimple Minds,Helden der Arbeit,0.88987493515,0.110125079751,0.00162136310246,0.00292103015818,0.07957404106860000,0.00281592132524,0.00604277476668,0.00516389170662,0.901448786259,0.000412170367781,0.224933102727,0.0594197027385,0.019292524084400000,0.023689372465,0.672665297985,0.745608687401,0.254391282797,0.124743357301,0.8752566576,0.934417247772,109.89958953900000,spotify:track:647v0hRnzamW47FprwsYrG,8,14,15,18,19,0
0Ugly Needs,Miniature Tigers,Mia Pharaoh,0.999999880791,1.00000008274E-07,0.230802580714,0.0315662510693,0.0235117245466,0.0387036763132,0.21163465082600000,0.0799898132682,0.362929731607,0.0208615530282,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.956026315689,0.0439736768603,0.0310009028763,0.968999087811,0.833038508892,109.90705871600000,Not Found,8,14,15,18,19,0
NEO VENUS,Janne Da Arc,Z-Hard,0.994640767574,0.005359258502720000,0.000196769091417,0.039304509758900000,0.0151382163167,0.000553670106456,0.102048203349,0.00246910122223,0.839992761612,0.00029677920974800000,0.0702019110322,0.0238359160721,0.0224397145212,0.035640634596300000,0.8478817939760000,0.538069307804,0.461930692196,0.0544199794531,0.945580005646,0.976261556149,109.93044281,Not Found,8,14,15,18,19,0
Sturmvögel,Harpyie,Best of MPS 2014,0.944220721722,0.055779278278400000,0.0008515804656780000,0.310526430607,0.0418528839946,0.00126216560602,0.0558136701584,0.0036302653607,0.585139393806,0.000923632935155,0.191629961133,0.051107738167,0.0793566182256,0.0665663182735,0.611339390278,0.81122559309,0.18877440691,0.389668107033,0.610331892967,0.911155045033,109.97973632800000,Not Found,8,14,15,18,19,0
