title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Christmas Song,Medicine,Shot Forth Self Living,0.999592065811,0.000407926738262,0.000125395119539,0.0034171480219800000,0.000652487389743,0.00011392177839300000,0.00474235182628,0.000274556339718,0.990628600121,4.55477820651E-05,0.090708643198,0.0490566194057,0.169900521636,0.046229485422400000,0.644104719162,0.0219413321465,0.978058695793,0.8677066564560000,0.132293343544,0.890708446503,71.9553604126,spotify:track:0xhVRzYlavvftfU7a5CHW7,8,14,16,17,20,0
Pink Lemonade,Kittie,Oracle,0.714151084423,0.285848915577,0.000252214260399,0.00428175320849,0.0191181842238,0.000267037627054,0.00223806430586,0.00128801586106,0.972328364849,0.000226359756198,0.07284338027240000,0.047164067626,0.192462638021,0.0306424051523,0.656887531281,0.0006020719883960000,0.999397933483,0.7109829783440000,0.28901699185400000,0.844785809517,73.9950027466,spotify:track:3Ukbx6XakQOsX7tSkUsUqo,8,14,16,17,20,0
In Our Blood,YOB,Clearing the Path to Ascend,0.87561237812,0.124387614429,0.000623578031082,0.00225273566321,0.0005069041508250000,0.000441153271822,0.00314120645635,0.00157969782595,0.99089217186,0.0005625640042130000,0.07582751661540000,0.0448692142963,0.234452083707,0.031876116991,0.61297506094,0.005880927201360000,0.994119048119,0.961465954781,0.0385340414941,0.8210753798480000,76.0619354248,spotify:track:1CgbM10ygltCS5FhmFtoXg,8,14,16,17,20,0
Goodbye,Depeche Mode,Live In Berlin Soundtrack,0.580653488636,0.419346481562,0.0254517700523,0.0415613651276,0.24520085752000000,0.0219064503908,0.214075282216,0.15495783090600000,0.28594532609,0.0109011288732,0.120516821742,0.125625640154,0.135970339179,0.112249530852,0.505637645721,0.041832424700300000,0.958167552948,0.845654904842,0.15434511005900000,0.826647222042,77.42274475100000,spotify:track:6QOn4Buq0kA7MkRyfh1Lb7,8,14,16,17,20,0
Im Not Fine,The Vomit Arsonist,Only Red,0.981094241142,0.0189057346433,0.007050675340000000,0.163119316101,0.08453134447340000,0.023334832862,0.020566938445,0.06147059053180000,0.629958629608,0.00996766798198,0.127984523773,0.07320652902130000,0.229926720262,0.0641046613455,0.504777550697,0.00861484743655,0.991385161877,0.977451682091,0.0225483011454,0.868119001389,79.9922409058,spotify:track:3zlLPjx8qCogjbOeQ5NvLP,8,14,16,17,20,0
The Plunge,Robben Ford & The Blue Line,Mystic Mile,0.759191513062,0.24080850184,0.0130730522797,0.0998139083385,0.0422194190323,0.0147933354601,0.138201534748,0.0928883850574,0.585417985916,0.0135923782364,0.0594239830971,0.0601774677634,0.146222352982,0.0497330874205,0.684443116188,0.480739593506,0.5192604064940000,0.986389636993,0.0136103462428,0.950959920883,80.0388183594,Not Found,8,14,16,17,20,0
Savior in the Clockwork (instrumental version),Avantasia,The Mystery of Time,0.626328527927,0.373671501875,0.00895647425205,0.0238086450845,0.00740011362359,0.00871631875634,0.096612200141,0.0304470602423,0.8213235139850000,0.0027356459759200000,0.0697477459908,0.0470296479762,0.25419041514400000,0.043239403516100000,0.5857927799220000,0.02667247504,0.973327517509,0.889648497105,0.110351532698,0.801357269287,80.8756561279,Not Found,8,14,16,17,20,0
New Dawn,Morne,Shadows,0.939034342766,0.0609656833112,0.00345326331444,0.123740285635,0.0250546261668,0.04238865152,0.0185411516577,0.012315823696600000,0.7669052481650000,0.00760097708553,0.07498703151940000,0.044398602098200000,0.257183939219,0.034813381731500000,0.588617026806,0.0610490813851,0.938950896263,0.908355355263,0.0916446521878,0.94447940588,80.8847579956,spotify:track:0ZEOCF8JYdPQQDXA5cA3KE,8,14,16,17,20,0
Seen It All,Mortification,Primitive Rhythm Machine,0.999357461929,0.0006425271858460000,0.00358709529974,0.202720701694,0.0755722150207,0.0226800329983,0.150272190571,0.0663365647197,0.473582535982,0.00524865882471,0.090660482645,0.0934616923332,0.0272154696286,0.0671462193131,0.7215161323550000,0.0114974994212,0.988502502441,0.701534509659,0.298465460539,0.916756093502,82.7308273315,spotify:track:5cnIXwlnlHyBlWkZyxPkvs,8,14,16,17,20,0
Shooting Breaks,Garage a Trois,"Always Be Happy, But Stay Evil",0.845457673073,0.154542326927,0.007509517949070000,0.0648495852947,0.05216178298,0.158670738339,0.090575158596,0.0377454794943,0.574337482452,0.0141502553597,0.142715141177,0.114466235042,0.237101510167,0.0797623470426,0.425954759121,0.00611888011917,0.993881106377,0.942405641079,0.0575943849981,0.961099326611,82.98329162600000,spotify:track:3GIT4W6r02RnRsX4ZKL92R,8,14,16,17,20,0
Lonely Freedom,Spiritual Beggars,Sunrise to Sundown,0.782235264778,0.217764735222,0.00483857002109,0.0136265670881,0.014400236308600000,0.06027262657880000,0.0340207926929,0.009612251073120000,0.859975516796,0.00325345410965,0.115876667202,0.0855195075274,0.16416558623300000,0.08691249787810000,0.547525763512,0.0283890478313,0.971610963345,0.938681304455,0.0613186769187,0.905208826065,84.0346221924,spotify:track:2XDgXJbZEy93qaZXhYYp6g,8,14,16,17,20,0
Kaltstart,RotoR,3,0.949862837791,0.0501371845603,0.007662461139260000,0.341030776501,0.035888940095900000,0.0300449021161,0.0206537470222,0.0288821496069,0.514271497726,0.021565530449200000,0.156932920218,0.121621064842,0.243756145239,0.0468460433185,0.430843830109,0.0137968817726,0.98620313406,0.990751028061,0.00924897473305,0.965539336205,84.08353424070000,Not Found,8,14,16,17,20,0
Pornographer Cain,Solefald,Pills Against the Ageless Ills,0.938259780407,0.0617401972413,0.000148547405843,0.000137682436616,0.000188877762412,0.000202587092645,0.0006834843079560000,0.0003769912000280000,0.998170137405,9.17028592085E-05,0.0601992532611,0.0321010351181,0.0555465631187,0.029442999512,0.822710156441,0.006179122719910000,0.993820905685,0.859773039818,0.140226975083,0.883429169655,85.1613922119,spotify:track:5Pn6ShpBOTRzoUQ6igdoOn,8,14,16,17,20,0
