title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Arise,Lustmord,A Document of Early Acoustic & Tactical Experimentation,0.30456212163,0.6954379081730000,0.158402562141,0.0409085638821,0.135696843266,0.080886118114,0.0561125688255,0.08378604054450000,0.412667900324,0.0315394103527,0.105162777007,0.07242826372390000,0.358404546976,0.0706329867244,0.39337143302,0.0422165244818,0.957783460617,0.999999761581,2.30972943882E-07,0.494402498007,68.13613891600000,spotify:track:6A9AQ7k0ozid58Ray6Numb,8,14,16,17,20,1
Cubik:98,808 State,808:88:98: 10 Years of 808 State,3.00000096379E-14,1.0,0.0278461836278,0.0463400408626,0.0410231128335,0.0127558419481,0.240570783615,0.0148339988664,0.601205229759,0.015424776822300000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.16450484097,0.8354951739310000,0.996165156364,0.00383481383324,0.922983407974,68.892868042,Not Found,8,14,16,17,20,1
Slave,New Dreams Ltd.,Initiation Tape: Isle of Avalon Edition,0.0484288111329,0.951571166515,0.005428232252600000,0.00952945835888,0.00269172759727,0.0029837891925100000,0.0385754704475,0.0016512372531000000,0.935637831688,0.0035022457595900000,0.241664782166,0.023370090872,0.0721323415637,0.020282112062,0.642550647259,0.0361647419631,0.96383523941,0.863775134087,0.136224880815,0.800472676754,76.1828536987,Not Found,8,14,16,17,20,1
A Meeting Place and Time,Woods of Ypres,Against the Seasons: Cold Winter Songs From the Dead Summer Heat,3.00000096379E-14,1.0,0.0025864855852,0.0358780547976,0.07342647761110000,0.00467432569712,0.067131832242,0.007151574827730000,0.806258261204,0.00289301062003,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00028239417588300000,0.999717593193,0.999998152256,1.86043007488E-06,0.486749321222,77.1711654663,spotify:track:1QXm0kIw41qWGuGVibnm5w,8,14,16,17,20,1
Fairytale of New York,The Pogues,The Ultimate Collection,3.00000096379E-14,1.0,0.06926532089710000,0.0220226403326,0.0345878116786,0.026680259034,0.275970220566,0.034869775176,0.493012994528,0.043590996414400000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.016918513923900000,0.983081459999,0.999999940395,3.64581502765E-08,0.795827805996,78.9265823364,spotify:track:3VTNVsTTu05dmTsVFrmGpK,8,14,16,17,20,1
Traum vom Tod II,Subway To Sally,Schrei!,3.00000096379E-14,1.0,0.00146175967529,0.00560584757477,0.0142757799476,0.00111795053817,0.2414740026,0.005112275946890000,0.7291526198390000,0.0017997720278800000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0967084243894,0.903291583061,0.997290670872,0.00270932144485,0.937023758888,78.95552825930000,spotify:track:4CV4e5WGNY4BfWOF7xjm22,8,14,16,17,20,1
"The Forgotten, Part 2",Joe Satriani,Flying in a Blue Dream,3.00000096379E-14,1.0,0.0324365049601,0.0132099082693,0.07802285254000000,0.051829747855700000,0.17847669124600000,0.221996724606,0.395978957415,0.0280485954136,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0616847835481,0.938315212727,0.99999332428,6.69304199619E-06,0.7654720544820000,79.0483093262,Not Found,8,14,16,17,20,1
Ruumiinmultaa,Korpiklaani,Manala,3.00000096379E-14,1.0,0.00190167804249,0.175866514444,0.00161269900855,0.0013425840297700000,0.0120150055736,0.000824986258522,0.805167019367,0.00126949092373,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0284533184022,0.971546709538,0.963305354118,0.0366946421564,0.929806828499,79.476600647,spotify:track:3bj6y9HYTdDQnAJaPoMVBA,8,14,16,17,20,1
H,Dark Buddha Rising,Dakhmandal,0.03383256495,0.966167449951,0.00341852800921,0.0023718792945100000,0.000540820183232,0.00724957371131,0.00289325974882,0.0008445535786450000,0.981415271759,0.00126613816246,0.07627453655000000,0.044813930988300000,0.230828896165,0.0313205048442,0.61676210165,0.0133329546079,0.98666703701,0.993049621582,0.00695037748665,0.513416349888,79.5103149414,spotify:track:4jwKT1YUswIrPwFmlnWjcX,8,14,16,17,20,1
Autonomy Lost,Meshuggah,Catch Thirtythree,3.00000096379E-14,1.0,0.00117541861255,0.0216912794858,0.015913086012000000,0.00106053519994,0.333412826061,0.00271650683135,0.623011887074,0.00101842591539,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0388585701585,0.96114140749,0.937230825424,0.0627691522241,0.974359691143,79.5747528076,spotify:track:4JmaLXDZgHIY0Cfc8oj9NK,8,14,16,17,20,1
Soil of the Corpse,Korpiklaani,Manala,3.00000096379E-14,1.0,0.00166650093161,0.220843076706,0.00248572649434,0.00154684542213,0.0147801591083,0.00182627269533,0.7559840083120000,0.0008674003765920000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.031247517094,0.968752503395,0.95820069313,0.041799325496,0.927629649639,79.5915756226,spotify:track:6Mq5CVsEQazP0iMLwCiiQq,8,14,16,17,20,1
Imprint of the Un-Saved,Meshuggah,Catch Thirtythree,3.00000096379E-14,1.0,0.00106111739296,0.013143667951200000,0.017625581473100000,0.00100643455517,0.151684984565,0.00122897210531,0.813068211079,0.00118099525571,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0381980277598,0.961801946163,0.98192769289,0.0180723350495,0.980849921703,79.6306228638,spotify:track:6eLf5YhUGg1EkWUE9aOWiZ,8,14,16,17,20,1
You & Me & Me,You Blew It!,Keep Doing What You’re Doing,3.00000096379E-14,1.0,0.00986720714718,0.0423004366457,0.055353276431600000,0.0108438935131,0.28251823782900000,0.0205819532275,0.573718488216,0.004816529806700000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00112032087054,0.998879671097,0.988295197487,0.0117048192769,0.944532155991,79.6561584473,spotify:track:1xHEgh7XEidV37EhrqEo5q,8,14,16,17,20,1
Fenham Dreadlock,EAT FAST,Fenham Dread(Lock),0.0838185250759,0.916181445122,0.00081319489982,0.0692535564303,0.045862227678300000,0.00103708775714,0.0701468214393,0.00172170461155,0.8105226159100000,0.0006427692133,0.397169262171,0.0511176548898,0.0601220279932,0.0236987899989,0.467892259359,0.289547204971,0.710452795029,0.786503314972,0.213496699929,0.975165903568,79.8546447754,spotify:track:4u7PG23ovw6Tgp25JadS0C,8,14,16,17,20,1
Last Stand for Independence,Testament,Dark Roots of Earth,3.00000096379E-14,1.0,0.000665933301207,0.007259970065210000,0.00243312353268,0.000643672770821,0.031493306160000000,0.0007843869389030000,0.956056475639,0.000663130020257,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0140379769728,0.985962033272,0.972373902798,0.0276261121035,0.965037643909,79.9129562378,spotify:track:21qsNEJKTboF9dIW6JuxUU,8,14,16,17,20,1
