title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Performance,Happy Mondays,Bummed,0.963718116283,0.0362818911672,0.00816137995571,0.041361130774,0.024902895093,0.0381525978446,0.132187962532,0.00950924213976,0.738369524479,0.00735522992909,0.151165351272,0.0665729939938,0.126301020384,0.0970552563667,0.558905363083,0.0597882941365,0.940211713314,0.426877051592,0.5731229186060000,0.938087940216,109.026634216,spotify:track:3ImHVBUqS3cKr40S06h4I5,8,14,16,18,19,0
Trance Locator,Vintersorg,Visions From the Spiral Generator,0.7510855793950000,0.248914420605,0.00107161724009,0.0120718665421,0.021717729046900000,0.00453393766657,0.0166463050991,0.0026197049301100000,0.939870655537,0.0014681838220000000,0.287120372057,0.0776090472937,0.12361766398,0.0617865696549,0.449866354465,0.0263627227396,0.973637282848,0.0161788072437,0.983821213245,0.90365254879,109.034889221,spotify:track:4UpdL62hexW4FCjhz2oTJU,8,14,16,18,19,0
Smalfilm,Spinvis,Spinvis,0.579045653343,0.420954316854,0.00945767946541,0.0215728823096,0.0478895418346,0.0244078598917,0.0825628936291,0.05659684538840000,0.754317998886,0.00319426995702,0.13625690341,0.108997553587,0.07355509698390000,0.06069968640800000,0.620490789413,0.232757121325,0.767242908478,0.464235246181,0.535764753819,0.893852055073,109.049110413,spotify:track:6CXtBIj21Sjtd8nQo6gtx5,8,14,16,18,19,0
How Do I End This?,The Rascals,Rascalize,0.7899978160860000,0.210002154112,0.00598142715171,0.0120323970914,0.00970250926912,0.0075891893357,0.164510518312,0.0159759577364,0.78044462204,0.00376336369663,0.249248176813,0.118396431208,0.125943988562,0.0909435227513,0.415467888117,0.0313261598349,0.968673825264,0.0164634529501,0.983536541462,0.883499503136,109.049255371,Not Found,8,14,16,18,19,0
Crime of Passion,Saxon,Into the Labyrinth,0.7255565524100000,0.274443477392,0.00197274400853,0.030017951503400000,0.02966921404,0.00374486716464,0.104492455721,0.011841237545,0.8166589140890000,0.00160260021221,0.136413931847,0.11082649976,0.121606826782,0.135612159967,0.495540589094,0.0669910088181,0.9330089688300000,0.00485240062699,0.995147585869,0.951663613319,109.071647644,spotify:track:6xAbP203bpS984F7uQfku3,8,14,16,18,19,0
Gangs in the Street,Loverboy,Loverboy Classics: Their Greatest Hits (Compilation),0.522103130817,0.477896869183,0.00641070166603,0.013997130096,0.0137105984613,0.010665431618700000,0.245237484574,0.0581444054842,0.647888958454,0.00394529104233,0.119950845838,0.14394512772600000,0.230591237545,0.101976588368,0.403536200523,0.354548990726,0.645451009274,0.0537682920694,0.946231722832,0.909804821014,109.20384979200000,spotify:track:7fBriLorh3BZIXE1aDxTkh,8,14,16,18,19,0
"Nightmare at 20,000ft",Pop Will Eat Itself,At Weirds Bar and Grill,0.999990701675,9.27851669985E-06,0.008068275637920000,0.261525094509,0.224242672324,0.0240146033466,0.0968170687556,0.0236353948712,0.354774206877,0.006922702770680000,0.0881498530507,0.066295966506,0.0984387695789,0.0448598191142,0.702255606651,0.0280095096678,0.971990466118,0.00371084385552,0.996289134026,0.925879538059,109.20956420900000,Not Found,8,14,16,18,19,0
Du ska va president!,Sista Skriket,Du är mitt allting,0.951334059238,0.0486659556627,0.0006959757301960000,0.0521873906255,0.006562636699530000,0.0072663500905,0.271547883749,0.00536587554961,0.655512213707,0.0008616860141050000,0.16227865219100000,0.08226376771930000,0.0599445737898,0.144812941551,0.550700068474,0.050335343927100000,0.949664652348,0.000833056867123,0.999166965485,0.963290452957,109.233970642,spotify:track:7tQ8rRhGwdFL534bT3KCbj,8,14,16,18,19,0
Scattered Flesh,Malevolent Creation,Fine Art of Murder,0.927250266075,0.0727497115731,0.008428466506300000,0.232915595174,0.049470759928200000,0.014076048508300000,0.139738321304,0.0113106174394,0.531937599182,0.0121226040646,0.11292912066,0.0369403623044,0.043983720243,0.0820620283484,0.7240847945210000,0.123104535043,0.876895487309,0.00756410881877,0.992435872555,0.977311015129,109.250320435,spotify:track:1XxhYy4QkkukSYtkuXHQ95,8,14,16,18,19,0
Slime From Above,Dr.Living Dead!,Dr.Living Dead!,0.865457653999,0.134542316198,0.000362430961104,0.012281551957100000,0.0148658044636,0.00121169060003,0.010625267401300000,0.00453958287835,0.95575928688,0.000354376941686,0.138059332967,0.0554168820381,0.0226404368877,0.145175218582,0.638708114624,0.0595678947866,0.94043213129,0.000151747386553,0.999848246574,0.951259732246,109.446647644,Not Found,8,14,16,18,19,0
