title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Lady With the Spinning Head (extended dance mix),U2,Achtung Baby,3.00000096379E-14,1.0,0.000180618662853,0.00221093813889,0.000520163332112,0.000231241065194,0.0119614861906,0.000628910085652,0.984235525131,3.11335170409E-05,0.0813906788826,0.0642437636852,0.134967625141,0.0391052365303,0.680292665958,0.494948297739,0.505051732063,0.33757853508,0.66242146492,0.934636056423,109.041069031,spotify:track:0mZHlPLmD2AnP743DhLQ8o,8,14,16,18,19,1
Be Stiff,DEVO,"Hardcore Devo, Volume 2: 1974–1977",0.31631740927700000,0.683682620525,0.0129157174379,0.0574451833963,0.05495754629370000,0.0274321716279,0.217747882009,0.13195951283,0.475241601467,0.0223003737628,0.188377186656,0.150088697672,0.109944581985,0.15700705349400000,0.394582480192,0.23766283690900000,0.7623371481900000,0.00892251543701,0.9910774827,0.965869009495,109.04636383100000,spotify:track:6Owohd92bClr5WbzhbL8IM,8,14,16,18,19,1
New Chlorine,Tera Melos,Xed,0.00279534840956,0.997204661369,0.000432113389252,0.00196408201009,0.000927569693886,0.000208467346965,0.00279220030643,0.00030393069027900000,0.9932538867,0.000117748109915,0.0807105079293,0.029093602672200000,0.0471004284918,0.0572724416852,0.785823047161,0.053164370358,0.946835637093,0.260041773319,0.739958226681,0.954175651073,109.059158325,spotify:track:1HKJkJVdRU8gN1gGaDx9dg,8,14,16,18,19,1
Bombs over Brooklyn,Love Equals Death,Nightmerica,0.07524642348290000,0.924753606319,0.00339613598771,0.0203601997346,0.0136887980625,0.00417269300669,0.050837248563800000,0.00198240438476,0.903285205364,0.00227730185725,0.16742645204100000,0.06947729736570000,0.0254194233567,0.0446181483567,0.693058669567,0.220371320844,0.779628694057,0.0183397326618,0.981660246849,0.967106461525,109.097854614,spotify:track:17CCXxotnzfYQjiT3EQVMo,8,14,16,18,19,1
Shitstorm,Strapping Young Lad,Alien,0.24174644053,0.7582535743710000,2.56913267549E-06,0.00194702693261,0.000572397373617,9.90455828287E-06,0.000139043622767,2.01202801691E-05,0.997307300568,1.64326058893E-06,0.060119349509500000,0.0177341550589,0.033694304525900000,0.0233832299709,0.865068972111,0.0250234957784,0.974976480007,0.00244827754796,0.997551739216,0.930359184742,109.134262085,spotify:track:6uHUVWJbF8G2GADlzfeDRz,8,14,16,18,19,1
Kaksi kaupunkia,Bad Jesus Experience,II,4.39520381895E-14,1.0,2.97302794934E-05,0.154977723956,0.0007723101880400000,3.60866215487E-05,0.00314909033477,2.66847600869E-05,0.8409989476200000,9.42793940339E-06,0.289923876524,0.0144567154348,0.0337485782802,0.007057609502230000,0.654813230038,0.382245093584,0.617754876614,0.0046217427589,0.995378255844,0.983324408531,109.16288757300000,Not Found,8,14,16,18,19,1
Sherlock Holmes,The Dirtbombs,We Have You Surrounded,0.16111010313,0.8388898968700000,0.0226646326482,0.0219560656697,0.0721348300576,0.0186169296503,0.0656855255365,0.0895828604698,0.698717057705,0.0106420982629,0.211237549782,0.150060102344,0.221889615059,0.114593923092,0.302218794823,0.0584324710071,0.941567540169,0.00771610578522,0.992283880711,0.972490847111,109.171455383,spotify:track:0wpLzt1acBoxdGYZ7R9t01,8,14,16,18,19,1
El Camino,Ween,GodWeenSatan: The Oneness,0.237438604236,0.762561380863,0.0148448189721,0.00914881937206,0.0111866798252,0.007390391547230000,0.110069103539,0.020295958966,0.826077103615,0.0009871430229400000,0.133635088801,0.135186284781,0.128440544009,0.127170979977,0.475567102432,0.107180431485,0.892819583416,0.07376420497890000,0.926235795021,0.84159475565,109.190086365,spotify:track:4prsgrFE6H9uvd2FNpiGDD,8,14,16,18,19,1
Jamie,Weezer,Weezer Blue Album,0.026347626000600000,0.973652362823,0.00043927758815700000,0.00129563605879,0.00172950455453,0.000566499540582,0.007433872669940000,0.00172964774538,0.986027538776,0.0007780246669430000,0.183496803045,0.093054920435,0.0974896624684,0.047430176287900000,0.578528404236,0.100012794137,0.899987220764,0.0007552360766570000,0.999244749546,0.972923874855,109.36141204800000,spotify:track:3gM5SOSbs38dCf1xZ76iYE,8,14,16,18,19,1
Catalysmic Outburst,Solstice,Solstice,0.280193805695,0.719806194305,0.0019657807424700000,0.00946609675884,0.0605812445283,0.0013905669329700000,0.0108001958579,0.00112796877511,0.913084387779,0.00158373336308,0.0278739798814,0.00597625039518,0.00233498821035,0.0060832859017,0.957731485367,0.00799919292331,0.992000818253,0.00117179588415,0.998828232288,0.933328270912,109.38346862800000,Not Found,8,14,16,18,19,1
N.I.B.,Black Sabbath,Mob Rules,0.36029317975,0.639706790447,0.00205060746521,0.0198610555381,0.0493495389819,0.00838784687221,0.0270565375686,0.0160580445081,0.8758400678630000,0.00139632145874,0.101526357234,0.0502544827759,0.08596405386920000,0.0857123807073,0.676542699337,0.18913911283,0.8108608722690000,0.0005524731241170000,0.999447524548,0.937025129795,109.449546814,spotify:track:2GnVuaoKSkB6Xa07l1BBg8,8,14,16,18,19,1
The Bland Within,Sick of It All,Yours Truly,3.00000096379E-14,1.0,0.0138059221208,0.114825345576,0.07964805513620000,0.00976673141122,0.239544779062,0.0168725624681,0.515381455421,0.0101551245898,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0142504498363,0.985749542713,0.295539140701,0.704460859299,0.933762550354,109.48565673800000,spotify:track:2ZzeS9F7IByXpJ9hHxTR9l,8,14,16,18,19,1
Endstille (abschied),Endstille,Kapitulation 2013,2.76956517616E-12,1.0,0.000321563391481,0.00420110998675,0.00144650333095,0.000446719728643,0.00383608066477,0.000192783627426,0.987817406654,0.00173785595689,0.0397543348372,0.0112331807613,0.022027919068900000,0.00845114234835,0.918533444405,0.0136195216328,0.986380457878,0.0200857669115,0.97991424799,0.983065605164,109.495079041,spotify:track:1wRGtbLpTf2hvG5ZjRKK3r,8,14,16,18,19,1
High Class Woman,Blues Pills,Blues Pills Live,0.334539592266,0.6654604077340000,0.00986463204026,0.0814627856016,0.08655343204740000,0.0242639705539,0.173821419477,0.071698769927,0.543470561504,0.00886443816125,0.07512904703620000,0.0612047985196,0.11580645293,0.0347602851689,0.713099420071,0.0483305156231,0.951669454575,0.0132082225755,0.986791789532,0.888413310051,109.50570678700000,spotify:track:3LuR5iyEHjVHARf9ujUlKy,8,14,16,18,19,1
Fossilized,Gammacide,Victims of Science,0.11389503628,0.8861049413680000,0.00154082232621,0.14176706969700000,0.0793171823025,0.00780490320176,0.0983985066414,0.008210273459550000,0.65938860178,0.003572632092980000,0.159836113453,0.057420168072,0.0361260697246,0.0894245058298,0.6571931838990000,0.00031643180409400000,0.999683558941,0.176164075732,0.823835909367,0.949190616608,109.51956176800000,spotify:track:5ecVgE9OsnOwiN206KphDs,8,14,16,18,19,1
Watch Them Feed,In Flames,Reroute To Remain: Fourteen Songs Of Conscious Insanity,9.79445394478E-06,0.999990224838,2.97278184007E-05,0.00320566934533,0.000493467552587,4.73934269394E-05,0.000620910606813,7.8331295299E-06,0.995570838451,2.41491088673E-05,0.234328374267,0.044371731579300000,0.142653033137,0.0554368384182,0.523210048676,0.00485044158995,0.995149552822,0.012325910851400000,0.987674117088,0.969026088715,109.58386993400000,Not Found,8,14,16,18,19,1
Fear Konstruktor,Gotmoor,Pain Provider,0.00386022869498,0.996139764786,4.40454459749E-05,2.98874965665E-05,0.000598197570071,2.3608938136E-05,4.50433981314E-05,5.0772971008E-05,0.99916189909,4.651683048E-05,0.0542571768165,0.00864955224097,0.0106475157663,0.0106365792453,0.91580915451,0.00844321865588,0.991556763649,0.00769898016006,0.992301046848,0.963265955448,109.622108459,Not Found,8,14,16,18,19,1
Situation Degenerates,Earth Crisis,The Oath That Keeps Me Free,0.0361963026226,0.963803708553,0.00424671545625,0.013000603765200000,0.0200851149857,0.00214627804235,0.0510323010385,0.00203138776124,0.9041323661800000,0.00332521786913,0.134446322918,0.037662990391300000,0.0240547191352,0.0682367086411,0.735599279404,0.00504443887621,0.994955539703,0.0169345624745,0.98306542635,0.952248871326,109.665733337,spotify:track:6tNgepXvoNh31tclhO8e3Z,8,14,16,18,19,1
Five Women,Scott Holt,Dark of the Night,0.300644218922,0.6993557810780000,0.0132755748928,0.030013099312800000,0.115181162953,0.145878568292,0.283429652452,0.0937428995967,0.307033896446,0.0114451274276,0.135737404227,0.0904904305935,0.24601200223,0.07318487018350000,0.454575270414,0.360292315483,0.639707684517,0.143083229661,0.8569167852400000,0.8328993916510000,109.68344879200000,Not Found,8,14,16,18,19,1
Lay Down Your Arms,Hell Within,Shadows Of Vanity,0.354726940393,0.645273089409,1.68644219229E-05,0.000616679666564,0.000330522248987,3.89748129237E-05,0.00451242597774,6.79727090755E-05,0.994401812553,1.47433665916E-05,0.234301477671,0.109503544867,0.148977667093,0.0876313373446,0.419585973024,0.125557005405,0.874442994595,0.00316000776365,0.996840000153,0.977759599686,109.69542694100000,spotify:track:15XYjC0fToo6G6MxbunP14,8,14,16,18,19,1
Smeared With Bloodmixed Semen,Regurgitate,Carnivorous Erection,5.3776061837E-14,1.0,0.000497026543599,0.00337260775268,0.0147191016003,0.00050552864559,0.003531095571820000,0.000374612689484,0.976308345795,0.000691668770742,0.329503417015,0.0246954075992,0.04694898054,0.00843590497971,0.590416312218,0.00551094021648,0.994489073753,0.0168758984655,0.98312407732,0.984953522682,109.751022339,spotify:track:3pjObMoInmDBQ46sIgofOE,8,14,16,18,19,1
Ghost,Pyramids,Pyramids (Disc 1),0.00516417296603,0.994835853577,0.00207329564728,0.004544992465530000,0.00027010228950500000,0.000319047394441,0.0250697769225,0.000820724351797,0.966773629189,0.00012843303557,0.177562579513,0.0969653725624,0.194022834301,0.104743629694,0.426705569029,0.0198272597045,0.980172753334,0.005363581236450000,0.994636416435,0.960506677628,109.76196289100000,spotify:track:3D1sdY0CnK3V9Q9QkkTw5b,8,14,16,18,19,1
Mexicola,Queens of the Stone Age,Queens of the Stone Age,0.193762525916,0.806237459183,0.00028420682065200000,0.0316948182881,0.00250969338231,0.00548318447545,0.006587622687220000,0.00182698667049,0.95094192028,0.000671597081237,0.15550768375400000,0.06809078156950000,0.180670455098,0.0909381583333,0.504792928696,0.00213176198304,0.99786823988,0.201495632529,0.79850435257,0.967584967613,109.80332946800000,spotify:track:2drBr0cK7HRyhzHUciritT,8,14,16,18,19,1
Colonies,The Foreshadowing,Second World,0.221436262131,0.778563737869,0.0405669398606,0.0627128258348,0.047734439373,0.0348047241569,0.28204447031,0.22717691958,0.288310706615,0.0166489798576,0.103395223618,0.110899955034,0.308077275753,0.0736851841211,0.403942346573,0.0566457882524,0.943354189396,0.124419368804,0.875580608845,0.7497063875200000,109.818023682,spotify:track:3C03yaGD8YpNnOQbwY5ySz,8,14,16,18,19,1
Gettin It On,Lucy Woodward,Dumb Girls,0.0429156497121,0.957084357738,0.000871265016031,0.054566685110300000,0.00378181017004,0.0013117821654300000,0.360118359327,0.00781862437725,0.570906043053,0.0006254707113840000,0.33735379576700000,0.0977917015553,0.0558596216142,0.10282150656,0.406173378229,0.0264744255692,0.973525583744,0.0369851104915,0.963014900684,0.9646214842800000,109.81832122800000,spotify:track:4qb5oavAEKsd6UPbN1O9q2,8,14,16,18,19,1
Ashes to Ashes,Kamelot,Silverthorn,0.21145310998,0.7885468602180000,0.000190650054719,0.015261722728600000,0.00137948989868,0.000617642537691,0.054714024066900000,0.00237810076214,0.925227940083,0.000230408739299,0.103442318738,0.042419988662,0.0228594187647,0.0532983914018,0.777979910374,0.0427959263325,0.95720410347,0.104098923504,0.895901083946,0.951656877995,109.820030212,spotify:track:4VMDoZPlhrIySvmwKP4zMm,8,14,16,18,19,1
See You on the Outside,blessthefall,Hollow Bodies,0.0147605193779,0.985239505768,0.000240001550992,0.00447412207723,0.0032471998129000000,0.000504612340592,0.0405511297286,0.000662545615342,0.950105905533,0.000214490268263,0.17590829730000000,0.0685463473201,0.16974551975700000,0.0917454883456,0.494054347277,0.005086441989990000,0.994913578033,0.428031653166,0.571968376637,0.96487814188,109.82041931200000,spotify:track:7nW3ctnBOW3TOEXUjIWoFM,8,14,16,18,19,1
Bastard-O,Omnium Gatherum,Stuck Here on Snakes Way,0.415908396244,0.584091603756,0.00105216773227,0.100924871862,0.0203109700233,0.000877319427673,0.0920078903437,0.000996066606604,0.783410847187,0.000419846008299,0.169072806835,0.0582925230265,0.0230477750301,0.0449190102518,0.70466786623,0.0185845196247,0.981415510178,0.419710576534,0.580289423466,0.935493648052,109.823303223,spotify:track:6JBpKMB7oFjKELJjPb4Jxl,8,14,16,18,19,1
