title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
First Evil,Grinderman,Grinderman 2: RMX,0.580184817314,0.419815182686,0.004269950091840000,0.00216392241418,0.0008938803803180000,0.00325301522389,0.00417031953111,0.00227583223023,0.982665538788,0.000307518610498,0.15675011277200000,0.0804383680224,0.08389639854430000,0.0909851789474,0.587929964066,0.00137804634869,0.998621940613,0.00242970697582,0.99757027626,0.972706019878,70.3654098511,spotify:track:3dMs9VFDiZiRiAYNLJ6Uyp,8,14,16,18,20,0
Universal Overdrive,Seedy Jeezus,Seedy Jeezus,0.97671353817,0.0232864376158,0.00289100036025,0.08110690116880000,0.100668586791,0.00514042610303,0.22870837152,0.021685937419500000,0.556438326836,0.0033604754135,0.229756206274,0.0864080786705,0.06692798435690000,0.0276661235839,0.589241623878,0.0976987555623,0.902301251888,0.389951884747,0.6100481152530000,0.978298842907,76.4853057861,spotify:track:0AIXgVSOvpbH40KtLu7IxB,8,14,16,18,20,0
Ilusión Hecha Mentira,Dulce Liquido,Disolución,0.912248253822,0.08775176852940000,0.00341168278828,0.27472537756,0.0956311225891,0.00886937137693,0.0609525032341,0.0268601309508,0.525213360786,0.00433645583689,0.116548150778,0.0666490867734,0.0647409930825,0.0273131933063,0.724748551846,0.00134471885394,0.998655259609,0.159724697471,0.840275287628,0.977326631546,77.5129699707,spotify:track:2E2dKEhFA2R6qHv9FRRyf6,8,14,16,18,20,0
The Only Way,Misery Loves Co.,Misery Loves Co.,0.653639793396,0.346360206604,0.0017541681882000000,0.012823625467700000,0.0391480028629,0.00161382101942,0.0348229222,0.00219954410568,0.906453371048,0.00118453952018,0.1142610237,0.00506292795762,0.00538697978482,0.00432927487418,0.870959818363,0.107789672911,0.892210304737,0.0132595235482,0.986740469933,0.963980317116,77.66165924070000,spotify:track:6zHCo9t6LrLqf4PeXrXbbn,8,14,16,18,20,0
Grip It Tighter,Itchy Poopzkid,Six,0.66225707531,0.3377429246900000,0.000543851230759,0.0169174280018,0.0233668293804,0.00313586508855,0.0229658652097,0.00437963800505,0.928126096725,0.0005644260090780000,0.347999304533,0.08659115433690000,0.0987987294793,0.044632695615300000,0.421978116035,0.214375719428,0.7856242656710000,0.000375784060452,0.999624192715,0.965415894985,77.7352676392,spotify:track:0NHAMv8MJlg36DDs2Qcxfb,8,14,16,18,20,0
Enemy Within,Magyar Posse,We Will Carry You Over the Mountains,0.6546677947040000,0.345332205296,0.00480844872072,0.0404650755227,0.006601123139260000,0.00349209806882,0.136701360345,0.00428713439032,0.800080358982,0.00356443459168,0.133499547839,0.051538009196500000,0.0728970468044,0.078971080482,0.6630943417550000,0.0299882143736,0.970011770725,0.0281965825707,0.971803426743,0.972761332989,77.77588653560000,Not Found,8,14,16,18,20,0
Wrath And Regret,Benediction,Killing Music,0.997375488281,0.00262450939044,0.0105300862342,0.246759459376,0.173040360212,0.0133040817454,0.204822897911,0.0178588870913,0.321988940239,0.0116952750832,0.08880493044850000,0.0139537006617,0.0135127399117,0.023938588798000000,0.859790027142,0.00598854850978,0.994011461735,0.00304345227778,0.996956527233,0.973928153515,79.6863708496,spotify:track:24abM13whfwkx6g7cZgBFa,8,14,16,18,20,0
Anti-Life Equation (instrumental),Adversary,Winters Harvest,0.7618790864940000,0.238120928407,0.00289635406807,0.0124610355124,0.0206810664386,0.0077404500916600000,0.0664371103048,0.022222658619300000,0.865839719772,0.00172161927912,0.177020683885,0.17196230590300000,0.118189230561,0.135692730546,0.397135049105,0.017946369946,0.982053637505,0.0409402027726,0.959059774876,0.626523792744,79.8142166138,Not Found,8,14,16,18,20,0
09-secrets,Bonham,Mad Hatter,0.573336660862,0.426663309336,0.0035338310990500000,0.04754330590370000,0.0878204256296,0.00304174702615,0.19529941678,0.008845615200700000,0.650913715363,0.00300194579177,0.0418824963272,0.022000325843700000,0.0413614399731,0.0103935133666,0.884362220764,0.0259101632982,0.974089860916,0.258873552084,0.7411264181140000,0.924356162548,79.9539871216,Not Found,8,14,16,18,20,0
Your Darkest Day,Obituary,Darkest Day,0.939301788807,0.0606982111931,0.005401341710240000,0.129576012492,0.10200227797,0.0122554674745,0.0594063848257,0.0305953100324,0.6380583643910000,0.0227048173547,0.189598053694,0.08019400388000000,0.200652301311,0.0481130667031,0.481442570686,0.00434895278886,0.995651066303,0.0185456704348,0.981454312801,0.905484616756,79.96719360350000,spotify:track:29JkmIEHcUg0R4BQ8o4PmJ,8,14,16,18,20,0
Party of 2,Guttermouth,Eat Your Face,0.7800772786140000,0.219922721386,0.00927562732249,0.00394662609324,0.0302187036723,0.00217105261981,0.0385116748512,0.00305938883685,0.911801755428,0.00101520004682,0.0454341322184,0.0149374539033,0.00477358046919,0.0153128486127,0.919541954994,0.404818356037,0.595181643963,0.00111986207776,0.998880147934,0.93051815033,80.0001144409,spotify:track:1UWZwd0amSz7c79mseOxrS,8,14,16,18,20,0
Die traurige Wahrheit über Werwölfe,Transilvanian Beat Club,Das Leben soll doch schön sein...,0.983413338661,0.0165866557509,8.41158325784E-05,0.0015508336946400000,0.000454651657492,0.000329546979629,0.0181350391358,0.000151727435878,0.979071378708,0.000222704926273,0.161071628332,0.05163547024130000,0.028390759602200000,0.0643012747169,0.694600880146,0.0240288861096,0.975971102715,0.251439154148,0.748560845852,0.959364295006,80.0199432373,spotify:track:5HOUgPplfsTYmGKbsA86iM,8,14,16,18,20,0
I Believe in You,Bush,The Sea of Memories,0.714082121849,0.285917848349,0.00630501098931,0.106720142066,0.141249924898,0.0133335730061,0.229994609952,0.0537093766034,0.442028403282,0.00665896665305,0.137819081545,0.125719591975,0.06710438430310000,0.0941034927964,0.575253486633,0.251171439886,0.748828530312,0.0793379172683,0.920662105083,0.974201917648,80.0500793457,spotify:track:5LFYdTPvhqNQQCdj5OblYu,8,14,16,18,20,0
Shoes,Kings X,Dogman,0.989384353161,0.0106156561524,0.00387989310548,0.145394474268,0.0642196536064,0.00887208431959,0.120632439852,0.026620849967,0.6252032518390000,0.00517734140158,0.0757541880012,0.0278526693583,0.0339026711881,0.0472653619945,0.8152251243590000,0.000434957939433,0.999565064907,0.00628127297387,0.993718743324,0.918243229389,80.3203430176,spotify:track:1YMRTLjJC5gK4ZfULfm17T,8,14,16,18,20,0
Curse of Humaniti,The Lord Weird Slough Feg,Traveller,0.992205440998,0.00779457902536,0.00829700566828,0.189931884408,0.181240335107,0.0111354030669,0.194897532463,0.0179344266653,0.387723743916,0.008839673362670000,0.250993728638,0.0548646487296,0.0170545764267,0.0400965362787,0.6369904875760000,0.0183750353754,0.981624960899,0.00447787623852,0.995522141457,0.970802783966,80.52293396,spotify:track:4d8KCPspl7SvYccNz938Na,8,14,16,18,20,0
The Raleigh,The National Acrobat,Cant Stop Casper Adams,0.624669730663,0.375330239534,0.013519955799,0.0064675072208,0.0317261591554,0.005262317601590000,0.0294722039253,0.00254560727626,0.906103610992,0.00490263942629,0.187809333205,0.0113870278001,0.0118648242205,0.0101314531639,0.778807342052,0.00624522008002,0.993754804134,0.0789743438363,0.921025633812,0.965838551521,81.3194351196,spotify:track:7s4rOp609VilhpRFJiDEsL,8,14,16,18,20,0
Despair-Ridden Hearts,Sentenced,Buried Alive (disc 1),0.568866729736,0.431133240461,0.032894961535900000,0.0246392786503,0.252065867186,0.109453558922,0.134373292327,0.128488495946,0.311377584934,0.00670697540045,0.150685340166,0.106226012111,0.044804882258200000,0.0664707943797,0.631812989712,0.115887783468,0.884112238884,0.0188506878912,0.981149315834,0.688566446304,81.83293151860000,spotify:track:1W7OV3qVZzEQMU5JlkVRYN,8,14,16,18,20,0
Chiiyo Fucked Off Her Face,goreshit,Otakutone Mega High Speed Remix Party Album,0.999999880791,1.00000008274E-07,3.25581531797E-05,0.318462669849,0.00404052715749,4.74676344311E-05,0.00230196071789,0.000279694912024,0.6748218536380000,1.32775558086E-05,0.07054170221090000,0.0209203995764,0.08459644764660000,0.0111802946776,0.812761127949,0.250866085291,0.7491338849070000,0.488194435835,0.511805593967,0.959907472134,82.21459198,Not Found,8,14,16,18,20,0
Bring Me Darkness,Black Tusk,Set the Dial,0.96390324831,0.0360967479646,0.000140795178595,0.0289589297026,0.00204012962058,0.000456307636341,0.0117058353499,0.00037698503001600000,0.956079483032,0.000241538189584,0.257993727922,0.0399724543095,0.07868937402960000,0.029917901381900000,0.593426525593,0.10435105860200000,0.895648956299,0.00989983603358,0.99010014534,0.970281839371,82.3878097534,spotify:track:2ZZRn55mBiiBi72ipDv6rA,8,14,16,18,20,0
Rebelião,Skank,Maquinarama,0.742989242077,0.257010787725,0.0260428078473,0.00918523408473,0.0134217971936,0.0210550241172,0.0579650215805,0.0184737239033,0.844485104084,0.00937131606042,0.101395338774,0.145395204425,0.100181370974,0.25950115919100000,0.393526911736,0.367361754179,0.632638275623,0.490194261074,0.509805738926,0.871177375317,82.6400222778,Not Found,8,14,16,18,20,0
Kick the Can,Moss Icon,Lyburnum,0.896646976471,0.103353023529,0.017157876864100000,0.0112522514537,0.0850888043642,0.0199259128422,0.0587258376181,0.0281386747956,0.775022506714,0.00468814838678,0.23729686439,0.226537615061,0.0504100732505,0.0773886814713,0.408366769552,0.288405388594,0.711594581604,0.17928318679300000,0.820716798306,0.867060363293,82.7651596069,spotify:track:5HGI6ZjnpsinTc8FKsRdSX,8,14,16,18,20,0
Fuuuuuckkkkk!!!,goreshit,Otakutone Mega High Speed Remix Party Album,0.999999880791,1.00000008274E-07,0.00010125995322600000,0.0195023175329,0.00756137585267,3.45559456036E-05,0.00162603356875,5.7600071159E-05,0.971091151237,2.57061419688E-05,0.07720680534840000,0.0443992614746,0.227701812983,0.0306240748614,0.620068073273,0.177540615201,0.8224593997,0.00030122086172900000,0.999698758125,0.980250120163,82.973777771,Not Found,8,14,16,18,20,0
Kristen resning,Missbrukarna,Zooma in en zombie,0.901223123074,0.0987768992782,0.00109816202894,0.00376876350492,0.023913312703400000,0.000729749212041,0.0070485486649,0.000247781717917,0.962363541126,0.0008301200577990000,0.0205962304026,0.00427273102105,0.000934504379984,0.00107665825635,0.973119854927,0.009634665213530000,0.990365326405,0.00116644368973,0.998833537102,0.960310459137,83.2975234985,spotify:track:6S3oHuiHcs1EPkDzhzDFXF,8,14,16,18,20,0
Szara masa,Dezerter,Deuter,0.690752208233,0.309247761965,0.00033431031624800000,0.0123346727341,0.0292145255953,0.0012528401566700000,0.0123037807643,0.0067426241003,0.937560856342,0.00025640116655300000,0.0761932432652,0.0215804241598,0.0112210381776,0.0445610173047,0.846444249153,0.00956346467137,0.990436553955,0.00129913864657,0.998700857162,0.8968397974970000,83.8276519775,Not Found,8,14,16,18,20,0
