title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Circles and Squares,We Were Promised Jetpacks,In the Pit of the Stomach,0.400188803673,0.5998111963270000,0.00014011311577600000,0.00106128351763,0.00110415834934,0.000254134705756,0.00104454590473,0.0016145537374500000,0.994701206684,7.99820190878E-05,0.108231075108,0.0438017472625,0.0510168895125,0.032561365515,0.7643889188770000,0.241640195251,0.758359789848,0.0137539226562,0.986246049404,0.949797809124,65.16292572020000,spotify:track:5frk5ma1kJV1qsxRntqsRo,8,14,16,18,20,1
step across the border,Mau Maus,Punk Singles Collection,0.0264876708388,0.973512351513,0.0010868330718900000,0.0274496898055,0.0588673949242,0.0022124550305300000,0.210054770112,0.00325812608935,0.6966381073000000,0.000432630389696,0.10929851234,0.0508639141917,0.0924281105399,0.0312258079648,0.7161836624150000,0.0705646649003,0.929435312748,0.00025285978335900000,0.999747157097,0.934436440468,66.09092712400000,Not Found,8,14,16,18,20,1
Spodnie z GS-u,Farben Lehre,Farben Lehre,0.180548027158,0.819451987743,0.000261798209976,0.0116227911785,0.0041892235167300000,0.000994954374619,0.049318220466400000,0.00307042128406,0.930299937725,0.000242678244831,0.320999354124,0.0605873763561,0.0203422904015,0.0640266537666,0.534044325352,0.059794910252100000,0.940205097198,3.70353263861E-05,0.999962985516,0.965512573719,73.0133743286,spotify:track:062pHiX7lpKRDmFvmJor3o,8,14,16,18,20,1
Город детства,Гражданская Оборона,Звездопад,0.0433183051646,0.956681668758,0.0131189702079,0.119292110205,0.042549662292,0.0130555257201,0.120351083577,0.0339603312314,0.639651656151,0.0180206689984,0.151308685541,0.124132104218,0.123544238508,0.103345327079,0.497669637203,0.0271570198238,0.972842991352,0.0163647979498,0.983635187149,0.938783407211,73.0154571533,spotify:track:4DSHhow3pchJQyhHe3bir6,8,14,16,18,20,1
Deny Tomorrow,Wolfbrigade,Comalive,3.00000096379E-14,1.0,0.000190056976862,0.000405049708206,0.000963706639595,0.00013672988279700000,0.005530626978730000,5.56498707738E-05,0.992599487305,0.00011871133756400000,0.07915267348290000,0.00153626105748,0.00254618539475,0.00187501485925,0.914889872074,0.0257522054017,0.974247813225,0.012482766062,0.987517237663,0.974768280983,73.975112915,spotify:track:0SdvlY0k2CUCCF5bVy28XY,8,14,16,18,20,1
Zapasy z wielorybem,Farben Lehre,Atomowe zabawki,0.305011600256,0.694988429546,0.00273207738064,0.0268262512982,0.034746542573,0.00658172136173,0.34365683794,0.0425807796419,0.540796101093,0.00207969499752,0.196850404143,0.19810205698,0.0446016788483,0.13976880908,0.420677065849,0.108509413898,0.891490578651,0.0360952802002,0.963904738426,0.926975131035,74.25731658940000,spotify:track:2arkNCzllAiwczHSCa30N4,8,14,16,18,20,1
Web of Lies,Wolfbrigade,Comalive,3.00000096379E-14,1.0,0.000245505536441,0.000260666711256,0.000466167286504,0.000165570745594,0.000670454988722,8.90748415259E-05,0.997967243195,0.000135326568852,0.328954488039,0.00723205786198,0.00695841945708,0.0030991733074200000,0.653755843639,0.137488976121,0.8625110387800000,0.0269464105368,0.973053574562,0.943019330502,74.5378417969,spotify:track:4F3lpefeTR8yxIXuy6wXQg,8,14,16,18,20,1
Bloody Blue,Therapy?,So Much for the Ten Year Plan: A Retrospective 1990-2000,0.0156911779195,0.984308838844,0.00171952834353,0.00441366573796,0.0153196444735,0.0007680068374610000,0.00458068214357,0.00562386680394,0.967271149158,0.000303462467855,0.206875100732,0.0124787949026,0.00710748881102,0.00994929857552,0.763589322567,0.0585823319852,0.941417694092,0.168476507068,0.831523478031,0.931077361107,75.6686096191,Not Found,8,14,16,18,20,1
Lets Kill,Union of Sleep,Union of Sleep,0.0252521615475,0.97474783659,0.00036649859976,0.009409105405210000,0.00113958481234,0.000207491830224,0.0123895211145,0.000283010682324,0.975833714008,0.000371092173737,0.08209165930750000,0.0156370457262,0.026548206806200000,0.048546183854300000,0.82717692852,0.00465632556006,0.99534368515,0.000107664105599,0.999892354012,0.960348010063,77.09102630620000,Not Found,8,14,16,18,20,1
King of your Dreams,At Vance,Heart Of Steel,4.95787167831E-13,1.0,0.000330578506691,0.00141896947753,0.000148597493535,9.13302937988E-05,0.00271530915052,8.62433662405E-05,0.995139837265,6.91141103744E-05,0.0976380258799,0.0212330669165,0.0972791537642,0.0460886508226,0.737761080265,0.0386694669724,0.961330533028,0.07086081057790000,0.929139196873,0.936253190041,77.4991149902,spotify:track:1O3pfQmoIRc8YLfxwFMu6U,8,14,16,18,20,1
