title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Cold Feeling,Underground Lovers,Wonderful Things: Retrospective,0.295477718115,0.704522311687,0.00945824943483,0.228724345565,0.016788944602000000,0.0171684529632,0.12125963717700000,0.06986687332390000,0.5252485871320000,0.0114849293604,0.08989861607550000,0.0536327660084,0.452878981829,0.0808635577559,0.322726070881,0.868330657482,0.131669342518,0.8587062358860000,0.141293779016,0.936648368835,109.961616516,spotify:track:1Ee0FLgkucQWVwS1EYBfjw,8,12,15,17,19,1
Magic Bus,Il cielo di Bagdad,Export for Malinconique,0.261583924294,0.738416075706,0.0617799423635,0.0179666988552,0.00601409981027,0.043059807270800000,0.0570319071412,0.021810866892300000,0.7826338410380000,0.00970285944641,0.128739565611,0.126374334097,0.467838674784,0.212795779109,0.0642516463995,0.854990661144,0.145009353757,0.984061002731,0.015939000994,0.800252795219,110.002502441,Not Found,8,12,15,17,19,1
Girlfriend,Donovan Blanc,Donovan Blanc,0.0773587599397,0.922641217709,0.11933606118,0.0690648853779,0.021074570715400000,0.0686723738909,0.261220306158,0.157217442989,0.283027350903,0.0203870050609,0.137804552913,0.18154938519,0.297610163689,0.265433073044,0.117602825165,0.973936378956,0.026063647121200000,0.8782577514650000,0.121742248535,0.840955138206,110.014984131,spotify:track:6dP7wrhtmPjGofYv8AiLtq,8,12,15,17,19,1
Night Shift,Jay Ferguson,Thunder Island,0.320909947157,0.6790900230410000,0.0899430587888,0.0220889803022,0.0516013875604,0.162413582206,0.0578929930925,0.273954033852,0.320553779602,0.0215521901846,0.132516652346,0.239540785551,0.261773794889,0.131264418364,0.234904363751,0.942438006401,0.0575619898736,0.571700930595,0.428299099207,0.865512728691,110.126457214,Not Found,8,12,15,17,19,1
Texas Was You,Jason Aldean,My Kinda Party,0.381220012903,0.6187800168990000,0.0218730214983,0.0145319830626,0.00837957952172,0.0663511529565,0.216509759426,0.037880338728400000,0.629297912121,0.00517627922818,0.135748490691,0.214478075504,0.364843815565,0.111263953149,0.173665642738,0.930271208286,0.06972877681260000,0.6987344026570000,0.301265567541,0.8584073781970000,110.144813538,spotify:track:3XmGUn730lnJnYMUAMhlHk,8,12,15,17,19,1
Ghetto Funk,Ike Turners Kings of Rhythm,A Black Mans Soul,0.149335414171,0.8506646156310000,0.10377124697,0.024878276512000000,0.0220812056214,0.240130439401,0.0657347068191,0.250173211098,0.265227228403,0.0280036889017,0.120619744062,0.141372039914,0.613191902637,0.0963700115681,0.0284463241696,0.871556997299,0.1284429878,0.983736157417,0.016263820231000000,0.938811957836,110.17304992700000,spotify:track:3rUPbKZIqMmGd6AMsA6Ri5,8,12,15,17,19,1
Worn Out Shoe,The Reverend Peytons Big Damn Band,The Whole Fam Damnily,0.215404465795,0.7845955491070000,0.0748559385538,0.012365587987,0.0116023318842,0.0611426383257,0.248592659831,0.212224245071,0.35610854625700000,0.0231080465019,0.0707100778818,0.148297354579,0.4768024683,0.161638960242,0.142551124096,0.907188594341,0.0928114205599,0.581791639328,0.418208360672,0.919983804226,112.156234741,spotify:track:2XRqmo3ezGAFU6iUzZwaO9,8,12,15,17,19,1
Vulcano,Henri Guédon,Cosmozouk Percussion,0.160785928369,0.839214086533,0.038598757237200000,0.0123803503811,0.0053531867452,0.045951936394,0.0515386275947,0.022757191211,0.819688022137,0.00373191083781,0.0965755581856,0.102287858725,0.33454024791700000,0.172901213169,0.293695122004,0.970612883568,0.0293871220201,0.602632880211,0.397367119789,0.906841218472,114.410415649,spotify:track:3r6wgoRoBtC1Wytb3g71f9,8,12,15,17,19,1
Baroque Sky,Neil Zaza,212,0.0474347807467,0.952565193176,0.0442039892077,0.00262693059631,0.0016373547259700000,0.005643526092170000,0.0152866151184,0.00707520218566,0.922414600849,0.0011118078837200000,0.126681402326,0.115408569574,0.338536977768,0.253376305103,0.165996730328,0.982069015503,0.017930984497100000,0.689191579819,0.310808390379,0.8754833340640000,115.95753479,spotify:track:0qVYS6FlszttbTBmfWORCx,8,12,15,17,19,1
Golden Sun,Brown Recluse,Evening Tapestry,0.137141913176,0.862858116627,0.0208270121366,0.0115539012477,0.00354442931712,0.008920688182120000,0.285677194595,0.0432721860707,0.624075949192,0.00212866207585,0.08861111104490000,0.259208112955,0.436698973179,0.161885380745,0.0535964220762,0.958593845367,0.0414061583579,0.548268258572,0.451731711626,0.94665646553,116.559913635,spotify:track:2b3EGEUDnKr5ONqclv1rPI,8,12,15,17,19,1
