title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
My soft return,Melody Club,Music Machine,0.7210478782650000,0.27895215153700000,0.016283843666300000,0.0228357724845,0.005510341841730000,0.026892228052,0.4166053831580000,0.0399686917663,0.470790416002,0.00111331779044,0.0776709839702,0.139753431082,0.44330227375,0.312574237585,0.02669907175,1.0,1.23856994105E-10,0.368516176939,0.631483852863,0.945579588413,109.027328491,spotify:track:2zdbWcDUSQ2kroZYGalWzv,8,12,15,18,19,0
Haunting Memories,Nightmare,The Dominion Gate,0.6548969149590000,0.34510311484300000,0.0162998922169,0.0108831459656,0.011630916968,0.040516812354300000,0.132721140981,0.0225004274398,0.763148367405,0.00229927385226,0.092806853354,0.109002076089,0.36555030942,0.229445412755,0.203195333481,0.710499227047,0.289500743151,0.209151625633,0.7908483743670000,0.935878574848,109.91881561300000,Not Found,8,12,15,18,19,0
Even The Score,Blank Realm,Grassed Inn,0.996557235718,0.00344276824035,0.01039708592,0.0171007122844,0.00133681541774,0.00387729448266,0.107880420983,0.00486081745476,0.849591374397,0.00495546776801,0.102749489248,0.126446053386,0.372380048037,0.191437214613,0.206987187266,0.990419924259,0.00958005897701,0.0239448677748,0.976055145264,0.984513521194,109.951507568,spotify:track:2qSqhUzWNVyYCFdSX0G2qn,8,12,15,18,19,0
Lean on Me,Vengeance,Soul Collector,0.943030953407,0.0569690577686,0.00125413550995,0.00987092126161,0.00178773666266,0.00384232820943,0.209865599871,0.0271805822849,0.745890438557,0.000308249611408,0.120913468301,0.135960146785,0.37427726388,0.241257756948,0.127591371536,0.8720114231110000,0.12798859179000000,0.0342057235539,0.96579426527,0.934798002243,110.01774597200000,Not Found,8,12,15,18,19,0
The Reason Why,Byrds,Preflyte,0.639263927937,0.360736101866,0.0164639800787,0.0308834407479,0.051646754145600000,0.017284994944900000,0.226157277822,0.16160723567,0.487010508776,0.0089458078146,0.159897983074,0.229328051209,0.253401130438,0.195599719882,0.161773115396,0.834765851498,0.165234163404,0.0104577708989,0.989542245865,0.951237261295,111.359794617,spotify:track:1lCtEm4mwvhInAslORT47r,8,12,15,18,19,0
You Cant Dodge a Bullet (When Its Got Your Name),7Day Conspiracy,From Army Boots to Business Suits,0.999046981335,0.000952996429987,0.00187685934361,0.044707190245400000,0.0197081994265,0.00474527897313,0.16643345356,0.069577626884,0.690994679928,0.0019567089621,0.33794605732,0.117741264403,0.410105407238,0.106646873057,0.027560414746400000,0.977004885674,0.0229951087385,0.00324403424747,0.996755957603,0.96035939455,111.730133057,Not Found,8,12,15,18,19,0
And Then Some,Arkells,Morning Report,0.980652570724,0.0193474125117,0.00271023600362,0.102004140615,0.0400541909039,0.0028579228092,0.17347425222400000,0.10555562377,0.571295201778,0.0020484062843,0.165461361408,0.241791829467,0.25062754750300000,0.176638782024,0.165480494499,0.954389750957,0.0456102378666,0.00485166953877,0.995148301125,0.908393263817,111.936096191,spotify:track:3rRqQvhK3JAqg6Ct5hu27s,8,12,15,18,19,0
Funeral Beds,The Districts,The Districts,0.6102027297020000,0.389797270298,0.0426432266831,0.0203884933144,0.0207541678101,0.0844840779901,0.336586505175,0.137688428164,0.349432468414,0.00802261196077,0.07243225723510000,0.114489175379,0.48134803772,0.202652648091,0.129077866673,0.979183375835,0.0208166204393,0.251634985209,0.748365044594,0.787115454674,112.22505188,spotify:track:2I3D1f3jdWVojq4RK2Eqa3,8,12,15,18,19,0
Duplex Planet,Deerhunter,Fading Frontier,0.626116633415,0.373883366585,0.009631589986380000,0.0489599965513,0.00522432802245,0.00799341127276,0.128641307354,0.0332324355841,0.7642298340800000,0.00208711111918,0.12011051923,0.189518749714,0.5128864645960000,0.112639218569,0.06484504044060000,0.932863116264,0.0671369060874,0.382183104753,0.617816925049,0.936967372894,112.532157898,spotify:track:3SLPYjHQ6nuHEDe5Zt8byX,8,12,15,18,19,0
All the Same,Deerhunter,Fading Frontier,0.8143311142920000,0.185668885708,0.0176447294652,0.0181590467691,0.00985430274159,0.016008898615800000,0.21202494204,0.0456717759371,0.675263702869,0.0053725852631,0.129239663482,0.323157995939,0.40263453126,0.0958597511053,0.0491080805659,0.902256846428,0.0977431312203,0.031353328377,0.968646645546,0.946449995041,113.228172302,spotify:track:7ulGjpWKbda4c7SUgQUMbo,8,12,15,18,19,0
Last Days Of Summer,Silverstein,When Broken Is Easily Fixed,0.997583270073,0.0024167294614,0.00118126301095,0.012855117209300000,0.00362191535532,0.00469219777733,0.0389802455902,0.0153925614432,0.922764897346,0.000511776423082,0.118436783552,0.125023216009,0.442599117756,0.192005112767,0.121935762465,0.573018670082,0.42698135972,0.27719965577100000,0.722800374031,0.959109246731,113.40640258800000,spotify:track:17vAPwkecsLVdXYeQaQgcv,8,12,15,18,19,0
Misery,Soul Asylum,Let Your Dim Light Shine,0.878489732742,0.121510244906,0.00173218862619,0.00398770859465,0.00382799468935,0.00843979418278,0.0348300524056,0.00857553910464,0.937867879868,0.000738821399864,0.143378376961,0.13729673624000000,0.331333786249,0.196848645806,0.191142454743,0.988465130329,0.0115348426625,0.245291903615,0.754708111286,0.924281656742,114.409339905,spotify:track:1uGht4m9AVY641N2DzoPpi,8,12,15,18,19,0
