title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Diamond City,Psychic Ills,"Early violence (2006, Social Registry)",2.04960858398E-13,1.0,0.361407279968,0.006457254756240000,0.00478873122483,0.00440395437181,0.0306561011821,0.0339056365192,0.556301534176,0.0020795208402,0.139585539699,0.0538587123156,0.545742750168,0.110814005136,0.149998992682,0.7612242102620000,0.238775804639,0.37264674902,0.62735325098,0.965267300606,73.79526519780000,spotify:track:4mTbpDz5BPDdr3RPuUmyC7,8,12,15,18,20,1
Something That Im Not,Just Surrender,Were in Like Sin,0.0773996412754,0.922600388527,0.020985143259200000,0.005558412056420000,0.00335136218928,0.0136020351201,0.181424900889,0.0426607690752,0.73122304678,0.00119434751105,0.196317195892,0.155972599983,0.282266020775,0.247616067529,0.11782810837000000,0.947317779064,0.0526822209358,0.0576284453273,0.942371547222,0.7828825712200000,79.8118209839,spotify:track:79DK5RqlEUOsJy1bZhbqyC,8,12,15,18,20,1
Good Man - Another Life,Third Eye Blind,Out of the Vein,0.8682082295420000,0.131791740656,0.00484623294324,0.042977739125500000,0.0194635223597,0.006286420393740000,0.165375158191,0.0769029483199,0.679053664207,0.00509430328384,0.173884943128,0.188581377268,0.478789895773,0.0766355097294,0.0821082741022,0.66558521986,0.33441478014000000,0.396011084318,0.60398888588,0.943596303463,80.8288345337,Not Found,8,12,15,18,20,0
A Real Cool Time,The Bates,Pleasure + Pain,0.145388305187,0.8546116948130000,0.00258251209743,0.0716515481472,0.0100982710719,0.003345820354300000,0.21611212194,0.0631126239896,0.630957841873,0.00213927682489,0.15127210319,0.11085563153000000,0.523570358753,0.132177084684,0.08212479949,0.952911019325,0.0470889769495,0.025369644165,0.974630355835,0.8364561200140000,83.0342178345,Not Found,8,12,15,18,20,1
Cool Stuff,The Fauns,The Fauns,2.95788225912E-07,0.999999701977,0.253942161798,0.0246898811311,0.00414490979165,0.014768618159,0.0289587769657,0.00907612685114,0.662039756775,0.00237979134545,0.238761097193,0.112552292645,0.428155899048,0.115127854049,0.105402857065,0.530448794365,0.469551205635,0.104295812547,0.895704209805,0.890327811241,83.324836731,spotify:track:2xsQqSK52az9YSUmsNW4yO,8,12,15,18,20,1
LOpportuniste,Jacques Dutronc,Dutronc Au Casino,0.532349288464,0.467650711536,0.07986128330230000,0.0699332430959,0.040283426642400000,0.0423604026437,0.144766792655,0.148362308741,0.447588056326,0.0268444884568,0.134535074234,0.221613779664,0.283337891102,0.273917198181,0.08659604191780000,0.61710357666,0.382896453142,0.0429100207984,0.957089960575,0.714951515198,83.5142364502,spotify:track:1ltGvFacn7TLMERpzoR5J1,8,12,15,18,20,0
Old Photographs,Mark Eitzel,Live Or Die,0.7321426868440000,0.267857342958,0.0102873807773,0.0287183169276,0.0545300133526,0.0355018563569,0.249964296818,0.27420592308,0.340888351202,0.00590386008844,0.110566586256,0.133014753461,0.514384746552,0.156846895814,0.08518700301650000,0.753462791443,0.246537223458,0.0068148849532,0.99318510294,0.936406672001,83.85438537600000,spotify:track:7x63FCRPBtbBzLXAG2DwGu,8,12,15,18,20,0
Mr. Superlove,The Afghan Whigs,What Jail Is Like,0.189241319895,0.8107586503030000,0.0889418497682,0.0139804864302,0.015637543052400000,0.0285751409829,0.196925953031,0.0571030154824,0.5928505659100000,0.0059854453429600000,0.101721815765,0.14925916492900000,0.381949931383,0.222051024437,0.145018070936,0.938169121742,0.0618308857083,0.054172251373500000,0.945827722549,0.821455776691,84.5456085205,spotify:track:1fyMjrzmPpaxEsxV45Dk6J,8,12,15,18,20,1
August 17th,The Spook School,Try To Be Hopeful,0.13343565166,0.866564333439,0.05932773649690000,0.0309142116457,0.0188519954681,0.0052278926596,0.0138085233048,0.117870666087,0.745229840279,0.00876914057881,0.17305690050100000,0.149032443762,0.4403291940690000,0.0350907966495,0.202490642667,0.8020731210710000,0.197926864028,0.107462771237,0.8925372362140000,0.741559386253,85.1255187988,spotify:track:7q8ET4blAmShNEyQQzAjuq,8,12,15,18,20,1
My One Desire,Stray Cats,Runaway Boys: A Retrospective 81-92,0.17145942151500000,0.828540563583,0.043276254087700000,0.0408826693892,0.035964358598000000,0.032858159393100000,0.273734897375,0.261613279581,0.29466676712000000,0.017003618180800000,0.215455293655,0.302198439837,0.315171957016,0.105909526348,0.0612647645175,0.947405219078,0.0525947995484,0.0515316165984,0.948468387127,0.969370365143,85.29550170900000,spotify:track:4iDoBRFQMu6CmIUlzH7Vtq,8,12,15,18,20,1
