title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Comin Home to My Baby,Cindy Bradley,Bliss,0.901224911213,0.0987751036882,0.0234150327742,0.0434969142079,0.0589543804526,0.049189038574700000,0.30829408764800000,0.134948208928,0.372377038002,0.00932529568672,0.12488052994,0.421061486006,0.133858278394,0.24228464067,0.0779150724411,0.987941265106,0.0120587171987,0.75222659111,0.247773423791,0.8961306214330000,86.0509719849,spotify:track:0rbBQ8WiiqRzLAKnGjU9WH,8,11,15,17,20,0
Stay With Me,Foghat,Stone Blue,0.394647538662,0.605352461338,0.06496280431750000,0.0195673704147,0.0262121018022,0.0631157532334,0.23247821629,0.181741207838,0.402917325497,0.00900520198047,0.136677846313,0.378558754921,0.165023088455,0.269300311804,0.0504399836063,0.999999880791,9.59067847361E-08,0.742991924286,0.25700807571400000,0.7947180867200000,86.3469009399,spotify:track:01FomkWy4vd8yGlHFjVBTd,8,11,15,17,20,1
Fibromyalgia,Lord Mandrake,The Best of All Possible Worlds,0.949090719223,0.0509092696011,0.031400769949,0.0179484840482,0.0201814491302,0.0684936791658,0.238081410527,0.127767026424,0.489172071218,0.00695510022342,0.17800565064000000,0.269782066345,0.0794291049242,0.203926250339,0.268856912851,0.972981512547,0.0270184613764,0.597796738148,0.402203291655,0.728348314762,88.8268814087,Not Found,8,11,15,17,20,0
Where You Go,The Meeting Places,Find Yourself Along the Way,0.238106772304,0.7618932127950000,0.112168863416,0.0217173527926,0.018962841481,0.06770469248290000,0.120723299682,0.0621308535337,0.582866430283,0.0137256942689,0.174112930894,0.246927246451,0.121519543231,0.234582781792,0.222857505083,0.565237700939,0.434762299061,0.660511851311,0.339488148689,0.851089000702,89.78458404540000,spotify:track:7MEXy4E2krd6ADkobQaVo3,8,11,15,17,20,1
Sing Out to Me,The Pearls,String of Pearls,0.448493033648,0.551506996155,0.0126849636436,0.017202122137,0.0199359618127,0.031115103513,0.0829038023949,0.1985912323,0.630238056183,0.0073287556879200000,0.204762414098,0.328667461872,0.272038161755,0.11667252332,0.07785942405460000,0.8798538446430000,0.120146162808,0.667307138443,0.332692861557,0.963327646255,90.4750900269,Not Found,8,11,15,17,20,1
Rise,Kari Jobe,Where I Find You,0.8268453478810000,0.173154652119,0.0070494101382800000,0.0271008349955,0.004133996088060000,0.00836052838713,0.446919441223,0.0290302932262,0.475768268108,0.0016372404061300000,0.114943444729,0.4614694416520000,0.149000570178,0.229569330812,0.0450172051787,0.992566347122,0.00743366824463,0.6777665615080000,0.322233408689,0.904836773872,91.9826202393,spotify:track:6nNHaRcfyu8pToMfHk9O7O,8,11,15,17,20,0
Linger,The Cranberries,Bualadh Bos: The Cranberries Live,0.08005777746440000,0.919942200184,0.052889131009600000,0.013458609581,0.0161131229252,0.05997426807880000,0.377878844738,0.0692783147097,0.3921661973,0.0182414893061,0.112428888679,0.375964909792,0.215058773756,0.0938840210438,0.202663391829,0.997475802898,0.00252417009324,0.7727686762810000,0.227231323719,0.887336432934,92.941078186,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,8,11,15,17,20,1
Dry Ice,Pure X,Pleasure,0.5883126854900000,0.411687344313,0.0818166658282,0.0117950076237,0.0378783531487,0.17472997307800000,0.173729717731,0.133173525333,0.323278427124,0.0635983273387,0.0969937816262,0.438290923834,0.200121760368,0.169833108783,0.0947604253888,0.7010266780850000,0.298973292112,0.984402120113,0.0155978668481,0.93076479435,92.96014404300000,spotify:track:0MVZDbrGvyLPuXPe4HyI3w,8,11,15,17,20,0
Etheriel,Lush,Gala,0.0816910639405,0.918308913708,0.15316532552200000,0.014402300119400000,0.015242187306300000,0.0206616353244,0.028792809695,0.0462878458202,0.7196011543270000,0.00184675178025,0.223124399781,0.43435844779,0.0563281401992,0.154817119241,0.131371900439,0.604105710983,0.395894318819,0.666508734226,0.333491295576,0.919971048832,93.2820968628,spotify:track:0TPwU1vgNoTaHo1OMH0oc5,8,11,15,17,20,1
Skylars Song,Vince Neil,Carved in Stone,0.319000184536,0.6809998154640000,0.127520993352,0.0170016940683,0.0112444525585,0.062702730298,0.316296845675,0.132412821054,0.318933784962,0.0138866715133,0.163396254182,0.399644672871,0.161595672369,0.184015631676,0.0913477838039,0.999998807907,1.21342645798E-06,0.8910530805590000,0.108946919441,0.693677246571,94.4532928467,spotify:track:4tt7c3y5lfTLGQiXd9nTXS,8,11,15,17,20,1
