title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
CHE.R.RY,YUI,CAN’T BUY MY LOVE,0.509981691837,0.490018308163,0.0368886813521,0.0287939608097,0.0109178023413,0.0803286060691,0.247805818915,0.095540843904,0.494514554739,0.005209732800720000,0.14234209060700000,0.463320314884,0.0958717390895,0.161267802119,0.13719804585,0.995820522308,0.00417950144038,0.060051202774,0.939948797226,0.938913822174,109.129928589,spotify:track:5N61UhnB7krCVaThWoWN8s,8,11,15,18,19,0
Last Days of Summer in San Francisco,Matt Nathanson,Last of the Great Pretenders,0.992843747139,0.00715623376891,0.00344594730996,0.044502932578300000,0.0132593074813,0.008079677820210000,0.344659566879,0.0951058790088,0.487819224596,0.00312743615359,0.165835216641,0.397106438875,0.119958028197,0.156433612108,0.160666704178,0.935853719711,0.064146257937,0.29053094983100000,0.709469079971,0.8484705686570000,109.893531799,spotify:track:4lssx5N8cThpKkvdBcQYTd,8,11,15,18,19,0
Daddys Little Girl,Carolina Liar,Wild Blessed Freedom,0.997303187847,0.00269683287479,0.00186132686213,0.112526036799,0.00610256474465,0.0043919007293900000,0.263222873211,0.00939721893519,0.601335048676,0.00116299523506,0.19967572391,0.4018368721010000,0.126477748156,0.137731894851,0.134277775884,0.89514195919,0.10485804081,0.316279619932,0.68372040987,0.950276136398,109.943748474,spotify:track:1ouYWNt54tRRChRwFo1GkO,8,11,15,18,19,0
The Last Page,Dark Princess,The World Ive Lost,0.68931466341,0.310685366392,0.006766027305280000,0.00457681948319,0.0028772719670100000,0.007927785627540000,0.229542195797,0.0550340972841,0.692204236984,0.00107156240847,0.166892141104,0.265082836151,0.18715031445,0.151931524277,0.228943184018,0.5708468556400000,0.42915314436,0.140968367457,0.859031617641,0.768921673298,110.01445770300000,spotify:track:1hsVddDnLMFS2zm5HoxeWb,8,11,15,18,19,0
Catch Me Up,Gomez,Split the Difference,0.914886534214,0.0851134583354,0.00493906484917,0.0639527365565,0.010933672078,0.00456257164478,0.201954454184,0.0467538833618,0.666082024574,0.0008215679554270000,0.12350525707,0.281548023224,0.0679992139339,0.251174479723,0.275773018599,0.752812623978,0.247187390924,0.35482057929,0.645179390907,0.896447896957,110.550987244,spotify:track:0jpxzZNMV868p5VPobhlUn,8,11,15,18,19,0
Roundabout,The Basics,The Age of Entitlement,0.823896586895,0.176103383303,0.0285601448268,0.114936552942,0.216371998191,0.0149830272421,0.204850375652,0.103821717203,0.305656850338,0.0108193326741,0.1514852494,0.293744593859,0.100366100669,0.16830883920200000,0.286095201969,0.968231916428,0.0317680537701,0.0217798408121,0.978220164776,0.881716907024,110.62586975100000,spotify:track:4C7DmQ5qfjA5lJcN5eRBnq,8,11,15,18,19,0
I Never Really Loved You at All,Benny Mardones,Benny Mardones,0.5994237065320000,0.400576323271,0.004799294285480000,0.0159790441394,0.0107498895377,0.0065656648948800000,0.4377082288270000,0.0775443762541,0.444334119558,0.00231937249191,0.128655150533,0.345505684614,0.227485388517,0.126898318529,0.171455472708,0.8608002662660000,0.13919973373400000,0.042403567582400000,0.957596421242,0.8724535107610000,110.62651825,spotify:track:6DZboEX3ULsTiFQYlgtLMT,8,11,15,18,19,0
Naked,Leona Lewis,Echo,0.970537602901,0.029462369158900000,0.00297763803974,0.0469786711037,0.008965877816080000,0.0138343740255,0.326122403145,0.0537008978426,0.545771181583,0.0016489860136100000,0.206011101604,0.292234241962,0.17316584289100000,0.172588080168,0.156000733376,0.8745574951170000,0.125442504883,0.047687519341700000,0.952312469482,0.911255776882,110.89516449,spotify:track:22rL6hjsTEwPul3lMcHZUB,8,11,15,18,19,0
Happy Talking,SUPERCAR,Three Out Change!!,0.551007449627,0.448992520571,0.0073864045552900000,0.0132494838908,0.00855781044811,0.00962487142533,0.0177626535296,0.0174360405654,0.925123751163,0.000858983665239,0.25687372684500000,0.289399832487,0.0794297605753,0.149580970407,0.224715694785,0.813079535961,0.186920464039,0.0416301488876,0.958369851112,0.952635109425,112.97820282,Not Found,8,11,15,18,19,0
Dear In Your Headlights,Blondfire,Young Heart,0.986315667629,0.0136843491346,0.0007961970986800000,0.0353855639696,0.004370995797220000,0.00183553318493,0.444306999445,0.008720849640670000,0.504000723362,0.000583146349527,0.17778255045400000,0.299866199493,0.0911498069763,0.16697025299100000,0.264231204987,0.938237309456,0.06176270544530000,0.08433248847720000,0.915667533875,0.956686675549,113.94023895300000,spotify:track:6IpATqflY5HTRaQitvS2LS,8,11,15,18,19,0
M.O.N.E.Y.,The 1975,The 1975,0.966564416885,0.0334355868399,0.0134461047128,0.106534428895,0.0258431620896,0.0327893979847,0.25509506464000000,0.134042367339,0.416040360928,0.0162091236562,0.118752993643,0.308756321669,0.227460712194,0.294894069433,0.0501359291375,0.905933558941,0.0940664559603,0.0229574237019,0.977042555809,0.772552788258,114.00273895300000,spotify:track:1Ij4cmQteKslDqCpenSFhF,8,11,15,18,19,0
Everytime,Zachary Richard,Mardi Gras Mambo,0.533933520317,0.466066509485,0.026744734495900000,0.0258253458887,0.0132320988923,0.0842291340232,0.255012482405,0.216327831149,0.373019725084,0.005608647130430000,0.150893032551,0.308557957411,0.151391044259,0.22829221189,0.160865753889,0.996749639511,0.0032503332477100000,0.314365148544,0.685634851456,0.8553797602650000,114.53725433300000,spotify:track:7gmTqfrUH7GgtkbGkwjOuG,8,11,15,18,19,0
