title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Mr. Tambourine Man (electric version),Byrds,Preflyte (Disc 1),0.255408644676,0.744591355324,0.071195974946,0.0122461188585,0.0166005138308,0.0184167250991,0.281322270632,0.048310913145500000,0.531044781208,0.020862678065900000,0.119782239199,0.504343628883,0.111887507141,0.18134483695,0.0826417729259,0.999992191792,7.82912775321E-06,0.0415309593081,0.958469033241,0.927543878555,109.330459595,Not Found,8,11,15,18,19,1
The Dice Man,My Life Story,Sex & Violins (The Best of My Life Story),0.23354318738,0.7664568424220000,0.0298067796975,0.00648257043213,0.0033565191552,0.0220161322504,0.347057640553,0.0204009395093,0.567296862602,0.0035825772211,0.142027303576,0.456158846617,0.0992501452565,0.151292100549,0.151271596551,0.999994754791,5.26163967152E-06,0.409941196442,0.590058803558,0.91857945919,109.47986602800000,Not Found,8,11,15,18,19,1
Tear It Up,Shakin Stevens,The Epic Masters (Disc 9: There Are Two Kinds of Music... Rock n Roll),0.0731123313308,0.926887691021,0.0187769904733,0.0106787765399,0.00332410819829,0.0100279338658,0.043395306915,0.012692861259000000,0.900124847889,0.000979165546596,0.25450101494800000,0.330589950085,0.048502407968,0.181938409805,0.184468209743,0.99998497963,1.50043379108E-05,0.115693815053,0.884306192398,0.936239659786,109.72402954100000,Not Found,8,11,15,18,19,1
Phoenix Rising,Masterplan,MK II,0.199737593532,0.800262391567,0.0822692811489,0.0284614842385,0.0192163530737,0.0421430692077,0.345546662807,0.0949472263455,0.376388192177,0.0110277282074,0.196202993393,0.320662409067,0.279049992561,0.115654721856,0.0884298980236,0.691881299019,0.308118671179,0.427147805691,0.572852194309,0.791162967682,111.288627625,spotify:track:43m7ykPX0UIspbSScTwnWJ,8,11,15,18,19,1
Bloody Barefoot Blues,Roy Rogers,Pleasure And  Pain,0.266068726778,0.7339313030240000,0.046171233058,0.028890816494800000,0.016395105049000000,0.016358831897400000,0.198342323303,0.0919045209885,0.595127463341,0.00680971378461,0.15446510911000000,0.26570919156100000,0.163234263659,0.151992797852,0.264598608017,0.95613181591,0.043868172913800000,0.00936453416944,0.990635454655,0.951832413673,111.390548706,spotify:track:5WMu8MrJ8BfRbnHo9HH1TC,8,11,15,18,19,1
I Could Be Underground,Spoon,30 Gallon Tank + 3,3.23238588673E-11,1.0,0.0349475964904,0.202451527119,0.0281172990799,0.046184763312300000,0.20264595747000000,0.104618407786,0.371559232473,0.00947522651404,0.142132416368,0.460599005222,0.0642615631223,0.246996790171,0.0860102027655,0.8984223008160000,0.101577714086,0.0518379956484,0.948162019253,0.917554497719,111.70699310300000,Not Found,8,11,15,18,19,1
The Reason Why (version 1),Byrds,Preflyte (Disc 2),0.145414561033,0.854585468769,0.038623124361,0.0135665200651,0.016104027628900000,0.0248730443418,0.235526800156,0.136683315039,0.528932094574,0.00569105707109,0.216355368495,0.251119345427,0.213262945414,0.0876058936119,0.231656432152,0.974490046501,0.0255099404603,0.010431932285400000,0.989568054676,0.937222957611,112.11972808800000,Not Found,8,11,15,18,19,1
Pop Lie (One Man Band Version),Okkervil River,Pop Lie,0.220031574368,0.779968440533,0.0392321534455,0.012283564545200000,0.00970523431897,0.0177066847682,0.152968361974,0.21752075851,0.540881454945,0.00970176514238,0.105078861117,0.418552577496,0.164726182818,0.131826609373,0.179815784097,0.862331330776,0.137668654323,0.0597146041691,0.940285384655,0.911024749279,112.897674561,spotify:track:3fclaAxUh9mnKpXt6MihBV,8,11,15,18,19,1
Take Ecstasy With Me,The Magnetic Fields,Obscurities,0.11325827986,0.8867416977880000,0.005867192987350000,0.0387508422136,0.0233390815556,0.006523786112670000,0.204941630363,0.0449964031577,0.66703748703,0.00854358635843,0.157459452748,0.275846749544,0.182487532496,0.164231389761,0.219974860549,0.966536164284,0.0334638506174,0.272715449333,0.7272845506670000,0.944567739964,112.94522094700000,spotify:track:52PiHSidvRdSupgHN6SpUa,8,11,15,18,19,1
My Hearts Got A Memory (Bonus Track),Eric Church,Carolina,0.297204017639,0.702795982361,0.0116340527311,0.0318610779941,0.00565321836621,0.00986099988222,0.127268493176,0.037551689893,0.7697395086290000,0.006430979352440000,0.17232337594,0.344296276569,0.190173909068,0.252059161663,0.0411472730339,0.968148946762,0.031851079314900000,0.0598750784993,0.940124928951,0.924988329411,112.977386475,Not Found,8,11,15,18,19,1
Mighty Man,Mungo Jerry,The Very Best of Mungo Jerry,0.393919527531,0.606080472469,0.0653323456645,0.0273757837713,0.0114401690662,0.0587227009237,0.180411994457,0.13572020828700000,0.500631988049,0.020364791154900000,0.12799268961,0.31708624959000000,0.168966069818,0.281229525805,0.104725465178,0.985455811024,0.014544194564200000,0.101944983006,0.8980550169940000,0.951636254787,114.34880065900000,spotify:track:1QKcwvMO2Nz598xOiMW2J5,8,11,15,18,19,1
Young Man,Da Capo,Da Capo,0.0907592698932,0.909240722656,0.0602810569108,0.0133766094223,0.0177121069282,0.125954523683,0.220297679305,0.253005415201,0.295379281044,0.0139933340251,0.14626607298900000,0.290215432644,0.128884151578,0.24252332747,0.192111030221,0.995906293392,0.00409371219575,0.08768626302480000,0.912313759327,0.8795355558400000,114.667785645,spotify:track:10xRnWgp38eF5JLBbGCKh3,8,11,15,18,19,1
Drug Abuse,Ben Hamilton,Bull in a China Shop,0.316828608513,0.683171391487,0.0580445304513,0.0218264833093,0.0180787276477,0.014165376313,0.128336906433,0.178716719151,0.5771609544750000,0.00367026589811,0.115209631622,0.531425535679,0.1232380867,0.122367464006,0.107759311795,0.982028365135,0.0179716292769,0.119095854461,0.8809041380880000,0.885926604271,115.04679107700000,Not Found,8,11,15,18,19,1
Honey Do,Beverly,Careers,6.63127002554E-06,0.999993383884,0.0170724820346,0.00943514425308,0.0013703333679600000,0.00258796219714,0.0209966376424,0.0103193856776,0.937434852123,0.000783174764365,0.134221985936,0.5437616705890000,0.102815069258,0.0909505933523,0.128250673413,0.541230559349,0.458769410849,0.0425568781793,0.957443118095,0.925791978836,115.65685272200000,spotify:track:6KBDAj32wnDHKl1wwAbnM3,8,11,15,18,19,1
