title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
First,Cold War Kids,Hold My Home,0.980248987675,0.0197509862483,0.0141436019912,0.008675478398800000,0.00645667267963,0.00439861789346,0.307112425566,0.0183337125927,0.6401983499530000,0.000681144825649,0.217125996947,0.338519871235,0.0878338515759,0.19361038506,0.16290988028,0.959353506565,0.0406464748085,0.00501492945477,0.994985044003,0.915299355984,77.8803405762,spotify:track:3omXshBamrREltcf24gYDC,8,11,15,18,20,0
Rise (vocal / edit of LP version),Public Image Ltd.,Rise,0.983533918858,0.016466088593,0.00410043261945,0.105652563274,0.0345247834921,0.0112276840955,0.233346685767,0.0450134240091,0.563129425049,0.00300500635058,0.183950319886,0.26804035902,0.119118519127,0.241432338953,0.187458470464,0.896197795868,0.103802189231,0.100301846862,0.899698138237,0.915199637413,85.1878738403,Not Found,8,11,15,18,20,0
Trickery,Landon Pigg,LP,0.967921078205,0.0320789404213,0.00108283304144,0.0247567314655,0.00245774723589,0.00130510795861,0.0615595281124,0.00955492444336,0.898443639278,0.0008394647738900000,0.239373087883,0.29298871755600000,0.088421292603,0.137091159821,0.242125734687,0.6983417272570000,0.301658272743,0.175346046686,0.824653983116,0.953584849834,85.675743103,spotify:track:5Vc5mzwE1KcqpXlu8yMmJY,8,11,15,18,20,0
Wild Little Willie,Hank C. Burnette,No 1 Rock-a-Billy,0.642912507057,0.357087522745,0.058185867965200000,0.0480441749096,0.107752732933,0.0330954529345,0.202216058969,0.0822640359402,0.456923574209,0.0115180863068,0.212472170591,0.485920876265,0.0600826404989,0.101801432669,0.13972289860200000,0.860393822193,0.139606177807,0.0005715455627070000,0.999428451061,0.926456332207,85.8655700684,Not Found,8,11,15,18,20,0
Zomer,André Hazes,Al 15 jaar gewoon André (disc 2),0.7785456776620000,0.22145432233800000,0.041934508830300000,0.0135457590222,0.0242002047598,0.0120020844042,0.272424042225,0.170714586973,0.461783915758,0.00339489826001,0.0732890293002,0.465731590986,0.0821896642447,0.204078614712,0.17471110820800000,0.920569121838,0.079430885613,0.0221386738122,0.977861344814,0.944014251232,85.9200515747,spotify:track:6gZLpnsE6mvcNohtOUGU1P,8,11,15,18,20,0
Cant Believe You Want to Leave,Lou Ann Barton,The Best!,0.6418952941890000,0.358104705811,0.053118124604200000,0.009439949877560000,0.016743980348100000,0.0524705126882,0.305158227682,0.141164347529,0.412563443184,0.009341401048,0.146693110466,0.3458532691,0.243265703321,0.224100351334,0.0400875583291,0.999983489513,1.65132587426E-05,0.033084720373200000,0.966915309429,0.889755785465,86.38827514650000,spotify:track:4m8gQBFaa40SujMl85CLeD,8,11,15,18,20,0
"Dead, Drunk, and Naked",Drive-By Truckers,Southern Rock Opera (Disc 1: Act I),0.537056267262,0.462943732738,0.148067682981,0.0404018349946,0.0218555424362,0.0573975816369,0.117336630821,0.0771239474416,0.522269368172,0.0155473873019,0.151190012693,0.365124285221,0.121940933168,0.180947482586,0.180797278881,0.990262627602,0.00973736867309,0.113305613399,0.8866943717,0.876745223999,87.49644470210000,spotify:track:6IjWuJHAOpoR2MDfyjo2zF,8,11,15,18,20,0
Where Do We Go From Here,Tantric,37 Channels,0.574376344681,0.4256236255170000,0.015730317682000000,0.0111070843413,0.017322545871100000,0.0170452911407,0.278095126152,0.0382341593504,0.614015221596,0.00845024269074,0.228866830468,0.474603027105,0.0694154277444,0.148174569011,0.0789401605725,0.873260855675,0.126739159226,0.202599972486,0.797399997711,0.908226370811,87.5160980225,Not Found,8,11,15,18,20,0
Road Cases,Drive-By Truckers,Southern Rock Opera (Disc 2: Act II),0.550739705563,0.449260264635,0.08928006142380000,0.0198658816516,0.0159648936242,0.0404138602316,0.10319237411,0.0762101188302,0.644554495811,0.0105183068663,0.184757426381,0.468848854303,0.112476587296,0.180881172419,0.053035963326700000,0.990200817585,0.00979916844517,0.00409522186965,0.995904803276,0.935555517673,87.6534576416,spotify:track:2f8AC7u11MRbGNGZ4kbaOg,8,11,15,18,20,0
Deine Liebe klebt,Herbert Grönemeyer,Luxus,0.8963346481320000,0.103665336967,0.00636692158878,0.0104080410674,0.0199578199536,0.00769168836996,0.34268552064900000,0.0847109258175,0.5262065529820000,0.00197255634703,0.145843848586,0.370550751686,0.135950982571,0.106755532324,0.24089887738200000,0.583113312721,0.416886717081,0.438533455133,0.561466574669,0.903709471226,88.24769592290000,spotify:track:0wwE1NWfRk4SHTBXGeTLFJ,8,11,15,18,20,0
