title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
humming song (alone together),Yuka Honda,Eucademix,0.061425078660200000,0.938574910164,0.0921840593219,0.0113711813465,0.010538126342,0.0284738261253,0.315244853497,0.185352280736,0.35195761919,0.0048780315555600000,0.143451943994,0.502174019814,0.130306139588,0.172033280134,0.052034638822100000,0.238487690687,0.761512339115,0.385608196259,0.614391803741,0.834546625614,78.89366149900000,Not Found,8,11,16,18,20,1
Human Decomposition (Solved in Acid),32CRASH,Y2112Y,0.754438579082,0.245561420918,0.0140773560852,0.0629553198814,0.13647940754900000,0.027643321082,0.242257013917,0.0520628876984,0.450897455215,0.0136272376403,0.245087251067,0.279354989529,0.09473792463540000,0.147218450904,0.233601391315,0.000191505430848,0.999808490276,0.494968414307,0.505031585693,0.933738529682,80.0045166016,spotify:track:5O1kT5CaXkRKWoWLpTiLBm,8,11,16,18,20,0
Adounia Mahegagh,Tamikrest,Adagh,0.052251439541600000,0.947748541832,0.122978426516,0.0395493768156,0.0312882438302,0.0537700727582,0.24985897541,0.152741938829,0.299927055836,0.0498859211802,0.17243309319000000,0.411063909531,0.226072028279,0.0947410389781,0.0956899374723,0.07537948340180000,0.924620509148,0.852587997913,0.14741198718500000,0.965133488178,83.3283996582,spotify:track:6dLWvd6r0VbuW5kGlEOZLf,8,11,16,17,20,1
Our Summer,All About Eve,Winter Words: Hits and Rareties,0.8434374928470000,0.15656252205400000,0.00960045773536,0.061676986515500000,0.013782591559,0.0154398037121,0.318958997726,0.092583835125,0.485000669956,0.00295665743761,0.14056615531400000,0.368578642607,0.0624226592481,0.175878375769,0.252554178238,0.407815903425,0.592184126377,0.7083572745320000,0.291642695665,0.882714450359,83.56218719480000,spotify:track:2KwT39Nf4p9Exx7c1M8Cge,8,11,16,17,20,0
Sharpen Up Those Fangs,The Presidents of the United States of America,Thanks! For the Feedback,0.424816638231,0.575183391571,0.0350808463991,0.0355935245752,0.0544548816979,0.0238146204501,0.125060379505,0.0995511487126,0.619769394398,0.00667522149161,0.236968636513,0.282481700182,0.152349337935,0.169935315847,0.15826500952200000,0.298366039991,0.7016339898110000,0.00241528777406,0.997584700584,0.935172080994,86.2112197876,spotify:track:5Rj1JHx5WTF3pzDOIYs7Dv,8,11,16,18,20,1
The Nectar of Perversity Springs From the Well of Repression,Aderlating,The Nectar of Perversity Springs From the Well of Repression,0.0237161815166,0.976283788681,0.159041658044,0.0286490023136,0.0181876774877,0.0863703638315,0.10013191402,0.176898404956,0.357067734003,0.0736532360315,0.201094612479,0.26699668169,0.226033449173,0.0838616341352,0.222013622522,0.0195551998913,0.980444788933,0.987495362759,0.0125046176836,0.966143071651,87.7333526611,Not Found,8,11,16,17,20,1
Das Bier ist da zum Trinken,J.B.O.,Nur die Besten werden alt,0.91078555584,0.08921442925930000,0.00254925456829,0.151208341122,0.151692509651,0.00632347958162,0.16469438374,0.0341539420187,0.487895667553,0.00148241606075,0.13143990933900000,0.357009381056,0.0397620536387,0.154094532132,0.31769412756,0.216418087482,0.783581912518,0.000499559449963,0.999500453472,0.919923961163,87.98558807370000,spotify:track:76scziFQLN4mmVXLO3tov6,8,11,16,18,20,0
Love Spells,Bleached,Ride Your Heart,0.0167168285698,0.983283162117,0.00142917479388,0.00106672162656,0.000152357184561,0.00015913625247800000,0.00867903605103,0.00252611190081,0.985939323902,4.81269344164E-05,0.227105155587,0.308564811945,0.221929863095,0.131501317024,0.110898852348,0.484593272209,0.515406727791,0.111571453512,0.88842856884,0.967543423176,88.5572280884,spotify:track:73O3TAndGboYrWEKjMLOi2,8,11,16,18,20,1
I Cant Believe Youre Gone,The Webb Brothers,Maroon,0.443225115538,0.5567748546600000,0.0299127288163,0.0547484494746,0.0225172992796,0.0148150902241,0.33897164464,0.13259331882,0.397185355425,0.00925612915307,0.230517432094,0.260281652212,0.0886413231492,0.240575745702,0.179983839393,0.294676154852,0.7053238153460000,0.162487626076,0.837512373924,0.8753037452700000,88.73991394040000,spotify:track:6CErFyCUUqri5w80y343Rj,8,11,16,18,20,1
Skin,TaxiRide,Garage Mahal,0.94463789463,0.0553620904684,0.000984063139185,0.0375289209187,0.0033094966784100000,0.00104120688047,0.124175161123,0.0561328567564,0.775673627853,0.00115463940892,0.158972427249,0.280203938484,0.189624607563,0.140990331769,0.230208694935,0.368682444096,0.6313175559040000,0.0315622091293,0.968437790871,0.901829063892,90.0780334473,Not Found,8,11,16,18,20,0
The Girls,Regular Fries,Accept the Signal,0.571009337902,0.428990662098,0.0574510917068,0.0417856276035,0.0449798107147,0.0224720053375,0.177338212729,0.0989859178662,0.5459249019620000,0.0110623994842,0.140844255686,0.406192213297,0.0798137038946,0.189501270652,0.18364854157,0.242617890239,0.75738209486,0.636621832848,0.36337813735,0.845720767975,90.68634796140000,Not Found,8,11,16,17,20,0
Mountain Man,Two Lone Swordsmen,Wrong Meeting II,0.481793314219,0.518206715584,0.015876837074800000,0.0328446701169,0.088750384748,0.0156762171537,0.259571224451,0.246446922421,0.3292581141,0.011575632728600000,0.198542147875,0.287859320641,0.0965603888035,0.147289246321,0.26974889636,0.431575924158,0.568424105644,0.662435889244,0.337564140558,0.917939484119,91.8479919434,spotify:track:0rmiHZ4mWQFmkMUvYsaff4,8,11,16,17,20,1
