title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Honky Tonk Friends,Jason Michael Carroll,Waitin in the Country,0.6992108821870000,0.300789117813,0.0500472560525,0.0100845582783,0.00780709879473,0.0265482664108,0.240818709135,0.0352780707181,0.6260864138600000,0.0033296027686400000,0.102785624564,0.173922151327,0.241546139121,0.374765008688,0.106981098652,0.999996423721,3.57511089533E-06,0.112163774669,0.8878362178800000,0.941966354847,109.987953186,spotify:track:23TbA2D5tHolf6QT9zsNUt,8,13,15,18,19,0
Have I Been a Fool?,Jack Peñate,Matinée,0.589134931564,0.4108650386330000,0.0350352525711,0.08550330996510000,0.0399426780641,0.0290560368448,0.24230453372,0.210567906499,0.306444883347,0.0511454083025,0.126482054591,0.251673638821,0.283452808857,0.292712390423,0.0456790700555,0.921013057232,0.0789869427681,0.0255651567131,0.9744348526,0.927002906799,110.24077606200000,spotify:track:4MKSreyEcyBml6idNBHmfi,8,13,15,18,19,0
A Day At A Time,Dale Watson,Call Me Insane,0.54894644022,0.451053589582,0.07505372911690000,0.0416278429329,0.0268468782306,0.0496903508902,0.272513896227,0.17832338810000000,0.318521767855,0.0374221466482,0.103410549462,0.305625796318,0.190913006663,0.368481129408,0.031569506973000000,0.961261749268,0.0387382507324,0.224035739899,0.7759642601010000,0.92074239254,111.040725708,spotify:track:1DpHRIWlMB9D3FZYAVyqCf,8,13,15,18,19,0
Mr Melody,Natalie Cole,The Natalie Cole Collection,0.57617866993,0.42382133007,0.114733465016,0.0184269715101,0.0361570566893,0.19027505815,0.21153511107,0.193638771772,0.220393270254,0.0148402936757,0.0984257236123,0.331671983004,0.0929943546653,0.41755476594,0.059353183955,0.987328827381,0.012671190314,0.207744166255,0.792255818844,0.776055753231,111.30393981900000,spotify:track:4TktoJxCnwbRfk90qOJzXq,8,13,15,18,19,0
Lover Lover,Jimmy Barnes,Hits: Anthology,0.787639260292,0.212360754609,0.0117522766814,0.0616763308644,0.0280255489051,0.0387968271971,0.297311455011,0.0754169747233,0.481322616339,0.005697957705710000,0.164244174957,0.176452219486,0.245207041502,0.28561386466,0.128482714295,0.99998998642,1.00009601738E-05,0.131433874369,0.868566095829,0.908688902855,113.40621185300000,spotify:track:7BUltNQenAlQGfJoadPg0z,8,13,15,18,19,0
S.H.A.R.P.,Los Fastidios,Añejo 16 años,0.993052780628,0.006947197485720000,0.0102417841554,0.0011857247445700000,0.00123997288756,0.00134919257835,0.00521603319794,0.00187069550157,0.978418290615,0.000478328729514,0.108396679163,0.14167903363700000,0.127053499222,0.313186496496,0.309684276581,0.7371536493300000,0.26284635067,0.0072198612615500000,0.992780148983,0.926316738129,114.57216644300000,spotify:track:559whgTNaHlI1Yjy8KE4VT,8,13,15,18,19,0
Just Play Music,Big Audio Dynamite,Tighten Up Vol. ’88,0.915703296661,0.08429668098690000,0.0368391536176,0.142155185342,0.122453838587,0.073908470571,0.25305846333500000,0.07494077831510000,0.281894803047,0.0147492969409,0.132735818624,0.193379119039,0.227521762252,0.274124354124,0.17223894596100000,0.938667297363,0.0613327100873,0.344029605389,0.6559703946110000,0.925954043865,114.90053558300000,spotify:track:57qkAQdcTqTV2kdZmTzAG8,8,13,15,18,19,0
Allentown,Billy Joel,The Ultimate Collection,0.6959801316260000,0.304019838572,0.0468741841614,0.0433259680867,0.0301269385964,0.0309925768524,0.237184837461,0.0938866809011,0.504727959633,0.0128808803856,0.08187009394170000,0.238165304065,0.106323443353,0.390584558249,0.183056592941,0.995590388775,0.004409631714220000,0.335651814938,0.664348185062,0.902087450027,114.969696045,spotify:track:59xhCcRskqyMtKzdvLZDfV,8,13,15,18,19,0
King Kong Five,Mano Negra,In the Hell of Patchinko,0.833061933517,0.166938081384,0.038170155137800000,0.0298239830881,0.0650973394513,0.110512383282,0.230709671974,0.0854297578335,0.43179538846,0.00846131611615,0.13013072311900000,0.14034190774,0.110149495304,0.315361022949,0.304016858339,0.714277029037,0.28572294116,0.00888132676482,0.99111866951,0.950763940811,117.053848267,spotify:track:5DCHjrbjn6KN9CqkEfsd2K,8,13,15,18,19,0
Were Gonna Have a Real Good Time Together,The Velvet Underground,Another View,0.896457135677,0.103542886674,0.055000342428700000,0.0110439425334,0.004134576302020000,0.043183736503100000,0.332577377558,0.0690396428108,0.468499839306,0.0165205299854,0.0957283675671,0.297225981951,0.200127482414,0.325950562954,0.08096759766340000,0.984117925167,0.0158820673823,0.20960508287,0.790394902229,0.931055188179,117.19583892800000,spotify:track:0oPZUCKjSIlQclVrUJDf2l,8,13,15,18,19,0
