title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Gypsy (Single Version),Uriah Heep,...Very eavy ...Very umble,0.220454365015,0.779545605183,0.0138212395832,0.0335008911788,0.212908759713,0.161006256938,0.178686067462,0.0692521259189,0.323381245136,0.00744342617691,0.204968467355,0.200121745467,0.0848257094622,0.255864024162,0.254220038652,0.220033794641,0.779966175556,0.266086280346,0.733913719654,0.880598604679,87.064704895,Not Found,8,13,16,18,20,1
Stick Around,The Peoples Temple,Sons of Stone,1.26317081595E-06,0.999998748302,0.0052611855790000000,0.013182179071,0.000770913262386,0.00802959222347,0.0840438455343,0.00697969971225,0.881126582623,0.000606020214036,0.20411406457400000,0.07964058965440000,0.243065625429,0.25140529871,0.221774443984,0.0364448688924,0.963555157185,0.12967121601100000,0.870328783989,0.94622951746,93.0889511108,spotify:track:3Ry2bPxlExYwI1vLUvz3OL,8,13,16,18,20,1
Gone Baby Gone,Stephen Cummings,Firecracker,0.17411236465,0.825887620449,0.008026310242710000,0.00511608738452,0.0027355151251,0.008404655382040000,0.0419193133712,0.010562652722,0.919760704041,0.00347475684248,0.194314554334,0.229302510619,0.107208646834,0.329274296761,0.139899969101,0.414280503988,0.585719525814,0.0262924339622,0.973707556725,0.97067284584,95.33414459230000,spotify:track:2nxcHP0xq18YA626I0qLqC,8,13,16,18,20,1
Rip Off,Marc Bolan &amp; T. Rex,20th Century Superstar,0.668713450432,0.331286549568,0.0220536403358,0.0305954888463,0.005459587089720000,0.0268032941967,0.230237439275,0.032602190971400000,0.6380535364150000,0.014194843359300000,0.228372484446,0.153522714972,0.18896253407,0.319657385349,0.109484888613,0.0179139748216,0.982086002827,0.034829325974,0.965170681477,0.961033940315,96.92978668210000,Not Found,8,13,16,18,20,0
"Вперёд, Боддисатва!",Зоопарк,Белая полоса,0.0936345383525,0.906365454197,0.0754259377718,0.0307247471064,0.0414789356291,0.106047563255,0.17147484421700000,0.08468944579360000,0.473689734936,0.0164687987417,0.132426738739,0.170957610011,0.0971564501524,0.367966175079,0.231493026018,0.186374500394,0.813625514507,0.0763159841299,0.923684000969,0.959021449089,97.1702880859,Not Found,8,13,16,18,20,1
Sweet Dreams,Yes,In a Word (compilation),0.200167402625,0.799832582474,0.00420972332358,0.07438848912720000,0.00964544527233,0.00547232385725,0.158764481544,0.033855769783300000,0.709865272045,0.0037984775845,0.197762936354,0.222555205226,0.129045501351,0.268382579088,0.18225376308,0.242307946086,0.757692039013,0.00266452669166,0.997335493565,0.85361546278,99.09069824220000,spotify:track:3lczBrluBrRUuCg35LHZcZ,8,13,16,18,20,1
Living,Vanilla Ice,Hard to Swallow,0.8783981204030000,0.121601909399,0.0110612744465,0.219952329993,0.164794147015,0.0198295637965,0.07929234206680000,0.0497828274965,0.444516152143,0.0107713602483,0.18500991165600000,0.246859654784,0.116711042821,0.252509176731,0.198910221457,0.0137581760064,0.986241817474,0.000262029876467,0.999737977982,0.941653251648,101.681930542,spotify:track:41vTx1BQQjPNzgzTKEiatk,8,13,16,18,20,0
Batongarbetare,Gatans Lag,Alla hängda rövares själar,0.0689703524113,0.931029677391,0.00335435592569,0.000902825326193,0.00149662781041,0.000537460844498,0.035318452864900000,0.00247698137537,0.955860316753,5.29804710823E-05,0.219681099057,0.21824143827,0.143243908882,0.228130340576,0.190703228116,0.148320153356,0.851679861546,0.00303344684653,0.996966540813,0.937391042709,102.88926696800000,spotify:track:5UKaq8moH7esAcHZX6AkpN,8,13,16,18,20,1
Mascara Tears,Richard Thompson,Mirror Blue,0.993390202522,0.0066097839735400000,0.005659420974550000,0.09205465763810000,0.008833325468,0.007459723390640000,0.372530817986,0.0484490208328,0.456960380077,0.008052665740250000,0.0932346507907,0.247848987579,0.159365430474,0.373329430819,0.12622150778800000,0.481325060129,0.518674910069,0.0379891693592,0.962010860443,0.962817847729,103.185913086,spotify:track:0ZkefYfnT4Kz7Gw4BTulpg,8,13,16,18,20,0
Devil Take You,Zola Jesus,The Spoils,0.8049346804620000,0.195065334439,0.07532232999800000,0.0909752547741,0.115686289966,0.0489892400801,0.197955593467,0.17649623751600000,0.267793774605,0.0267812740058,0.101213917136,0.141294836998,0.218769192696,0.362314462662,0.176407590508,0.13946810364700000,0.8605319261550000,0.995523631573,0.004476358182730000,0.972443878651,109.82539367700000,spotify:track:5T0TVDFQFUX1hfkqUY8xPK,8,13,16,17,19,0
