title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Ends of the earth,Vicious Rumors,Welcome to the Ball,0.994895219803,0.0051047955639700000,0.000359778437996,0.005278689786790000,0.0221213754267,0.00111611897592,0.0496068112552,0.0019218447851,0.919197380543,0.00039799103979,0.37453442812,0.146449014544,0.131626173854,0.0569516122341,0.290438771248,0.115403957665,0.8845960497860000,0.0955484956503,0.904451489449,0.941431820393,74.7735061646,spotify:track:6vLo3V3wN4z2lYfJV9ZzoK,8,10,16,18,20,0
Niagara,The Wedding Present,Singles 1989-1991,0.0296902898699,0.970309734344,0.0055929524824,0.0139000359923,0.00501136528328,0.00397527962923,0.0077012474648700000,0.00420296518132,0.956678330898,0.00293780956417,0.351549804211,0.138402625918,0.0829681754112,0.12101124227,0.306068152189,0.260302752256,0.739697217941,0.007442668545990000,0.992557346821,0.921022951603,81.478012085,spotify:track:7j5KuVFpbSdhDYgyYxQlZk,8,10,16,18,20,1
Overkill,Gauntlet Hair,Shout in Tongues,0.999956727028,4.32855704275E-05,0.00057588738855,0.315192461014,0.0400705337524,0.00148088356946,0.0989579185843,0.005641970317810000,0.53766053915,0.000419818446971,0.329311788082,0.0944382473826,0.242704421282,0.107960447669,0.225585117936,0.0573865659535,0.942613422871,0.0118202809244,0.98817974329,0.947149038315,81.5134124756,spotify:track:4HgWbYXrQVimalkZk5J6Y2,8,10,16,18,20,0
Slow Me Down,Default,The Fallout,0.232095748186,0.7679042816160000,0.00196560146287,0.036282207816800000,0.0338887944818,0.0034463936463000000,0.039410084486,0.0103428298607,0.8721889853480000,0.00247508171014,0.430517137051,0.110524296761,0.055983886122700000,0.0351423025131,0.367832362652,0.893144249916,0.106855727732,0.0050210258923500000,0.994978964329,0.977673411369,82.8837051392,spotify:track:4catOYlPuPtGQ1ZooWqm37,8,10,15,18,20,1
Still the Same,The Bates,Pleasure + Pain,0.967854559422,0.0321454145014,0.00077480787877,0.391765773296,0.00348956300877,0.0022394775878600000,0.157937332988,0.00887123402208,0.433668345213,0.00125346379355,0.406572043896,0.102874092758,0.117693886161,0.07609493285420000,0.29676502943000000,0.105226941407,0.894773066044,0.8197019100190000,0.180298104882,0.978822171688,82.9590988159,Not Found,8,10,16,17,20,0
Elämä valuu viemäriin,Appendix,Ei raha oo mun valuuttaa... Diagnosis,0.958486795425,0.041513197124,3.37798301189E-05,0.000576413003728,4.37730268459E-05,6.58509670757E-05,0.00116490700748,9.43992490647E-05,0.997986555099,3.43436477124E-05,0.602776646614,0.119366012514,0.07017273455860000,0.0346253961325,0.173059225082,0.467810899019,0.532189071178,0.0074851969257,0.992514789104,0.963462769985,83.06493377690000,spotify:track:4y40SNWvxlM9oQrPqFFpio,8,10,16,18,20,0
Between Horns and Halos,Northstar,Pollyanna,0.99251294136,0.00748708751053,0.000347432796843,0.041893828660200000,0.0154266227037,0.000533127575181,0.19338141381700000,0.0180696249008,0.729931414127,0.000416522671003,0.440434515476,0.199624553323,0.0652733445168,0.0982865616679,0.196381032467,0.969523072243,0.0304769538343,0.0172588918358,0.982741117477,0.966233372688,84.0331115723,spotify:track:561KBK6xLPP9Z5544W1bSe,8,10,15,18,20,0
Golden Boy,Ray Charles,Genius + Soul = Jazz / My Kind of Jazz,0.815749943256,0.184250056744,0.074683830142,0.017492782324600000,0.0237408876419,0.0799862742424,0.1269595474,0.0461144819856,0.621980071068,0.00904213823378,0.339793413877,0.249139100313,0.0611211061478,0.145068138838,0.204878240824,0.987426817417,0.012573165819,0.984799921513,0.0152000822127,0.889405190945,84.20947265630000,Not Found,8,10,15,17,20,0
Papit,Appendix,Ei raha oo mun valuuttaa... Diagnosis,0.999978601933,2.139040771E-05,8.19703709567E-05,0.0193726867437,0.000485864031361,0.0010113951284400000,0.0155105674639,0.000276633392787,0.963114261627,0.00014662908506600000,0.470427632332,0.0402674637735,0.0454880595207,0.0129363033921,0.43088054657,0.392049759626,0.607950210571,0.039496935904,0.960503041744,0.974729895592,84.6435317993,spotify:track:3JaYqk9lbgKndfv0W8Tg3y,8,10,16,18,20,0
"Lets Go, Man",Brian Tyler,Bubba Ho-tep,0.653602540493,0.346397459507,0.00762604456395,0.039068501442700000,0.0281423274428,0.0266121290624,0.125921487808,0.0236014910042,0.742960453033,0.00606757681817,0.427915841341,0.0931910425425,0.08951213955880000,0.08474141359330000,0.304639577866,0.000155636284035,0.999844372272,0.949429988861,0.0505700334907,0.892919838428,84.7439041138,Not Found,8,10,16,17,20,0
"AMAZON, Part 1",Melvins,The Maggot,0.469184666872,0.5308153629300000,0.00163817999419,0.0040166946128,0.00500506162643,0.00471765873954,0.00456811534241,0.0016404816415200000,0.976129770279,0.00228402274661,0.384269684553,0.0765086710453,0.254445880651,0.0418755076826,0.242900252342,0.617544651031,0.382455348969,0.00846297759563,0.991537034512,0.97311270237,84.902961731,spotify:track:64CpM0dzVhPl0KArrHV91E,8,10,15,18,20,1
Back Into Space,Jasmin Tabatabai,Only Love,0.0522150993347,0.947784900665,0.00548177259043,0.00655720103532,0.00418622978032,0.00431249616668,0.173877969384,0.00721207587048,0.796447753906,0.00192452420015,0.360390275717,0.156510427594,0.146215304732,0.200514018536,0.136369973421,0.397895485163,0.602104485035,0.0105381906033,0.989461779594,0.944399833679,84.9134597778,Not Found,8,10,16,18,20,1
Elation,Mike Mirabello,Tower of Guns Soundtrack,0.0128745185211,0.987125456333,0.116173610091,0.06895834952590000,0.0200733281672,0.0950425043702,0.112132847309,0.0703376233578,0.483260899782,0.034020844847,0.310670286417,0.129536047578,0.206472218037,0.13614846766,0.217172965407,0.00232480629347,0.997675180435,0.972296178341,0.0277038477361,0.925284802914,84.9165878296,Not Found,8,10,16,17,20,1
Sunday,Nobody.One,Does,0.8719943165780000,0.128005683422,0.00783669296652,0.0574192963541,0.029638644307900000,0.0196534618735,0.266471534967,0.044241201132500000,0.569096267223,0.00564290536568,0.39938467741,0.122621878982,0.200635582209,0.0935744419694,0.183783426881,0.360852658749,0.639147341251,0.876243889332,0.123756110668,0.939790427685,84.9289627075,spotify:track:0btcKiIkjsenssUbidV1ds,8,10,16,17,20,0
Why Give It Away,Jeff Beck;Sophie Delila,Yosogai,1.36260702721E-09,1.0,0.00238485098816,0.014177184552,0.0276750680059,0.006380036938940000,0.0815842747688,0.0285025015473,0.8366682529450000,0.0026278484147,0.274389356375,0.229012995958,0.14364527165900000,0.178966984153,0.173985406756,0.694712758064,0.305287241936,0.209065020084,0.790934979916,0.952402770519,85.5197219849,Not Found,8,10,15,18,20,1
The Fatal Impact,Dead Can Dance,Dead Can Dance / Garden of the Arcane Delights,0.135840579867,0.864159405231,0.211475715041,0.00923007074744,0.0168105009943,0.0347963608801,0.0943647548556,0.0520990155637,0.572436034679,0.008787536062300000,0.273680180311,0.235432475805,0.0784137248993,0.237077459693,0.175396174192,0.706275701523,0.293724298477,0.680386781693,0.319613188505,0.635670244694,85.8450927734,spotify:track:7bCAHnRcPJSNSp7yVpOH3Q,8,10,15,17,20,1
Put On A Happy Face,The Supremes,Forever Diana: Musical Memoirs (compilation),0.373209059238,0.626790940762,0.0100785149261,0.0300120059401,0.0394591800869,0.0522392205894,0.258645921946,0.1061315611,0.500292241573,0.00314136175439,0.336311429739,0.214265972376,0.123882725835,0.232114598155,0.0934252887964,0.8500542640690000,0.149945765734,0.012144966051,0.987855017185,0.792772054672,86.2327270508,spotify:track:4hWKJ0hwxzwTs9w9z9J5e5,8,10,15,18,20,1
My Mother the War,"10,000 Maniacs",Secrets of the I Ching,0.239768072963,0.7602319121360000,0.004514260683210000,0.0105397915468,0.0185788311064,0.00535767013207,0.0636579543352,0.0128222610801,0.882578492165,0.00195076758973,0.399714976549,0.217935353518,0.0715618133545,0.119283042848,0.19150480628,0.925874471664,0.07412550598380000,0.0998052582145,0.900194764137,0.940127313137,86.6689910889,spotify:track:4OZwWaheuXW4dKwCFuxiYM,8,10,15,18,20,1
Original Slave,The War on Drugs,Slave Ambient,5.09341735455E-10,1.0,0.328324586153,0.00386781082489,0.0026122762356,0.0336793921888,0.00960250943899,0.00356173398905,0.617260634899,0.00109107419848,0.378552466631,0.111497908831,0.0655828714371,0.0979170873761,0.34644967317600000,0.7555734515190000,0.244426563382,0.0194388907403,0.980561137199,0.8753229975700000,86.7491073608,spotify:track:5CqOFKVVYGnVwiooSceA50,8,10,15,18,20,1
Breeders of Hate,Sick of It All,"Blood, Sweat &amp; No Tears",0.196906626225,0.803093373775,0.000516981352121,0.0124335587025,0.0323805883527,0.0016479924088300000,0.00426661595702,0.0024847141467,0.945351839066,0.000917723227758,0.427845627069,0.0926222875714,0.035897541791200000,0.041088860482,0.402545690536,0.394578546286,0.605421483517,0.00183480454143,0.9981651902200000,0.970096409321,86.8482437134,spotify:track:3NhIHP6C9fp7STYbpFwkPL,8,10,16,18,20,1
Mollusc in Tyrol,The Fall,The Twenty Seven Points,4.91301257455E-08,0.999999940395,0.0681088119745,0.0850743502378,0.225806191564,0.0308143962175,0.138240724802,0.0592450685799,0.382813662291,0.00989680923522,0.311112552881,0.20561799407,0.116064183414,0.0805324912071,0.286672770977,0.932676255703,0.067323744297,2.38606407947E-05,0.999976158142,0.953316152096,86.983543396,spotify:track:7opFLO2xypj9ZJrtNQmVcg,8,10,15,18,20,1
Imbecile,Penniless,"Rolling Stone: New Voices, Volume 53",0.165052309632,0.834947705269,0.0003794074000330000,0.0324679650366,0.00179177999962,0.00100850686431,0.0160385929048,0.00418177247047,0.944017827511,0.00011411763262,0.31758493185,0.192524045706,0.126627281308,0.216571420431,0.146692305803,0.14480020105800000,0.8551998138430000,0.0098930047825,0.990106999874,0.970587313175,87.32238769530000,spotify:track:0EnnuHLR4ZJHrjx2cpjXtz,8,10,16,18,20,1
Losing a Whole Year,Third Eye Blind,Third Eye Blind,0.8814482688900000,0.118551701307,0.000256423576502,0.00776768103242,0.00390852754936,0.000172914995346,0.0109640005976,0.00388269801624,0.972986698151,6.10522620264E-05,0.310763627291,0.232171744108,0.13519243896,0.126692563295,0.195179626346,0.894400715828,0.105599299073,0.0786341652274,0.921365857124,0.932233929634,87.9303207397,spotify:track:5lgOUdoMBB3eZuSmc5HL4r,8,10,15,18,20,0
Life Is Lonely,Mardi Gras.bb,The Exile Itch,0.035999312996900000,0.964000701904,0.0028381780721200000,0.00335128698498,0.00325846415944,0.00111017911695,0.103074848652,0.00314058619551,0.8828204274180000,0.000406026258133,0.28447508812,0.246452480555,0.0932055935264,0.26416143775,0.111705414951,0.9968136549,0.00318636582233,0.318109810352,0.681890189648,0.934811413288,88.02786254880000,Not Found,8,10,15,18,20,1
Graduate,Third Eye Blind,Third Eye Blind,0.3901613056660000,0.6098387241360000,0.000764086144045,0.00684096245095,0.00163828069344,0.0013350220397100000,0.0667169168591,0.003536530537530000,0.917954623699,0.00121358968318,0.316302657127,0.2262711972,0.221752941608,0.0917169749737,0.143956229091,0.988607108593,0.0113928699866,0.0939815863967,0.906018435955,0.956934154034,88.4250183105,spotify:track:6pLko0BJo4OmvbmPbLURsl,8,10,15,18,20,1
Turn On Your Light,The Human Beinz,Nobody But Me,6.13720496645E-09,1.0,0.00814866647124,0.020001154393,0.00848523341119,0.00872518122196,0.349185317755,0.130100622773,0.472904592752,0.0024492579978000000,0.28169849515,0.264672249556,0.152107879519,0.121508300304,0.180013075471,0.330300062895,0.669699907303,0.0007729741628280000,0.999227046967,0.94287866354,88.65503692630000,spotify:track:4KLxv1kzZobz0WaLj0Anrt,8,10,16,18,20,1
Gimme That RocknRoll,John Entwistle,Rigor Mortis Sets In,0.647303879261,0.352696120739,0.00740890717134,0.0393491946161,0.04312092810870000,0.0567042976618,0.284043312073,0.0389015860856,0.5285101532940000,0.00196164590307,0.34127882123000000,0.155698493123,0.15995696187,0.141733676195,0.201332047582,0.931962132454,0.0680378600955,0.0902713015676,0.909728705883,0.954951047897,88.79390716550000,Not Found,8,10,15,18,20,0
Şarap Mahzeninde Gece,21. Peron,21. Peron,0.101809583604,0.898190438747,0.0180939659476,0.0513260066509,0.00431740889326,0.0129706617445,0.262452423573,0.100483119488,0.547416210175,0.00294018629938,0.330228984356,0.236690074205,0.16403208673,0.0805690512061,0.188479825854,0.883517503738,0.116482488811,0.111567772925,0.8884322047230000,0.899132549763,89.0784988403,spotify:track:4Nr8U1qmPz5UCboZJNmueX,8,10,15,18,20,1
Criminal Boy,Bunnygrunt,Action Pants!,0.0738645195961,0.926135480404,0.055981442332300000,0.00794891174883,0.011527005583,0.0067722434178,0.116975136101,0.0138019965962,0.7848689556120000,0.00212428136729,0.31754103303000000,0.23103402555,0.180802047253,0.0801001116633,0.190522804856,0.994504630566,0.00549539318308,0.234243780375,0.765756189823,0.956626772881,89.2437286377,spotify:track:3XRUxfAf2Egtx9HLJXJrWk,8,10,15,18,20,1
Trains,The Vapors,New Clear Days,0.8213584423070000,0.17864154279200000,0.0689568817616,0.0504542663693,0.150064080954,0.0399753339589,0.18315090239,0.0840564444661,0.393314957619,0.030027134344000000,0.263624459505,0.242854654789,0.134738147259,0.179000616074,0.179782122374,0.573668658733,0.426331371069,0.0184360314161,0.981563985348,0.94321256876,89.3955001831,spotify:track:1JS8T8HvunqqGuLrAzttK8,8,10,15,18,20,0
Valmiina ylösnousemukseen,Terveet Kädet,Oma koloni EP,0.040040448308,0.959959566593,0.000207133154618,0.000594651966821,0.00104151363485,0.0002986118779520000,0.00180899270345,0.00176243740134,0.994194209576,9.24539344851E-05,0.416316568851,0.16241642832800000,0.0265859533101,0.0603145062923,0.33436653018,0.017049027606800000,0.982950985432,0.00145491294097,0.998545110226,0.935297429562,89.5651626587,Not Found,8,10,16,18,20,1
Mud in Your Eyes,Hunx and His Punx,Street Punk,0.0211769044399,0.978823125362,0.07408744841810000,0.022937644273,0.0055794934742200000,0.0262899883091,0.206241682172,0.0531204938889,0.595433175564,0.0163100473583,0.294985473156,0.218721359968,0.0716847479343,0.220255672932,0.194352731109,0.0894206389785,0.910579383373,0.0033398324158000000,0.996660172939,0.939437627792,89.59755706790000,spotify:track:1vWuvFzaldmZ47NgiFObaX,8,10,16,18,20,1
Hellblood,Bewitched,Pentagram Prayer,2.08843413674E-08,1.0,0.00035535372444400000,0.00020332753774700000,8.60814761836E-05,2.93913763016E-05,0.000439602328697,2.21785248868E-05,0.998854517937,9.56062922342E-06,0.411781221628,0.0824711099267,0.0740025267005,0.056029532104700000,0.375715613365,0.172038704157,0.8279612660410000,0.0020385927055,0.997961401939,0.970472812653,89.86846160890000,spotify:track:40gPUl63rIXwZxei99KVsH,8,10,16,18,20,1
Lord (I Dont Know),Newsboys,Thrive,0.493360996246,0.506639003754,0.0048435111530100000,0.0667010992765,0.0104959607124,0.010536442510800000,0.0938190221786,0.0265361461788,0.7829322218890000,0.00413559703156,0.325879126787,0.254365056753,0.141507744789,0.194093242288,0.08415480703120000,0.999990701675,9.31324939302E-06,0.103685967624,0.8963140249250000,0.862913370132,89.9017791748,spotify:track:2FulNZxbU9ylwQWOoSXAps,8,10,15,18,20,1
Ritual on the Beach,The Demonics,Ritual on the Beach,0.102084234357,0.897915780544,0.0004835136642210000,0.00304897269234,0.00126302393619,0.000399198499508,0.0263278577477,0.00197031232528,0.966277956963,0.000229171404499,0.468045920134,0.180887371302,0.150907680392,0.0939400196075,0.106219008565,0.629953324795,0.370046675205,0.000222298156586,0.999777674675,0.961665630341,89.9213638306,spotify:track:6Hvm0mJiOXRYN8Cy1rn7b9,8,10,15,18,20,1
I Dont Want To Hear It,Hidden in Plain View,Resolution,0.520139634609,0.479860335588,0.000251279358054,0.0166839789599,0.00140128203202,0.000436208443716,0.211359381676,0.00155182660092,0.768243968487,7.20743482816E-05,0.329150468111,0.319141834974,0.036167830228800000,0.0880207493901,0.227519124746,0.94373190403,0.056268081069,0.065727122128,0.934272885323,0.961653232574,89.9288024902,Not Found,8,10,15,18,20,0
The Man Who Came from Later (Autostrade),32CRASH,Y2112Y,0.617159128189,0.382840871811,0.0128017123789,0.132854193449,0.0264172907919,0.053736664354800000,0.209887117147,0.182460919023,0.364190518856,0.0176515895873,0.385135442019,0.17935088276900000,0.26190581917800000,0.137109920382,0.036497935652700000,0.377335220575,0.6226648092270000,0.8867146372800000,0.113285377622,0.912847876549,89.9416351318,spotify:track:57PhU8M1vPmLTlFKvBHplj,8,10,16,17,20,0
Ruined,Solemn Novena,Kiss the Girls,0.005318230018020000,0.99468177557,0.000163876087754,0.0103205461055,0.000328973605065,0.00371728767641,0.0202878881246,0.000635430973489,0.964394211769,0.00015176949091300000,0.362633168697,0.0565667152405,0.193127557635,0.0674821436405,0.320190399885,0.053295407444200000,0.946704566479,0.0549559295177,0.94504404068,0.967275381088,89.9979934692,spotify:track:0ddyod9v15kWqJRYShLbXN,8,10,16,18,20,1
Interlude,Hidden in Plain View,Resolution,0.743374288082,0.256625682116,0.0218033585697,0.182692795992,0.07636824250220000,0.0423830039799,0.15094989538200000,0.138459891081,0.34482935071000000,0.0425134412944,0.367088973522,0.246128350496,0.17055186629300000,0.117152437568,0.0990783497691,0.00740762520581,0.992592394352,0.146539583802,0.8534604310990000,0.8836819529530000,90.0089950562,spotify:track:4yB34WN5UMq1vyFLVgViXn,8,10,16,18,20,0
